FromPackageID,FromDeliverableID,FromDeliverableName,DetailPath,RunContextPath,AssumptionsPath,RisksPath,SnapshotFolder,IsRerun,SchemaStatus,RowsIncluded,Notes
PKG-001,DEL-001-01,DEL-001-01 (PKG-001),/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-01_2026-03-26_1759/Detail.csv,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-01_2026-03-26_1759/Run_Context.md,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-01_2026-03-26_1759/Assumptions_Log.md,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-01_2026-03-26_1759/QA_Report.md,EST_DEL-001-01_2026-03-26_1759,YES,OK,5,SCA-001 re-estimate
PKG-001,DEL-001-02,DEL-001-02 (PKG-001),/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-02_2026-02-27_0600/Detail.csv,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-02_2026-02-27_0600/Run_Context.md,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-02_2026-02-27_0600/Assumptions_Log.md,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-02_2026-02-27_0600/QA_Report.md,EST_DEL-001-02_2026-02-27_0600,NO,OK,5,
PKG-001,DEL-001-03,DEL-001-03 (PKG-001),/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-03_2026-02-27_0545/Detail.csv,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-03_2026-02-27_0545/Run_Context.md,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-03_2026-02-27_0545/Assumptions_Log.md,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-03_2026-02-27_0545/QA_Report.md,EST_DEL-001-03_2026-02-27_0545,NO,OK,5,
PKG-001,DEL-001-04,DEL-001-04 (PKG-001),/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-04_2026-02-27_0840/Detail.csv,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-04_2026-02-27_0840/Run_Context.md,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-04_2026-02-27_0840/Assumptions_Log.md,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-04_2026-02-27_0840/QA_Report.md,EST_DEL-001-04_2026-02-27_0840,NO,OK,5,
PKG-001,DEL-001-05,DEL-001-05 (PKG-001),/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-05_2026-02-27_0545/Detail.csv,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-05_2026-02-27_0545/Run_Context.md,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-05_2026-02-27_0545/Assumptions_Log.md,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-05_2026-02-27_0545/QA_Report.md,EST_DEL-001-05_2026-02-27_0545,NO,OK,10,
PKG-001,DEL-001-06,DEL-001-06 (PKG-001),/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-06_2026-02-27_0630/Detail.csv,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-06_2026-02-27_0630/Run_Context.md,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-06_2026-02-27_0630/Assumptions_Log.md,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-06_2026-02-27_0630/QA_Report.md,EST_DEL-001-06_2026-02-27_0630,NO,OK,5,
PKG-001,DEL-001-07,DEL-001-07 (PKG-001),/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-07_2026-02-27_0546/Detail.csv,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-07_2026-02-27_0546/Run_Context.md,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-07_2026-02-27_0546/Assumptions_Log.md,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-07_2026-02-27_0546/QA_Report.md,EST_DEL-001-07_2026-02-27_0546,NO,OK,5,
PKG-001,DEL-001-08,DEL-001-08 (PKG-001),/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-08_2026-02-27_0630/Detail.csv,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-08_2026-02-27_0630/Run_Context.md,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-08_2026-02-27_0630/Assumptions_Log.md,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-08_2026-02-27_0630/QA_Report.md,EST_DEL-001-08_2026-02-27_0630,NO,OK,5,
PKG-001,DEL-001-09,DEL-001-09 (PKG-001),/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-09_2026-02-27_0546/Detail.csv,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-09_2026-02-27_0546/Run_Context.md,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-09_2026-02-27_0546/Assumptions_Log.md,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-09_2026-02-27_0546/QA_Report.md,EST_DEL-001-09_2026-02-27_0546,NO,OK,5,
PKG-001,DEL-001-10,DEL-001-10 (PKG-001),/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-10_2026-02-27_0600/Detail.csv,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-10_2026-02-27_0600/Run_Context.md,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-10_2026-02-27_0600/Assumptions_Log.md,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-10_2026-02-27_0600/QA_Report.md,EST_DEL-001-10_2026-02-27_0600,NO,OK,5,
