RiskUID,FromDeliverableID,SnapshotID,RiskID,Category,Description,Severity,Status,SourcePath
DEL-001-09::R-0001,DEL-001-09,EST_DEL-001-09_2026-02-27_0546,,,"RSK-001 | Mezzanine and washroom areas are TBD; if significantly larger or more complex than assumed in LOE, hours may be insufficient | MEDIUM | LOW-MEDIUM | Confirm areas via field survey early; reassess LOE if total renovation area exceeds ~500 sq ft beyond the known 250 sq ft kitchenette | Datasheet.md (SOW-0071, SOW-0072 areas TBD)",MED,,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-09_2026-02-27_0546/Risk_Register.md
DEL-001-09::R-0002,DEL-001-09,EST_DEL-001-09_2026-02-27_0546,,,"RSK-002 | No as-built drawings may exist for the Old North Shop, requiring extended field survey | MEDIUM | LOW | Request as-builts from Owner immediately at project award; budget contingency survey hours if unavailable | Guidance C-001; Procedure Step 1.1",MED,,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-09_2026-02-27_0546/Risk_Register.md
DEL-001-09::R-0003,DEL-001-09,EST_DEL-001-09_2026-02-27_0546,,,"RSK-003 | Hazardous materials may be present in existing building, requiring abatement design scope not included in this estimate | LOW-MEDIUM | MEDIUM | Conduct hazmat screening early (Procedure Step 1.3); if positive, add specialist design hours to a revised estimate | Guidance C-004; Procedure Step 1.3",MED,,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-09_2026-02-27_0546/Risk_Register.md
DEL-001-09::R-0004,DEL-001-09,EST_DEL-001-09_2026-02-27_0546,,,"RSK-004 | P.Eng. stamp requirement may require external co-stamp (CONF-001 unresolved), adding unbudgeted cost | MEDIUM | LOW | Resolve CONF-001 with AHJ before Phase 3; if external P.Eng. required, add ~$1,000–$3,000 | Specification REQ-005; Guidance CONF-001",MED,,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-09_2026-02-27_0546/Risk_Register.md
DEL-001-09::R-0005,DEL-001-09,EST_DEL-001-09_2026-02-27_0546,,,"RSK-005 | Scope interface with SOW-0073/0074 (CONF-002) may expand demolition plan scope beyond current LOE allocation | LOW-MEDIUM | LOW-MEDIUM | Resolve CONF-002 scope interface decision before preliminary design (Procedure Step 2.4); if scope expands, increase Senior Architect and Architect hours | Guidance CONF-002; Procedure Step 2.4",MED,,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-09_2026-02-27_0546/Risk_Register.md
DEL-002-05::R-0001,DEL-002-05,EST_DEL-002-05_2026-02-27_0600,,,"RISK-001 | Construction support effort (ITEM-008) significantly exceeds 16-hour parametric allowance due to construction deficiencies, re-inspections, or complex site conditions | MEDIUM | MEDIUM ($1,360-2,720 CAD overrun) | Monitor field review hours against allowance. Escalate early if first two site visits consume more than 8 hours combined. | ITEM-008 (L-008)",MED,,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-05_2026-02-27_0600/Risk_Register.md
DEL-002-05::R-0002,DEL-002-05,EST_DEL-002-05_2026-02-27_0600,,,"RISK-002 | Shop drawing review (ITEM-007) requires multiple resubmittals due to contractor quality issues | LOW-MEDIUM | LOW-MEDIUM ($1,360 CAD additional per resubmittal cycle) | Specify clear shop drawing requirements in DEL-002-12 Structural Specification. Pre-qualify steel fabricator. | ITEM-007 (L-007)",MED,,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-05_2026-02-27_0600/Risk_Register.md
DEL-002-05::R-0003,DEL-002-05,EST_DEL-002-05_2026-02-27_0600,,,"RISK-003 | Mezzanine extent over wash bay (CF-DS-002) is eliminated by Owner ruling, invalidating ITEM-009 | LOW | LOW ($680 CAD reduction — favourable) | Retain ITEM-009 until CF-DS-002 is resolved. If eliminated, remove from next estimate rerun. | ITEM-009",LOW,,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-05_2026-02-27_0600/Risk_Register.md
DEL-002-05::R-0004,DEL-002-05,EST_DEL-002-05_2026-02-27_0600,,,"RISK-004 | Seismic design IS required for mezzanine (REQ-DS-016), adding significant analysis effort not captured in this deliverable | LOW | MEDIUM (additional effort captured in DEL-002-10, not DEL-002-05) | Ensure DEL-002-10 estimate includes contingency for seismic analysis of secondary structures. | ITEM-010",MED,,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-05_2026-02-27_0600/Risk_Register.md
DEL-002-05::R-0005,DEL-002-05,EST_DEL-002-05_2026-02-27_0600,,,"RISK-005 | Professional staff rates increase beyond MEDIUM confidence range before design work begins | LOW | LOW-MEDIUM ($2,700-4,200 CAD impact on total) | Update rates when contract rates are confirmed. Rerun estimate. | All items",MED,,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-05_2026-02-27_0600/Risk_Register.md
