WBS_PackageID,WBS_DeliverableID,Amount_CAD,PackageTotal_CAD
PKG-001,DEL-001-01,11370.00,185715.00
PKG-001,DEL-001-02,19200.00,185715.00
PKG-001,DEL-001-03,19200.00,185715.00
PKG-001,DEL-001-04,19200.00,185715.00
PKG-001,DEL-001-05,19200.00,185715.00
PKG-001,DEL-001-06,19200.00,185715.00
PKG-001,DEL-001-07,7420.00,185715.00
PKG-001,DEL-001-08,7420.00,185715.00
PKG-001,DEL-001-09,19200.00,185715.00
PKG-001,DEL-001-10,19200.00,185715.00
PKG-001,DEL-001-11,25105.00,185715.00
PKG-002,DEL-002-01,10380.00,218775.00
PKG-002,DEL-002-02,19230.00,218775.00
PKG-002,DEL-002-03,19230.00,218775.00
PKG-002,DEL-002-04,19230.00,218775.00
PKG-002,DEL-002-05,27730.00,218775.00
PKG-002,DEL-002-06,19230.00,218775.00
PKG-002,DEL-002-07,19230.00,218775.00
PKG-002,DEL-002-08,20590.00,218775.00
PKG-002,DEL-002-09,19230.00,218775.00
PKG-002,DEL-002-10,22460.00,218775.00
PKG-002,DEL-002-11,11855.00,218775.00
PKG-002,DEL-002-12,10380.00,218775.00
PKG-003,DEL-003-01,10170.00,97110.00
PKG-003,DEL-003-02,18810.00,97110.00
PKG-003,DEL-003-03,18810.00,97110.00
PKG-003,DEL-003-04,18810.00,97110.00
PKG-003,DEL-003-05,7290.00,97110.00
PKG-003,DEL-003-06,13050.00,97110.00
PKG-003,DEL-003-07,10170.00,97110.00
PKG-004,DEL-004-01,10170.00,134730.00
PKG-004,DEL-004-02,18810.00,134730.00
PKG-004,DEL-004-03,18810.00,134730.00
PKG-004,DEL-004-04,18810.00,134730.00
PKG-004,DEL-004-05,18810.00,134730.00
PKG-004,DEL-004-06,7290.00,134730.00
PKG-004,DEL-004-07,18810.00,134730.00
PKG-004,DEL-004-08,13050.00,134730.00
PKG-004,DEL-004-09,10170.00,134730.00
PKG-005,DEL-005-01,9960.00,106250.00
PKG-005,DEL-005-02,18390.00,106250.00
PKG-005,DEL-005-03,18390.00,106250.00
PKG-005,DEL-005-04,18390.00,106250.00
PKG-005,DEL-005-05,18390.00,106250.00
PKG-005,DEL-005-06,12770.00,106250.00
PKG-005,DEL-005-07,9960.00,106250.00
PKG-006,DEL-006-01,11365.00,90920.00
PKG-006,DEL-006-02,11365.00,90920.00
PKG-006,DEL-006-03,11365.00,90920.00
PKG-006,DEL-006-04,11365.00,90920.00
PKG-006,DEL-006-05,11365.00,90920.00
PKG-006,DEL-006-06,11365.00,90920.00
PKG-006,DEL-006-07,11365.00,90920.00
PKG-006,DEL-006-08,11365.00,90920.00
PKG-007,DEL-007-01,10980.00,43920.00
PKG-007,DEL-007-02,10980.00,43920.00
PKG-007,DEL-007-03,10980.00,43920.00
PKG-007,DEL-007-04,10980.00,43920.00
PKG-008,DEL-008-01,46130.00,96640.00
PKG-008,DEL-008-02,14130.00,96640.00
PKG-008,DEL-008-03,26450.00,96640.00
PKG-008,DEL-008-04,9930.00,96640.00
PKG-009,DEL-009-01,5030.00,38035.00
PKG-009,DEL-009-02,9340.00,38035.00
PKG-009,DEL-009-03,12995.00,38035.00
PKG-009,DEL-009-04,10670.00,38035.00
PKG-010,DEL-010-01,570213.60,570213.60
PKG-011,DEL-011-01,2263902.00,2890261.40
PKG-011,DEL-011-02,38285.60,2890261.40
PKG-011,DEL-011-03,179686.80,2890261.40
PKG-011,DEL-011-04,17425.50,2890261.40
PKG-011,DEL-011-05,154257.00,2890261.40
PKG-011,DEL-011-06,97160.00,2890261.40
PKG-011,DEL-011-07,139544.50,2890261.40
PKG-012,DEL-012-01,40695.60,125435.00
PKG-012,DEL-012-02,47492.00,125435.00
PKG-012,DEL-012-03,37247.40,125435.00
PKG-013,DEL-013-01,135120.00,596623.50
PKG-013,DEL-013-02,82423.60,596623.50
PKG-013,DEL-013-03,186590.00,596623.50
PKG-013,DEL-013-04,99916.80,596623.50
PKG-013,DEL-013-05,22338.70,596623.50
PKG-013,DEL-013-06,70234.40,596623.50
PKG-014,DEL-014-01,123548.80,300587.80
PKG-014,DEL-014-02,66416.80,300587.80
PKG-014,DEL-014-03,38324.20,300587.80
PKG-014,DEL-014-04,38094.40,300587.80
PKG-014,DEL-014-05,13052.80,300587.80
PKG-014,DEL-014-06,21150.80,300587.80
PKG-015,DEL-015-01,66061.40,266787.40
PKG-015,DEL-015-02,61630.00,266787.40
PKG-015,DEL-015-03,36363.00,266787.40
PKG-015,DEL-015-04,74364.00,266787.40
PKG-015,DEL-015-05,28369.00,266787.40
PKG-016,DEL-016-01,456674.80,456674.80
PKG-017,DEL-017-01,47901.44,213514.34
PKG-017,DEL-017-02,74902.90,213514.34
PKG-017,DEL-017-03,43035.00,213514.34
PKG-017,DEL-017-04,47675.00,213514.34
PKG-018,DEL-018-01,32943.60,650592.40
PKG-018,DEL-018-02,121442.00,650592.40
PKG-018,DEL-018-03,154666.00,650592.40
PKG-018,DEL-018-04,95799.00,650592.40
PKG-018,DEL-018-05,45641.60,650592.40
PKG-018,DEL-018-06,200100.20,650592.40
PKG-019,DEL-019-01,5590.00,22360.00
PKG-019,DEL-019-02,5590.00,22360.00
PKG-019,DEL-019-03,5590.00,22360.00
PKG-019,DEL-019-04,5590.00,22360.00
PKG-020,DEL-020-01,20790.00,43370.00
PKG-020,DEL-020-02,11290.00,43370.00
PKG-020,DEL-020-03,11290.00,43370.00
PKG-021,DEL-021-01,9610.00,160750.00
PKG-021,DEL-021-02,46960.00,160750.00
PKG-021,DEL-021-03,81960.00,160750.00
PKG-021,DEL-021-04,14260.00,160750.00
PKG-021,DEL-021-05,7960.00,160750.00
