WBS_PackageID,"Building Envelope > Cladding, Insulation & Waterproofing",CBS-01,CBS-02,CBS-05,CBS-17,CBS-22,CBS-23,CBS-24,CBS-25,CBS-28,CBS-29,"Commissioning & Testing > Commissioning, Testing & Inspection",Concrete > Concrete & Foundations,Construction Labour > Electrical Labour,Construction Labour > General Construction Labour,Construction Labour > Plumbing Labour,Electrical > Commissioning & Administration,Electrical > Low Voltage & Communications,Electrical > Power Distribution & Equipment,Equipment > Process & Facility Equipment,General Conditions > General Requirements & Indirect,"Interior Construction > Partitions, Finishes & Fit-Out",Materials > General Materials & Supplies,Mechanical > Administration & Permits,Mechanical > Controls & Commissioning,Mechanical > HVAC Equipment & Distribution,"Openings > Doors, Windows & Glazing","Permits, Fees & Insurance > Insurance","Permits, Fees & Insurance > Permits, Fees & Bonding",Plumbing > Plumbing Systems,Professional Services > Design & Engineering,Professional Services > Professional Staff,Professional Services > Project Management,Professional Services > Specialty Consulting,"Quality, Safety & Environment > HSE & Quality Assurance","Sitework & Civil > Earthwork, Surfacing & Landscaping",Sitework & Civil > Underground Utilities & Site Services,Structural Steel & Metals > Structural Steel & Fabrication,Survey & Investigation > Survey & Field Investigation,Total
PKG-001,,9840.00,1530.00,,,,,,,,,,,,,,,,,,,,,,,,,,10000.00,,150425.00,,9180.00,4740.00,,,,,,185715.00
PKG-002,,20270.00,2190.00,,,,,,,,,,,,,,,,,,4080.00,,,,,,,,,,175065.00,,17170.00,,,,,,,218775.00
PKG-003,,8640.00,1530.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,79290.00,,7650.00,,,,,,,97110.00
PKG-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127080.00,,7650.00,,,,,,,134730.00
PKG-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93650.00,4950.00,7650.00,,,,,,,106250.00
PKG-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81740.00,,9180.00,,,,,,,90920.00
PKG-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28350.00,,15570.00,,,,,,,43920.00
PKG-008,,,,,,,,,,,,9600.00,,,,,,,,,,,,,,,,,,,,,52040.00,20000.00,,,,,15000.00,96640.00
PKG-009,,,,,,,,,,,,,,,15495.00,,,,,,6000.00,,,,,,,,,,2360.00,,14180.00,,,,,,,38035.00
PKG-010,,,,,,,,,,,,13500.00,431090.00,,51536.00,,,,,,,,,,,,,,,,,5590.00,11000.00,,,47997.60,,,9500.00,570213.60
PKG-011,599906.00,,,,,,,,,,,,1454422.00,,58781.90,,,,2200.00,1480.00,122884.80,2880.00,35799.70,,,6300.00,172240.00,,,,,26760.00,12040.00,,17555.00,1215.00,,375797.00,,2890261.40
PKG-012,,,,,,,,,,,,,13500.00,,42521.00,,,,,,4530.00,37694.00,,,,,9800.00,,750.00,,3290.00,,13350.00,,,,,,,125435.00
PKG-013,,,,,,,,,,,,23999.20,,,61648.30,,,,,71450.00,6139.60,,117766.40,11900.00,29500.00,223050.00,,,3000.00,,9280.00,5590.00,30560.00,,2740.00,,,,,596623.50
PKG-014,,,,,,,,,,,,8800.00,,,24320.00,11692.80,,,,8500.00,3600.00,,115675.00,,,,,,5300.00,86910.00,,5780.00,28080.00,,1930.00,,,,,300587.80
PKG-015,,,,,,,,,,,,,,19930.40,52428.00,,8760.00,9835.00,96675.00,3500.00,1200.00,,42309.00,,,,,,3000.00,,,11180.00,16600.00,,1370.00,,,,,266787.40
PKG-016,,,,,,,,,,,,15000.00,,,12084.80,,,,,405000.00,12000.00,,,,,,,,,,,12590.00,,,,,,,,456674.80
PKG-017,,,,,,,,,,,,2350.00,,,140723.54,,,,,,5200.00,,,,,,,,,,30070.00,,30570.80,,1600.00,3000.00,,,,213514.34
PKG-018,,,6470.00,14755.20,55000.00,5625.00,26250.00,78000.00,6500.00,3000.00,4500.00,8500.00,63635.00,,32573.20,,,,,,3500.00,,,,,,,,2500.00,1200.00,,5590.00,31190.00,,14270.00,242704.00,34770.00,,10060.00,650592.40
PKG-019,,,,,,,,,,,,,,,7600.00,,,,,,,,,,,,,,,,,,11460.00,,3300.00,,,,,22360.00
PKG-020,,,,,,,,,,,,,,,6500.00,,,,,,19100.00,,,,,,,,,,,,17770.00,,,,,,,43370.00
PKG-021,,,,,,,,,,,,,,,30040.00,,,,,,150.00,,500.00,,,,,74000.00,40500.00,,,5000.00,10560.00,,,,,,,160750.00
