LineUID,SnapshotID,IsRerun,LineID,ItemID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes,CBS_L1,CBS_L2
DEL-001-01::L-001,EST_DEL-001-01_2026-03-26_1759,YES,L-001,,CBS-02,PKG-001,DEL-001-01,Project Manager -- preliminary architectural design coordination,6,hr,165,990,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-01 + Level_of_Effort.csv DEL-001-01/R-01,MED,6 hrs from LOE; $165/hr from staff rate table,Professional Services,Project Management
DEL-001-01::L-002,EST_DEL-001-01_2026-03-26_1759,YES,L-002,,CBS-02,PKG-001,DEL-001-01,Cost Estimator -- preliminary design phase support,4,hr,135,540,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-08 + Level_of_Effort.csv DEL-001-01/R-08,MED,4 hrs from LOE; $135/hr from staff rate table,Professional Services,Project Management
DEL-001-01::L-003,EST_DEL-001-01_2026-03-26_1759,YES,L-003,,CBS-01,PKG-001,DEL-001-01,Senior Architect -- preliminary design development and County presentation,31,hr,180,5580,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-11 + Level_of_Effort.csv DEL-001-01/R-11 + Decision_Log.md DEC-001 (+4 hrs for precast interior wall coordination),MED,Base 27 hrs from LOE + 4 hrs adjustment for precast concrete interior wall design coordination per Add. 4 Q5,Professional Services,Design & Engineering
DEL-001-01::L-004,EST_DEL-001-01_2026-03-26_1759,YES,L-004,,CBS-01,PKG-001,DEL-001-01,Architect -- preliminary design production support,21,hr,135,2835,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-12 + Level_of_Effort.csv DEL-001-01/R-12,MED,21 hrs from LOE; $135/hr from staff rate table,Professional Services,Design & Engineering
DEL-001-01::L-005,EST_DEL-001-01_2026-03-26_1759,YES,L-005,,CBS-01,PKG-001,DEL-001-01,BIM Technician -- preliminary design modelling and drawing production,15,hr,95,1425,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-13 + Level_of_Effort.csv DEL-001-01/R-13 + Decision_Log.md DEC-001 (+3 hrs for precast wall modelling),MED,Base 12 hrs from LOE + 3 hrs adjustment for precast concrete interior wall BIM modelling per Add. 4 Q5,Professional Services,Design & Engineering
DEL-001-02::DL-001,EST_DEL-001-02_2026-02-27_0600,NO,DL-001,ITM-001,Professional Services > Project Management,PKG-001,DEL-001-02,Project management — floor plan deliverable oversight and client coordination,6,hr,165.00,990.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-01 (Project Manager $165/hr); Level_of_Effort.csv DEL-001-02 R-01 (6 hr),MED,,Professional Services,Project Management
DEL-001-02::DL-002,EST_DEL-001-02_2026-02-27_0600,NO,DL-002,ITM-002,Professional Services > Project Management,PKG-001,DEL-001-02,Cost estimator support — quantity takeoff and benchmarking for floor plan deliverable,4,hr,135.00,540.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-08 (Cost Estimator $135/hr); Level_of_Effort.csv DEL-001-02 R-08 (4 hr),MED,,Professional Services,Project Management
DEL-001-02::DL-003,EST_DEL-001-02_2026-02-27_0600,NO,DL-003,ITM-003,Professional Services > Design & Engineering,PKG-001,DEL-001-02,Senior architect — floor plan design lead including code analysis and coordination,54,hr,180.00,9720.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-11 (Senior Architect $180/hr); Level_of_Effort.csv DEL-001-02 R-11 (54 hr),MED,,Professional Services,Design & Engineering
DEL-001-02::DL-004,EST_DEL-001-02_2026-02-27_0600,NO,DL-004,ITM-004,Professional Services > Design & Engineering,PKG-001,DEL-001-02,Architect — production drawings including ground floor plan and mezzanine plan and details,42,hr,135.00,5670.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-12 (Architect $135/hr); Level_of_Effort.csv DEL-001-02 R-12 (42 hr),MED,,Professional Services,Design & Engineering
DEL-001-02::DL-005,EST_DEL-001-02_2026-02-27_0600,NO,DL-005,ITM-005,Professional Services > Design & Engineering,PKG-001,DEL-001-02,BIM technician — CAD/BIM modeling and sheet setup for floor plan set,24,hr,95.00,2280.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-13 (BIM Technician $95/hr); Level_of_Effort.csv DEL-001-02 R-13 (24 hr),MED,,Professional Services,Design & Engineering
