AssumptionUID,FromDeliverableID,SnapshotID,AssumptionID,Category,Description,Impact,SourcePath
DEL-001-01::A-0001,DEL-001-01,EST_DEL-001-01_2026-03-26_1759,ASM-001,,Staff hourly rates from Professional_Staff_Rates.csv are representative of actual project rates,"If actual rates are higher (e.g., senior architect at $200+/hr), estimate could increase by 10-15%",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-01_2026-03-26_1759/Assumptions_Log.md
DEL-001-01::A-0002,DEL-001-01,EST_DEL-001-01_2026-03-26_1759,ASM-002,,Base LOE hours from Level_of_Effort.csv are a reasonable starting point for preliminary design effort,"If actual effort differs significantly, total could vary by +/-30%",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-01_2026-03-26_1759/Assumptions_Log.md
DEL-001-01::A-0003,DEL-001-01,EST_DEL-001-01_2026-03-26_1759,ASM-003,,The precast interior wall scope change adds approximately 1 additional working day of combined Senior Architect + BIM Technician effort at the preliminary design stage,"If precast coordination is more complex (multiple panel types, specialty connections), additional hours may be needed",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-01_2026-03-26_1759/Assumptions_Log.md
DEL-001-01::A-0004,DEL-001-01,EST_DEL-001-01_2026-03-26_1759,ASM-004,,No additional specialist (precast engineer) is required at the preliminary design stage,"If a precast specialist is needed, add ~8-16 hrs at $170/hr ($1,360-$2,720)",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-01_2026-03-26_1759/Assumptions_Log.md
DEL-001-01::A-0005,DEL-001-01,EST_DEL-001-01_2026-03-26_1759,ASM-005,,Currency is CAD,N/A,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-01_2026-03-26_1759/Assumptions_Log.md
DEL-001-02::A-0001,DEL-001-02,EST_DEL-001-02_2026-02-27_0600,ASM-001,,Professional staff hourly rates from Professional_Staff_Rates.csv are representative of Alberta design-build market conditions for 2026,"If actual firm rates differ materially, the estimate total will shift proportionally. Senior Architect rate ($180/hr) is the largest cost driver (50.6% of total).",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-02_2026-02-27_0600/Assumptions_Log.md
DEL-001-02::A-0002,DEL-001-02,EST_DEL-001-02_2026-02-27_0600,ASM-002,,"Level of effort hours from Level_of_Effort.csv for DEL-001-02 are appropriate for a ~13,000 sqft maintenance shop floor plan set","If the floor plan scope is more complex than assumed (e.g., additional sheets, additional code analysis iterations), actual hours could exceed the 130-hour estimate.",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-02_2026-02-27_0600/Assumptions_Log.md
DEL-001-02::A-0003,DEL-001-02,EST_DEL-001-02_2026-02-27_0600,ASM-003,,Currency is CAD throughout,Alberta project; no foreign currency exposure expected for design services.,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-02_2026-02-27_0600/Assumptions_Log.md
DEL-001-02::A-0004,DEL-001-02,EST_DEL-001-02_2026-02-27_0600,ASM-004,,"No separate direct costs (materials, subcontractors, printing, travel) are included in this deliverable estimate","If the design team requires significant travel, printing, or subconsultant costs for floor plan production, these are not captured.",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-02_2026-02-27_0600/Assumptions_Log.md
DEL-001-02::A-0005,DEL-001-02,EST_DEL-001-02_2026-02-27_0600,ASM-005,,The 5 roles assigned to DEL-001-02 in Level_of_Effort.csv represent the complete staffing requirement,"If additional roles (e.g., Permitting Specialist, Commissioning Agent) contribute hours to the floor plan deliverable, those hours are not captured in this estimate.",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-02_2026-02-27_0600/Assumptions_Log.md
DEL-001-04::A-0001,DEL-001-04,EST_DEL-001-04_2026-02-27_0840,ASM-001,,Hourly rates in Professional_Staff_Rates.csv are representative for a 2026 Alberta design-build project,Professional_Staff_Rates.csv (Confidence: MEDIUM),/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-04_2026-02-27_0840/Assumptions_Log.md
DEL-001-04::A-0002,DEL-001-04,EST_DEL-001-04_2026-02-27_0840,ASM-002,,"Level of effort for DEL-001-04 (6/4/54/42/24 hours) is adequate for producing Building Section drawings covering 5+ section cuts, preliminary and IFC stages",Level_of_Effort.csv (DEL-001-04 rows),/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-04_2026-02-27_0840/Assumptions_Log.md
DEL-001-04::A-0003,DEL-001-04,EST_DEL-001-04_2026-02-27_0840,ASM-003,,Currency is CAD,Assumed_Project_Parameters.csv (PP-17); INIT-TASK brief,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-04_2026-02-27_0840/Assumptions_Log.md
DEL-001-04::A-0004,DEL-001-04,EST_DEL-001-04_2026-02-27_0840,ASM-004,,"No subconsultant, material, software licensing, or plotting/reproduction costs are included",Scope of PRICE_SOURCES (labour-only sources provided),/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-04_2026-02-27_0840/Assumptions_Log.md
DEL-001-04::A-0005,DEL-001-04,EST_DEL-001-04_2026-02-27_0840,ASM-005,,The 5 roles identified in Level_of_Effort.csv are the complete staffing requirement for this deliverable,Level_of_Effort.csv — only 5 rows for DEL-001-04,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-04_2026-02-27_0840/Assumptions_Log.md
DEL-001-06::A-0001,DEL-001-06,EST_DEL-001-06_2026-02-27_0630,ASM-001,,All professional effort for DEL-001-06 is captured in the 5 roles and 130 hours allocated in Level_of_Effort.csv,"These hours define the total estimate of $19,200",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-06_2026-02-27_0630/Assumptions_Log.md
DEL-001-06::A-0002,DEL-001-06,EST_DEL-001-06_2026-02-27_0630,ASM-002,,"Hourly rates in Professional_Staff_Rates.csv are inclusive of overhead, benefits, and profit","If rates are base rates requiring overhead/profit markup, the estimate would need an uplift factor",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-06_2026-02-27_0630/Assumptions_Log.md
DEL-001-06::A-0003,DEL-001-06,EST_DEL-001-06_2026-02-27_0630,ASM-003,,"No separate material, equipment, printing, or subcontractor costs are applicable for this design deliverable","If printing costs, software licensing, or specialist subconsultant fees are required separately, these would be additive",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-06_2026-02-27_0630/Assumptions_Log.md
DEL-001-06::A-0004,DEL-001-06,EST_DEL-001-06_2026-02-27_0630,ASM-004,,P.Eng. stamp cost is included in the Senior Architect's hourly allocation,"If P.Eng. stamp requires a separate fee or external professional, additional cost would be needed",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-06_2026-02-27_0630/Assumptions_Log.md
