CBS,CBS_L1,CBS_L2,Amount_CAD
"Building Envelope > Cladding, Insulation & Waterproofing","Building Envelope > Cladding, Insulation & Waterproofing","Building Envelope > Cladding, Insulation & Waterproofing",599906.00
CBS-01,Professional Services,Design & Engineering,38750.00
CBS-02,Professional Services,Project Management,11720.00
CBS-05,Construction Labour,Trade Labour,14755.20
CBS-17,Site Infrastructure,Electrical Distribution,55000.00
CBS-22,Earthwork,Trenching & Backfill,5625.00
CBS-23,Underground Utilities,Piping & Conduit,26250.00
CBS-24,Underground Utilities,Service Connections,78000.00
CBS-25,Commissioning,Testing & Inspection,6500.00
CBS-28,Permits & Fees,Safety Code Permits,3000.00
CBS-29,Closeout,As-Built Documentation,4500.00
"Commissioning & Testing > Commissioning, Testing & Inspection","Commissioning & Testing > Commissioning, Testing & Inspection","Commissioning & Testing > Commissioning, Testing & Inspection",81749.20
Concrete > Concrete & Foundations,Concrete > Concrete & Foundations,Concrete > Concrete & Foundations,1962647.00
Construction Labour > Electrical Labour,Construction Labour,Trade Labour,19930.40
Construction Labour > General Construction Labour,Construction Labour,Trade Labour,536251.74
Construction Labour > Plumbing Labour,Construction Labour,Trade Labour,11692.80
Electrical > Commissioning & Administration,Electrical > Commissioning & Administration,Electrical > Commissioning & Administration,8760.00
Electrical > Low Voltage & Communications,Electrical > Low Voltage & Communications,Electrical > Low Voltage & Communications,9835.00
Electrical > Power Distribution & Equipment,Equipment,General Equipment,98875.00
Equipment > Process & Facility Equipment,Equipment,General Equipment,489930.00
General Conditions > General Requirements & Indirect,General Conditions > General Requirements & Indirect,General Conditions > General Requirements & Indirect,188384.40
"Interior Construction > Partitions, Finishes & Fit-Out","Interior Construction > Partitions, Finishes & Fit-Out","Interior Construction > Partitions, Finishes & Fit-Out",40574.00
Materials > General Materials & Supplies,Materials,General Materials,312050.10
Mechanical > Administration & Permits,Permits & Fees,General Permits,11900.00
Mechanical > Controls & Commissioning,Mechanical > Controls & Commissioning,Mechanical > Controls & Commissioning,29500.00
Mechanical > HVAC Equipment & Distribution,Equipment,General Equipment,229350.00
"Openings > Doors, Windows & Glazing","Openings > Doors, Windows & Glazing","Openings > Doors, Windows & Glazing",182040.00
"Permits, Fees & Insurance > Insurance",Permits & Fees,General Permits,74000.00
"Permits, Fees & Insurance > Permits, Fees & Bonding",Permits & Fees,General Permits,65050.00
Plumbing > Plumbing Systems,Plumbing > Plumbing Systems,Plumbing > Plumbing Systems,88110.00
Professional Services > Design & Engineering,Professional Services,Design & Engineering,780600.00
Professional Services > Professional Staff,Professional Services > Professional Staff,Professional Services > Professional Staff,83030.00
Professional Services > Project Management,Professional Services,Project Management,353450.80
Professional Services > Specialty Consulting,Professional Services > Specialty Consulting,Professional Services > Specialty Consulting,24740.00
"Quality, Safety & Environment > HSE & Quality Assurance","Quality, Safety & Environment > HSE & Quality Assurance","Quality, Safety & Environment > HSE & Quality Assurance",42765.00
"Sitework & Civil > Earthwork, Surfacing & Landscaping","Sitework & Civil > Earthwork, Surfacing & Landscaping","Sitework & Civil > Earthwork, Surfacing & Landscaping",294916.60
Sitework & Civil > Underground Utilities & Site Services,Sitework & Civil > Underground Utilities & Site Services,Sitework & Civil > Underground Utilities & Site Services,34770.00
Structural Steel & Metals > Structural Steel & Fabrication,Structural Steel & Metals > Structural Steel & Fabrication,Structural Steel & Metals > Structural Steel & Fabrication,375797.00
Survey & Investigation > Survey & Field Investigation,Survey & Investigation > Survey & Field Investigation,Survey & Investigation > Survey & Field Investigation,34560.00
