FromDeliverableID,FromPackageID,SnapshotID,BASIS_OF_ESTIMATE,CURRENCY,PRICE_SOURCES,RunContextPath,IsRerun
DEL-001-01,PKG-001,EST_DEL-001-01_2026-03-26_1759,RATE_TABLE,CAD,"PriceSources/Professional_Staff_Rates.csv, PriceSources/Level_of_Effort.csv, PriceSources/Assumed_Project_Parameters.csv, PriceSources/Professional_Design_Fees.csv, PriceSources/Parametric_Building_Rates.csv, PriceSources/Fees_Permits_Insurance.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-01_2026-03-26_1759/Run_Context.md,YES
DEL-001-02,PKG-001,EST_DEL-001-02_2026-02-27_0600,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv, Parametric_Building_Rates.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-02_2026-02-27_0600/Run_Context.md,NO
DEL-001-03,PKG-001,EST_DEL-001-03_2026-02-27_0545,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv, Parametric_Building_Rates.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-03_2026-02-27_0545/Run_Context.md,NO
DEL-001-04,PKG-001,EST_DEL-001-04_2026-02-27_0840,PARAMETRIC,CAD,location TBD,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-04_2026-02-27_0840/Run_Context.md,NO
DEL-001-05,PKG-001,EST_DEL-001-05_2026-02-27_0545,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv, Parametric_Building_Rates.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-05_2026-02-27_0545/Run_Context.md,NO
DEL-001-06,PKG-001,EST_DEL-001-06_2026-02-27_0630,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv, Parametric_Building_Rates.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-06_2026-02-27_0630/Run_Context.md,NO
DEL-001-07,PKG-001,EST_DEL-001-07_2026-02-27_0546,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv, Parametric_Building_Rates.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-07_2026-02-27_0546/Run_Context.md,NO
DEL-001-08,PKG-001,EST_DEL-001-08_2026-02-27_0630,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv, Parametric_Building_Rates.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-08_2026-02-27_0630/Run_Context.md,NO
DEL-001-09,PKG-001,EST_DEL-001-09_2026-02-27_0546,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv, Parametric_Building_Rates.csv — all under `_EstimatePrep/EPREP_SCAFFOLD_WDMLRL_2026-02-26_2035/PriceSources/`",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-09_2026-02-27_0546/Run_Context.md,NO
DEL-001-10,PKG-001,EST_DEL-001-10_2026-02-27_0600,PARAMETRIC,CAD,1. Professional_Staff_Rates.csv; 2. Level_of_Effort.csv; 3. Assumed_Project_Parameters.csv; 4. Professional_Design_Fees.csv; 5. Parametric_Building_Rates.csv,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-10_2026-02-27_0600/Run_Context.md,NO
