ItemID,DeliverableID,Description,Qty,Unit,PricingMode,SourceDoc,SourceSection,Notes
ITM-001,DEL-019-03,Project Manager — Subcontractor administration and compliance verification,6,hr,UNIT_RATE,Procedure,Steps 1-7 (all steps),Level_of_Effort.csv row DEL-019-03 R-01; 6 hr parametric estimate
ITM-002,DEL-019-03,Construction Project Manager — Construction management and site coordination for subcontractors,8,hr,UNIT_RATE,Procedure,Steps 1-7 (all steps),Level_of_Effort.csv row DEL-019-03 R-02; 8 hr parametric estimate
ITM-003,DEL-019-03,Site Superintendent — Field leadership for subcontractor coordination and safety,10,hr,UNIT_RATE,Procedure,Steps 3-6 (onboarding through escalation),Level_of_Effort.csv row DEL-019-03 R-03; 10 hr parametric estimate
ITM-004,DEL-019-03,Cost Estimator — Estimate preparation and quantity takeoff for subcontractor packages,4,hr,UNIT_RATE,Procedure,Step 2 (pre-qualification and approval),Level_of_Effort.csv row DEL-019-03 R-08; 4 hr parametric estimate
ITM-005,DEL-019-03,QA/QC Lead — Quality planning and deficiency tracking for subcontractor work,6,hr,UNIT_RATE,Procedure,Step 5 (performance monitoring — quality dimension),Level_of_Effort.csv row DEL-019-03 R-06; 6 hr parametric estimate
ITM-006,DEL-019-03,HSE Manager — Prime contractor safety program oversight for subcontractors,4,hr,UNIT_RATE,Specification,REQ-008 (Safety Management of Subcontractors),Level_of_Effort.csv row DEL-019-03 R-05; 4 hr parametric estimate
ITM-007,DEL-019-03,Subcontractor Management Framework — Establish qualification criteria and performance monitoring framework,1,LS,LUMP_SUM,Procedure,Step 1 (framework establishment),Lump sum for framework document preparation; priced as PM hours already captured in ITM-001/002
ITM-008,DEL-019-03,Subcontractor Qualification and Approval Process — Pre-qualification assessments for trade subcontractors,1,LS,LUMP_SUM,Procedure,Step 2 (pre-qualification and approval),Covers qualification enquiry and assessment effort; priced parametrically via staff hours
ITM-009,DEL-019-03,Subcontractor Onboarding — OH&S induction and contract execution per subcontractor,1,LS,LUMP_SUM,Procedure,Step 3 (onboarding),Covers OH&S site induction; insurance and WCB verification per subcontractor
ITM-010,DEL-019-03,Ongoing Coordination and Administration — Payment processing and schedule coordination,1,LS,LUMP_SUM,Procedure,Step 4 (ongoing coordination),Covers payment administration; change order management; insurance renewal tracking
ITM-011,DEL-019-03,Performance Monitoring and Compliance Verification — Monthly assessments and compliance checklists,1,LS,LUMP_SUM,Procedure,Step 5 and 5A (monitoring and audit),Monthly performance assessments and quarterly regulatory audits
ITM-012,DEL-019-03,Non-Compliance and Performance Escalation — Corrective action management,1,LS,LUMP_SUM,Procedure,Step 6 (escalation),Triggered as needed; effort is contingent
ITM-013,DEL-019-03,Subcontractor Close-Out — WCB clearance and statutory declaration,1,LS,LUMP_SUM,Procedure,Step 7 (close-out),Covers WCB clearance letter; statutory declaration; final payment confirmations; lessons learned
