LineUID,SnapshotID,IsRerun,LineID,ItemID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes
DEL-001-01::L-001,EST_DEL-001-01_2026-02-27_0539,NO,L-001,ITEM-001,Management,PKG-001,DEL-001-01,Project Manager — preliminary architectural design coordination,6,hr,165,990,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-01 + Level_of_Effort.csv DEL-001-01/R-01,MED,6 hrs from LOE; $165/hr from staff rates
DEL-001-01::L-002,EST_DEL-001-01_2026-02-27_0539,NO,L-002,ITEM-002,Management,PKG-001,DEL-001-01,Cost Estimator — preliminary design phase support,4,hr,135,540,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-08 + Level_of_Effort.csv DEL-001-01/R-08,MED,4 hrs from LOE; $135/hr from staff rates
DEL-001-01::L-003,EST_DEL-001-01_2026-02-27_0539,NO,L-003,ITEM-003,Design,PKG-001,DEL-001-01,Senior Architect — preliminary design development and County presentation,27,hr,180,4860,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-11 + Level_of_Effort.csv DEL-001-01/R-11,MED,27 hrs from LOE; $180/hr from staff rates
DEL-001-01::L-004,EST_DEL-001-01_2026-02-27_0539,NO,L-004,ITEM-004,Design,PKG-001,DEL-001-01,Architect — preliminary design production support,21,hr,135,2835,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-12 + Level_of_Effort.csv DEL-001-01/R-12,MED,21 hrs from LOE; $135/hr from staff rates
DEL-001-01::L-005,EST_DEL-001-01_2026-02-27_0539,NO,L-005,ITEM-005,Design,PKG-001,DEL-001-01,BIM Technician — preliminary design modelling and drawing production,12,hr,95,1140,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-13 + Level_of_Effort.csv DEL-001-01/R-13,MED,12 hrs from LOE; $95/hr from staff rates
DEL-001-02::DL-001,EST_DEL-001-02_2026-02-27_0600,NO,DL-001,ITM-001,Management,PKG-001,DEL-001-02,Project management — floor plan deliverable oversight and client coordination,6,hr,165.00,990.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-01 (Project Manager $165/hr); Level_of_Effort.csv DEL-001-02 R-01 (6 hr),MED,
DEL-001-02::DL-002,EST_DEL-001-02_2026-02-27_0600,NO,DL-002,ITM-002,Management,PKG-001,DEL-001-02,Cost estimator support — quantity takeoff and benchmarking for floor plan deliverable,4,hr,135.00,540.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-08 (Cost Estimator $135/hr); Level_of_Effort.csv DEL-001-02 R-08 (4 hr),MED,
DEL-001-02::DL-003,EST_DEL-001-02_2026-02-27_0600,NO,DL-003,ITM-003,Design,PKG-001,DEL-001-02,Senior architect — floor plan design lead including code analysis and coordination,54,hr,180.00,9720.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-11 (Senior Architect $180/hr); Level_of_Effort.csv DEL-001-02 R-11 (54 hr),MED,
DEL-001-02::DL-004,EST_DEL-001-02_2026-02-27_0600,NO,DL-004,ITM-004,Design,PKG-001,DEL-001-02,Architect — production drawings including ground floor plan and mezzanine plan and details,42,hr,135.00,5670.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-12 (Architect $135/hr); Level_of_Effort.csv DEL-001-02 R-12 (42 hr),MED,
DEL-001-02::DL-005,EST_DEL-001-02_2026-02-27_0600,NO,DL-005,ITM-005,Design,PKG-001,DEL-001-02,BIM technician — CAD/BIM modeling and sheet setup for floor plan set,24,hr,95.00,2280.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-13 (BIM Technician $95/hr); Level_of_Effort.csv DEL-001-02 R-13 (24 hr),MED,
DEL-001-03::LN-001,EST_DEL-001-03_2026-02-27_0545,NO,LN-001,ITM-001,Design,PKG-001,DEL-001-03,Senior Architect — exterior elevation design and production leadership,54,hr,180,9720,CAD,PARAMETRIC,"Level_of_Effort.csv row 14 (R-11, 54h); Professional_Staff_Rates.csv R-11 ($180/hr)",MED,Role R-11 Senior Architect; hours from LOE; rate from staff rates
DEL-001-03::LN-002,EST_DEL-001-03_2026-02-27_0545,NO,LN-002,ITM-002,Design,PKG-001,DEL-001-03,Architect — exterior elevation drawing production and coordination,42,hr,135,5670,CAD,PARAMETRIC,"Level_of_Effort.csv row 15 (R-12, 42h); Professional_Staff_Rates.csv R-12 ($135/hr)",MED,Role R-12 Architect; hours from LOE; rate from staff rates
DEL-001-03::LN-003,EST_DEL-001-03_2026-02-27_0545,NO,LN-003,ITM-003,Design,PKG-001,DEL-001-03,BIM Technician — modeling and sheet setup for exterior elevations,24,hr,95,2280,CAD,PARAMETRIC,"Level_of_Effort.csv row 16 (R-13, 24h); Professional_Staff_Rates.csv R-13 ($95/hr)",MED,Role R-13 BIM Technician; hours from LOE; rate from staff rates
DEL-001-03::LN-004,EST_DEL-001-03_2026-02-27_0545,NO,LN-004,ITM-004,Management,PKG-001,DEL-001-03,Project Manager — coordination and oversight for exterior elevations,6,hr,165,990,CAD,PARAMETRIC,"Level_of_Effort.csv row 12 (R-01, 6h); Professional_Staff_Rates.csv R-01 ($165/hr)",MED,Role R-01 Project Manager; hours from LOE; rate from staff rates
DEL-001-03::LN-005,EST_DEL-001-03_2026-02-27_0545,NO,LN-005,ITM-005,Management,PKG-001,DEL-001-03,Cost Estimator — quantity verification support for exterior elevations,4,hr,135,540,CAD,PARAMETRIC,"Level_of_Effort.csv row 13 (R-08, 4h); Professional_Staff_Rates.csv R-08 ($135/hr)",MED,Role R-08 Cost Estimator; hours from LOE; rate from staff rates
DEL-001-04::DL-001,EST_DEL-001-04_2026-02-27_0840,NO,DL-001,ITEM-001,Design-Management,PKG-001,DEL-001-04,Project Management — coordination and oversight for Building Sections deliverable,6,hr,165.00,990.00,CAD,PARAMETRIC,Level_of_Effort.csv (DEL-001-04 R-01) + Professional_Staff_Rates.csv (R-01),MED,6 hrs x $165/hr
DEL-001-04::DL-002,EST_DEL-001-04_2026-02-27_0840,NO,DL-002,ITEM-002,Design-Management,PKG-001,DEL-001-04,Cost Estimating — quantity takeoff and benchmarking support for Building Sections,4,hr,135.00,540.00,CAD,PARAMETRIC,Level_of_Effort.csv (DEL-001-04 R-08) + Professional_Staff_Rates.csv (R-08),MED,4 hrs x $135/hr
