AssumptionUID,FromDeliverableID,SnapshotID,AssumptionID,Category,Description,Impact,SourcePath
DEL-001-01::A-0001,DEL-001-01,EST_DEL-001-01_2026-02-27_0539,ASM-E-001,,Professional staff hourly rates from Professional_Staff_Rates.csv are representative of actual project rates for 2026 Alberta design-build work,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-01_2026-02-27_0539/Assumptions_Log.md
DEL-001-01::A-0002,DEL-001-01,EST_DEL-001-01_2026-02-27_0539,ASM-E-002,,"Level of effort hours from Level_of_Effort.csv (70 total hours for DEL-001-01) are representative of actual effort required for a preliminary architectural design presentation for a ~13,000 sqft maintenance shop",,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-01_2026-02-27_0539/Assumptions_Log.md
DEL-001-01::A-0003,DEL-001-01,EST_DEL-001-01_2026-02-27_0539,ASM-E-003,,"No material, equipment, printing, or travel costs are included in this estimate; DEL-001-01 is assumed to be a professional-services-only deliverable",,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-01_2026-02-27_0539/Assumptions_Log.md
DEL-001-01::A-0004,DEL-001-01,EST_DEL-001-01_2026-02-27_0539,ASM-E-004,,Currency is CAD as specified in the INIT-TASK brief and confirmed by Assumed_Project_Parameters.csv (PP-17),,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-01_2026-02-27_0539/Assumptions_Log.md
DEL-001-01::A-0005,DEL-001-01,EST_DEL-001-01_2026-02-27_0539,ASM-E-005,,"The construction value cross-check uses 13,000 sqft x $285/sf = $3,705,000 CAD as the estimated construction value for the maintenance shop addition",,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-01_2026-02-27_0539/Assumptions_Log.md
DEL-001-02::A-0006,DEL-001-02,EST_DEL-001-02_2026-02-27_0600,ASM-001,,Professional staff hourly rates from Professional_Staff_Rates.csv are representative of Alberta design-build market conditions for 2026,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-02_2026-02-27_0600/Assumptions_Log.md
DEL-001-02::A-0007,DEL-001-02,EST_DEL-001-02_2026-02-27_0600,ASM-002,,"Level of effort hours from Level_of_Effort.csv for DEL-001-02 are appropriate for a ~13,000 sqft maintenance shop floor plan set",,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-02_2026-02-27_0600/Assumptions_Log.md
DEL-001-02::A-0008,DEL-001-02,EST_DEL-001-02_2026-02-27_0600,ASM-003,,Currency is CAD throughout,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-02_2026-02-27_0600/Assumptions_Log.md
DEL-001-02::A-0009,DEL-001-02,EST_DEL-001-02_2026-02-27_0600,ASM-004,,"No separate direct costs (materials, subcontractors, printing, travel) are included in this deliverable estimate",,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-02_2026-02-27_0600/Assumptions_Log.md
DEL-001-02::A-0010,DEL-001-02,EST_DEL-001-02_2026-02-27_0600,ASM-005,,The 5 roles assigned to DEL-001-02 in Level_of_Effort.csv represent the complete staffing requirement,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-02_2026-02-27_0600/Assumptions_Log.md
