LineID,ItemID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes
L-001,ITEM-001,Plumbing > Plumbing Systems,PKG-014,DEL-014-02,"Supply and set new 2,000 US gal septic holding tank",1,EA,29000.00,29000.00,CAD,PARAMETRIC,Underground_Utility_Rates.csv — UU-04 (RecommendedRate),LOW,Allowance-grade rate from UU-04; actual price depends on tank material selection (TBD per DEL-006-05)
L-002,ITEM-002,Plumbing > Plumbing Systems,PKG-014,DEL-014-02,Underground sanitary line — building drainage to holding tank (installed),15,m,160.00,2400.00,CAD,PARAMETRIC,Underground_Utility_Rates.csv — UU-02 (RecommendedRate),MED,Run length 15 m is parametric assumption; actual length TBD per IFC drawings
L-003,ITEM-003,Plumbing > Plumbing Systems,PKG-014,DEL-014-02,Existing septic tank removal — pump-out and disposal of contents,1,LS,3500.00,3500.00,CAD,PARAMETRIC,PARAMETRIC estimate — vacuum truck mobilization + pump-out + disposal; Decision_Log.md DEC-003,LOW,Parametric allowance; actual cost depends on tank size and contents (both TBD)
L-004,ITEM-004,Plumbing > Plumbing Systems,PKG-014,DEL-014-02,Existing septic tank removal — excavation and tank extraction,1,LS,5500.00,5500.00,CAD,PARAMETRIC,PARAMETRIC estimate — excavation (Equipment_Operator 8 hr @ $88/hr = $704) + labourer (8 hr @ $65.10 = $520.80) + disposal + equipment; Decision_Log.md DEC-003,LOW,Parametric estimate; existing tank size/material/location TBD per Datasheet [B-002]
L-005,ITEM-005,Plumbing > Plumbing Systems,PKG-014,DEL-014-02,New tank excavation and bedding preparation,1,LS,4200.00,4200.00,CAD,PARAMETRIC,PARAMETRIC estimate — excavator + operator (8 hr @ $88/hr = $704) + labourer (8 hr @ $65.10 = $520.80) + bedding material + compaction; Decision_Log.md DEC-004,MED,Parametric estimate based on typical holding tank excavation for 2000 US gal tank
L-006,ITEM-006,Plumbing > Plumbing Systems,PKG-014,DEL-014-02,Backfill and compaction — new tank installation,1,LS,2800.00,2800.00,CAD,PARAMETRIC,PARAMETRIC estimate — backfill material + operator (4 hr @ $88/hr) + labourer (4 hr @ $65.10) + compaction testing; Decision_Log.md DEC-004,MED,Compaction testing cost included; geotech requirements TBD
L-007,ITEM-007,Plumbing > Plumbing Systems,PKG-014,DEL-014-02,Leak/pressure testing and commissioning,1,LS,1800.00,1800.00,CAD,PARAMETRIC,PARAMETRIC estimate — plumber (4 hr @ $92.80) + test equipment + documentation; Decision_Log.md DEC-005,MED,Hydrostatic test assumed; test parameters TBD per Plumbing Engineer of Record
L-008,ITEM-008,Plumbing > Plumbing Systems,PKG-014,DEL-014-02,Surface restoration — new tank and existing tank excavation areas,1,LS,1500.00,1500.00,CAD,PARAMETRIC,PARAMETRIC estimate — grading and restoration; Decision_Log.md DEC-004,MED,Restore disturbed surfaces to match surrounding conditions
L-009,ITEM-009,Plumbing > Plumbing Systems,PKG-014,DEL-014-02,Access manway and riser installation,1,LS,2200.00,2200.00,CAD,PARAMETRIC,PARAMETRIC estimate — manway assembly + riser + cover + plumber labour (4 hr @ $92.80); Decision_Log.md DEC-006,MED,Standard holding tank access manway to grade for pump-out access
L-010,ITEM-010,Plumbing > Plumbing Systems,PKG-014,DEL-014-02,High-level alarm system (if code-required),1,LS,2500.00,2500.00,CAD,ALLOWANCE,ALLOWANCE — provisional pending Alberta Safety Codes confirmation [B-004]; Assumptions_Log.md ASM-005,LOW,TBD — may not be required; provisional allowance pending code review
L-011,ITEM-011,Professional Services > Professional Staff,PKG-014,DEL-014-02,Professional staff — Project Manager,6,hr,165.00,990.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv — R-01 ($165/hr); Level_of_Effort.csv — DEL-014-02 (6 hr),MED,
L-012,ITEM-012,Professional Services > Professional Staff,PKG-014,DEL-014-02,Professional staff — Construction Project Manager,8,hr,155.00,1240.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv — R-02 ($155/hr); Level_of_Effort.csv — DEL-014-02 (8 hr),MED,
L-013,ITEM-013,Professional Services > Professional Staff,PKG-014,DEL-014-02,Professional staff — Site Superintendent,10,hr,145.00,1450.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv — R-03 ($145/hr); Level_of_Effort.csv — DEL-014-02 (10 hr),MED,
L-014,ITEM-014,Professional Services > Professional Staff,PKG-014,DEL-014-02,Professional staff — Cost Estimator,4,hr,135.00,540.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv — R-08 ($135/hr); Level_of_Effort.csv — DEL-014-02 (4 hr),MED,
L-015,ITEM-015,Professional Services > Professional Staff,PKG-014,DEL-014-02,Professional staff — QA/QC Lead,6,hr,135.00,810.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv — R-06 ($135/hr); Level_of_Effort.csv — DEL-014-02 (6 hr),MED,
L-016,ITEM-016,"Quality, Safety & Environment > HSE & Quality Assurance",PKG-014,DEL-014-02,Professional staff — HSE Manager,4,hr,140.00,560.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv — R-05 ($140/hr); Level_of_Effort.csv — DEL-014-02 (4 hr),MED,
L-017,ITEM-017,Construction Labour > General Construction Labour,PKG-014,DEL-014-02,Plumber labour — tank installation and connections,24,hr,92.80,2227.20,CAD,PARAMETRIC,Construction_Labour_Rates.csv — T-05 Plumber (FullyBurdenedRate $92.80/hr); Assumptions_Log.md ASM-003,MED,Parametric: 24 hr covers setting + piping + connections + misc
L-018,ITEM-018,Construction Labour > General Construction Labour,PKG-014,DEL-014-02,Equipment operator labour — excavation and backfill,16,hr,88.00,1408.00,CAD,PARAMETRIC,Construction_Labour_Rates.csv — T-07 Equipment Operator (FullyBurdenedRate $88.00/hr); Assumptions_Log.md ASM-004,MED,Parametric: 16 hr covers both existing removal and new installation excavation/backfill
L-019,ITEM-019,Construction Labour > General Construction Labour,PKG-014,DEL-014-02,Labourer — general support,16,hr,65.10,1041.60,CAD,PARAMETRIC,Construction_Labour_Rates.csv — T-08 Labourer (FullyBurdenedRate $65.10/hr); Assumptions_Log.md ASM-004,MED,Parametric: 16 hr for bedding prep and backfill assist and cleanup
L-020,ITEM-020,Professional Services > Professional Staff,PKG-014,DEL-014-02,Closeout documentation and warranty package,1,LS,750.00,750.00,CAD,PARAMETRIC,PARAMETRIC estimate — admin/doc controller effort (~10 hr @ $75/hr); Decision_Log.md DEC-007,MED,Compile submittals and test records and photos and as-builts and warranty letter
