A,B
DEL-001-02,DEL-002-03
DEL-001-02,DEL-002-05
DEL-001-02,DEL-002-06
DEL-001-02,DEL-002-08
DEL-001-02,DEL-003-02
DEL-001-02,DEL-006-04
DEL-001-05,DEL-001-08
DEL-001-11,DEL-006-08
DEL-002-01,DEL-002-10
DEL-002-01,DEL-008-01
DEL-002-02,DEL-002-10
DEL-002-02,DEL-002-11
DEL-002-02,DEL-005-02
DEL-002-03,DEL-002-10
DEL-002-05,DEL-002-09
DEL-002-06,DEL-002-10
DEL-002-07,DEL-002-10
DEL-002-07,DEL-016-01
DEL-002-10,DEL-002-11
DEL-002-10,DEL-002-12
DEL-003-01,DEL-004-01
DEL-003-01,DEL-006-01
DEL-003-02,DEL-004-04
DEL-003-04,DEL-003-05
DEL-003-06,DEL-018-06
DEL-004-03,DEL-004-05
DEL-004-03,DEL-004-06
DEL-004-04,DEL-004-09
DEL-004-05,DEL-004-06
DEL-004-06,DEL-004-09
DEL-004-08,DEL-004-09
DEL-005-03,DEL-005-05
DEL-005-03,DEL-006-03
DEL-005-03,DEL-018-05
DEL-005-04,DEL-005-06
DEL-005-05,DEL-005-06
DEL-005-06,DEL-005-07
DEL-005-07,DEL-006-08
DEL-006-02,DEL-006-03
DEL-006-02,DEL-006-06
DEL-006-03,DEL-006-06
DEL-006-04,DEL-006-06
DEL-006-04,DEL-006-07
DEL-006-06,DEL-006-07
DEL-009-03,DEL-019-01
DEL-011-01,DEL-014-01
DEL-011-01,DEL-016-01
DEL-012-02,DEL-014-01
DEL-012-02,DEL-015-02
DEL-013-03,DEL-013-04
DEL-013-03,DEL-013-05
DEL-013-04,DEL-013-05
DEL-013-06,DEL-015-04
DEL-014-01,DEL-014-03
DEL-014-04,DEL-014-05
DEL-014-04,DEL-018-05
DEL-015-04,DEL-016-01
DEL-016-01,DEL-018-04
DEL-017-02,DEL-017-04
DEL-017-03,DEL-017-04
DEL-018-05,DEL-018-06
DEL-019-02,DEL-019-03
DEL-019-02,DEL-019-04
