LineID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes
L-001,FIN,PKG-02,DEL-05-01,Estimator (Senior) R-18 -- Schedule A compilation: base building pricing assembly; options 1-6 pricing; tax separation; addenda acknowledgment; reconciliation to Schedule B; QA review,40,hr,145,5800,CAD,RATE_TABLE,Professional_Staff_Rates.csv (R-18) + Level_of_Effort.csv (DEL-05-01 row 1),MED,PRODUCTION COST. 40 hours per LOE; $145/hr per rate table. Primary compilation role for Schedule A form.
L-002,FIN,PKG-02,DEL-05-01,Estimator (Intermediate) R-19 -- Schedule A support: pricing data entry; cross-referencing Schedule B line items; quantity verification; spreadsheet QA,24,hr,115,2760,CAD,RATE_TABLE,Professional_Staff_Rates.csv (R-19) + Level_of_Effort.csv (DEL-05-01 row 2),MED,PRODUCTION COST. 24 hours per LOE; $115/hr per rate table. Supporting estimating production.
L-003,MGMT,PKG-02,DEL-05-01,Project Manager R-02 -- Schedule A pricing strategy: margin decisions; risk contingency allocation; option pricing review; final approval,8,hr,175,1400,CAD,RATE_TABLE,Professional_Staff_Rates.csv (R-02) + Level_of_Effort.csv (DEL-05-01 row 3),MED,PRODUCTION COST. 8 hours per LOE; $175/hr per rate table. Pricing strategy and approval role.
L-010,GR,PKG-02,DEL-05-01,General Requirements -- project management; site supervision; temporary facilities; construction insurance; permits; mobilization/demobilization (15% of base construction),1,LS,1305000,1305000,CAD,PARAMETRIC,Assumed_Project_Parameters.csv (PP-24: $8700000 base) x 15% GR factor per industry standard,LOW,CONSTRUCTION CONTENT. 15% of base construction value ($8700000) = $1305000. Standard GR range for DB municipal is 12-18%; 15% used as midpoint.
L-011,STRUCT,PKG-02,DEL-05-01,Structural and Concrete -- foundations; structural steel; slabs-on-grade; reinforcing; formwork (main PSB building),1,LS,1320000,1320000,CAD,PARAMETRIC,"Structural_Concrete_Rates.csv + Assumed_Project_Parameters.csv (PP-05: 18000 sf). Derivation: foundations $350k (screw piles SC-14 x ~50 + strip footings SC-13 x ~200m + pad footings SC-12 x ~20) + structural steel $480k (SC-08 x ~55000 kg + SC-10 joists 18000 sf x $52 = $936k for frame but split with envelope) + slabs $490k (SC-04 heavy duty bays 7200 sf x $108/m2 conv + SC-03 balance)",LOW,CONSTRUCTION CONTENT. Main PSB structural scope. Rough parametric breakdown of structural systems for 18000 sf fire station / PW facility. Approximate $73/sf structural allocation.
L-012,ENVLP,PKG-02,DEL-05-01,Building Envelope -- insulated metal wall panels; roof panels; glazing; doors; sealant; flashing (main PSB building),1,LS,980000,980000,CAD,PARAMETRIC,"Building_Envelope_Rates.csv + Assumed_Project_Parameters.csv (PP-05: 18000 sf). Derivation: wall cladding ~10000 m2 at blended $170/m2 = ~$510k (BE-01/BE-03 mix) + roof ~1670 m2 at $210/m2 = ~$350k (BE-04) + glazing ~80 m2 at $650 = ~$52k (BE-09) + doors/entrances ~$48k + sealant/flashing ~$20k",LOW,CONSTRUCTION CONTENT. Main PSB envelope scope. Approximate $54/sf envelope allocation.
L-013,INTARCH,PKG-02,DEL-05-01,Interior Architectural -- partitions; ceilings; flooring; paint; accessibility features; signage; millwork; washroom specialties (main PSB building),1,LS,520000,520000,CAD,PARAMETRIC,"Interior_Architectural_Rates.csv + Assumed_Project_Parameters.csv (PP-05: 18000 sf). Derivation: partitions ~$140k (IA-01/02 mix ~1300 m2) + ceilings ~$100k (IA-05/07 mix) + flooring ~$120k (IA-08/10 mix ~1670 m2) + paint ~$60k (IA-12/13 walls + IA-14 ceiling) + accessibility ~$25k (IA-15/16/17/18) + signage ~$15k (IA-19/20/21) + millwork/specialties ~$60k (IA-22/23/24/25)",LOW,CONSTRUCTION CONTENT. Main PSB interior fit-up. Approximate $29/sf interior allocation. Blends office/admin areas ($55/sf per PB-08) with apparatus/shop bays ($20/sf per PB-09).
L-014,MECH,PKG-02,DEL-05-01,Mechanical Systems -- HVAC; plumbing; fire protection; vehicle exhaust extraction; breathing air; bay sumps; BAS (main PSB building),1,LS,1180000,1180000,CAD,PARAMETRIC,"Mechanical_System_Rates.csv + Equipment_Pricing.csv + Assumed_Project_Parameters.csv (PP-05/11/12/17/18). Derivation: HVAC office/admin ~7200 sf x $32 = $230k (MS-01) + HVAC bays ~10800 sf x $21 = $227k (MS-02) + radiant floor bays ~10800 sf x $10 = $108k (MS-14) + plumbing office ~7200 sf x $14 = $101k (MS-03) + plumbing bays ~10800 sf x $6 = $65k (MS-04) + fire protection 18000 sf x $6 = $108k (MS-05) + exhaust extraction 4 bays x $25k = $100k (MS-06) + shop ventilation 4 bays x $11k = $44k (MS-07) + breathing air $55k (MS-08/EQ-08) + water fill stations 2 x $3500 = $7k (MS-09) + bay sumps 8 x $4500 = $36k (MS-10) + DHW $6k (MS-11) + BAS 18000 sf x $4 = $72k (MS-12)",LOW,CONSTRUCTION CONTENT. Main PSB mechanical scope. Approximate $66/sf mechanical allocation. Includes specialty fire station systems (exhaust extraction; breathing air; bay sumps).
L-015,ELEC,PKG-02,DEL-05-01,Electrical Systems -- power distribution; lighting; telecom/IT; fire alarm; PA/paging; emergency lighting; solar-ready provisions; service entrance (main PSB building),1,LS,810000,810000,CAD,PARAMETRIC,"Electrical_System_Rates.csv + Equipment_Pricing.csv + Assumed_Project_Parameters.csv (PP-05/27). Derivation: power office ~7200 sf x $21 = $151k (ES-01) + power bays ~10800 sf x $14 = $151k (ES-02) + lighting office ~7200 sf x $10 = $72k (ES-03) + lighting bays ~10800 sf x $6 = $65k (ES-04) + IT drops 45 x $850 = $38k (ES-06) + IT backbone $32k (ES-07) + fire alarm 18000 sf x $3.50 = $63k (ES-08) + PA/paging $20k (ES-09/EQ-12) + bay displays 4 x $2500 = $10k (ES-10/EQ-11) + emergency lighting 18000 sf x $2.50 = $45k (ES-11) + solar-ready $12k (ES-13) + service entrance $45k (ES-14)",LOW,CONSTRUCTION CONTENT. Main PSB electrical scope. Approximate $45/sf electrical allocation.
L-016,CIVIL,PKG-02,DEL-05-01,Site and Civil Works -- clearing; earthwork; grading; paving; curb and gutter; sidewalks; surface drainage; erosion control; survey (4.5 acres developed),1,LS,1230000,1230000,CAD,PARAMETRIC,"Earthwork_Civil_Rates.csv + Paving_Surfacing_Rates.csv + Assumed_Project_Parameters.csv (PP-10: 4.5 acres developed; PP-19: 40 stalls). Derivation: clearing ~4.5 ac x $4200 = $19k (EC-01) + stripping ~5000 m3 x $10 = $50k (EC-02) + excavation ~8000 m3 x $15 = $120k (EC-03) + engineered fill ~6000 m3 x $30 = $180k (EC-04) + building pad ~1670 m2 x $22 = $37k (EC-05) + HD paving (fire routes/aprons) ~2500 m2 x $92 = $230k (PS-01) + LD paving (parking) ~3200 m2 x $60 = $192k (PS-02) + aggregate yards ~4000 m2 x $30 = $120k (PS-03) + concrete aprons ~400 m2 x $132 = $53k (PS-04) + curb/gutter ~500 lm x $82 = $41k (PS-05) + sidewalk ~300 m2 x $75 = $23k (PS-06) + line painting ~2000 lm x $4 = $8k (PS-07) + accessible parking 3 x $450 = $1k (PS-08) + bollards 20 x $1000 = $20k (PS-09) + drainage swales ~400 lm x $55 = $22k (EC-08) + erosion control $22k (EC-07) + topsoil/seeding ~8000 m2 x $11 = $88k (EC-09) + survey $12k (EC-11)",LOW,CONSTRUCTION CONTENT. Site/civil scope for 4.5 acres developed. Approximate $6.3/sf of developed site area. Excludes undeveloped 7.5 acres (dog park/storm pond).
