LineID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes
DL-001,CBS-02,PKG-018,DEL-018-06,Project Manager -- supervision and coordination,6,hr,165,990,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-01 + Level_of_Effort.csv DEL-018-06/R-01,MED,6 hrs from LOE; $165/hr from staff rate table
DL-002,CBS-02,PKG-018,DEL-018-06,Construction Project Manager -- field coordination,10,hr,155,1550,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-02 + Level_of_Effort.csv DEL-018-06/R-02 + Decision_Log.md DEC-002 (+2 hrs for SOW-0122 coordination),MED,Base 8 hrs from LOE + 2 hrs for pole relocation coordination
DL-003,CBS-02,PKG-018,DEL-018-06,Site Superintendent -- field supervision,12,hr,145,1740,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-03 + Level_of_Effort.csv DEL-018-06/R-03 + Decision_Log.md DEC-002 (+2 hrs for SOW-0122 supervision),MED,Base 10 hrs from LOE + 2 hrs for pole relocation field supervision
DL-004,CBS-02,PKG-018,DEL-018-06,Cost Estimator -- estimate support,4,hr,135,540,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-08 + Level_of_Effort.csv DEL-018-06/R-08,MED,4 hrs from LOE; $135/hr from staff rate table
DL-005,CBS-02,PKG-018,DEL-018-06,QA/QC Lead -- quality oversight,6,hr,135,810,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-06 + Level_of_Effort.csv DEL-018-06/R-06,MED,6 hrs from LOE; $135/hr from staff rate table
DL-006,CBS-02,PKG-018,DEL-018-06,HSE Manager -- safety oversight,6,hr,140,840,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-05 + Level_of_Effort.csv DEL-018-06/R-05 + Decision_Log.md DEC-002 (+2 hrs for SOW-0122 safety planning),MED,Base 4 hrs from LOE + 2 hrs for electrical pole work safety planning
DL-007,CBS-24,PKG-018,DEL-018-06,Natural gas service tie-in -- provider coordination and execution (SOW-0080); 2-inch PVC at 50 PSI confirmed (Add. 3 Q8),1,LS,25000,25000,CAD,ALLOWANCE,ASSUMPTION: Parametric allowance for rural AB gas service connection. Gas supply params now confirmed: 2-inch PVC 50 PSI (Add. 3 Q8). No direct quote available.,LOW,Includes provider application fees and gas meter set. Gas pipeline relocation is County scope (SOW-0206 OUT). TBD distances.
DL-008,CBS-24,PKG-018,DEL-018-06,Electrical service tie-in -- three-phase power connection (SOW-0081),1,LS,45000,45000,CAD,ALLOWANCE,ASSUMPTION: Parametric allowance for rural AB three-phase electrical service (provider coordination + service entrance + metering + transformer pad). Transformer ownership TBD.,LOW,Assumes utility-owned transformer. If customer-owned add $30000-$80000. TBD distances and transformer ownership.
DL-009,CBS-24,PKG-018,DEL-018-06,Communication lines tie-in -- conduit and cabling for radio antenna and telecom (SOW-0082),1,LS,8000,8000,CAD,ALLOWANCE,ASSUMPTION: Parametric allowance for rural AB telecom service connection (conduit from demarcation to building + provider coordination).,LOW,Minimal scope -- antenna wiring conduit and basic telecom. Additional services TBD.
DL-010,CBS-17,PKG-018,DEL-018-06,Electrical pole and transformer relocation -- coordination with utility provider (SOW-0122; Add. 3 Q7),1,LS,55000,55000,CAD,ALLOWANCE,ASSUMPTION: Allowance for electrical pole/transformer relocation in rural Alberta. Range $35000-$85000 depending on number of poles and transformer size. No provider quote available. Per D-011 and D-013 this scope maps to DEL-018-06.,LOW,New scope per Add. 3 Q7. Contractor responsible for relocation and provider coordination. Cost highly variable depending on: number of poles affected; transformer size/type; utility provider requirements; access conditions. Recommend obtaining provider quote ASAP.
DL-011,CBS-22,PKG-018,DEL-018-06,Underground utility trenching -- combined trench corridor,75,m,20,1500,CAD,RATE_TABLE,Earthwork_Civil_Rates.csv EC-01 RecommendedRate $20/m3; converted to linear metre assuming 0.6m wide x 1.5m deep = ~1.0 m3/m,MED,ASSUMPTION: 75m trench length; 0.6m wide x avg 1.5m deep. Actual distance TBD.
DL-012,CBS-23,PKG-018,DEL-018-06,Underground electrical conduit -- installed in trench,75,m,95,7125,CAD,RATE_TABLE,Underground_Utility_Rates.csv UU-03 RecommendedRate $95/m,MED,Direct rate match from UU-03 (underground conduit power installed).
DL-013,CBS-23,PKG-018,DEL-018-06,Underground gas piping -- installed in trench (2-inch PVC at 50 PSI per Add. 3 Q8),75,m,130,9750,CAD,RATE_TABLE,Underground_Utility_Rates.csv UU-01 RecommendedRate $130/m (water line proxy -- similar installation scope for buried utility pipe),LOW,No direct gas piping rate in source. UU-01 water line rate used as proxy. 2-inch PVC confirmed; material cost likely lower than water line but installation comparable.
DL-014,CBS-23,PKG-018,DEL-018-06,Underground communication conduit -- installed in trench,75,m,65,4875,CAD,RATE_TABLE,Underground_Utility_Rates.csv UU-03 RateMin $65/m (lower end -- comms conduit simpler than power conduit),LOW,Communications conduit assumed simpler than power conduit. Used lower-bound rate from UU-03.
