DuplicateID,LineUID_A,LineUID_B,Amount_A,Amount_B,DuplicateType,Resolution,Notes
DUP-001,DEL-01-04::B-100,DEL-01-05::B-BLD-100,398000,398000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Schedule A (DEL-01-04) and Schedule B (DEL-01-05) are two views of the same construction pricing. Schedule A is the summary; Schedule B is the detailed breakdown. Both record the same total amounts by design.
DUP-002,DEL-01-04::B-110,DEL-01-05::B-BLD-110,172000,172000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Structural slab-on-grade -- same pricing in both schedules
DUP-003,DEL-01-04::B-120,DEL-01-05::B-BLD-120,256000,256000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Structural steel -- same pricing in both schedules
DUP-004,DEL-01-04::B-130,DEL-01-05::B-BLD-130,70000,70000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Metal roof deck -- same pricing in both schedules
DUP-005,DEL-01-04::B-200,DEL-01-05::B-BLD-200,281000,281000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Wall panels -- same pricing in both schedules
DUP-006,DEL-01-04::B-210,DEL-01-05::B-BLD-210,351000,351000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Roof panels -- same pricing in both schedules
DUP-007,DEL-01-04::B-220,DEL-01-05::B-BLD-220,68000,68000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Glazing and storefronts
DUP-008,DEL-01-04::B-230,DEL-01-05::B-BLD-230,50000,50000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Doors and hardware
DUP-009,DEL-01-04::B-240,DEL-01-05::B-BLD-240,28000,28000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Sealant and flashing
DUP-010,DEL-01-04::B-250,DEL-01-05::B-BLD-250,30000,30000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Air/vapour barrier
DUP-011,DEL-01-04::B-300,DEL-01-05::B-BLD-300,92000,92000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Partitions
DUP-012,DEL-01-04::B-310,DEL-01-05::B-BLD-310,50000,50000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Ceilings
DUP-013,DEL-01-04::B-320,DEL-01-05::B-BLD-320,72000,72000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Flooring
DUP-014,DEL-01-04::B-330,DEL-01-05::B-BLD-330,32000,32000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Painting
DUP-015,DEL-01-04::B-340,DEL-01-05::B-BLD-340,12000,12000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Accessibility
DUP-016,DEL-01-04::B-350,DEL-01-05::B-BLD-350,22000,22000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Millwork/specialties
DUP-017,DEL-01-04::B-400,DEL-01-05::B-BLD-400,444000,444000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,HVAC
DUP-018,DEL-01-04::B-410,DEL-01-05::B-BLD-410,156000,156000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Plumbing
DUP-019,DEL-01-04::B-420,DEL-01-05::B-BLD-420,108000,108000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Fire protection
DUP-020,DEL-01-04::B-430,DEL-01-05::B-BLD-430,100000,100000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Vehicle exhaust
DUP-021,DEL-01-04::B-440,DEL-01-05::B-BLD-440,44000,44000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Shop ventilation
DUP-022,DEL-01-04::B-450,DEL-01-05::B-BLD-450,72000,72000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,BAS
DUP-023,DEL-01-04::B-460,DEL-01-05::B-BLD-460,18000,18000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Cold storage ventilation
DUP-024,DEL-01-04::B-500,DEL-01-05::B-BLD-500,160000,160000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,OH doors main
DUP-025,DEL-01-04::B-510,DEL-01-05::B-BLD-510,27000,27000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,OH doors cold storage
DUP-026,DEL-01-04::B-520,DEL-01-05::B-BLD-520,4000,4000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Person doors cold storage
DUP-027,DEL-01-04::B-530,DEL-01-05::B-BLD-530,150000,150000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Generator
DUP-028,DEL-01-04::B-540,DEL-01-05::B-BLD-540,88000,88000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Bunker gear lockers
DUP-029,DEL-01-04::B-550,DEL-01-05::B-BLD-550,40000,40000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,PW lockers
DUP-030,DEL-01-04::B-560,DEL-01-05::B-BLD-560,55000,55000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Breathing air compressor
DUP-031,DEL-01-04::B-570,DEL-01-05::B-BLD-570,7000,7000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Water fill stations
