FromDeliverableID,FromPackageID,BASIS_OF_ESTIMATE,FALLBACK_POLICY,ALLOW_MIXED_METHODS,Methods_Used,RunContextPath,Notes
DEL-01-01,PKG-01,RATE_TABLE,STRICT,FALSE,RATE_TABLE,EST_DEL-01-01_2026-02-18_2100/Run_Context.md,Pure production
DEL-01-02,PKG-01,RATE_TABLE,STRICT,FALSE,RATE_TABLE,EST_DEL-01-02_2026-02-18_1430/Run_Context.md,Pure production
DEL-01-03,PKG-01,RATE_TABLE,ALLOW_ALLOWANCE,TRUE,RATE_TABLE+ALLOWANCE,EST_DEL-01-03_2026-02-18_1500/Run_Context.md,Production + bond/insurance premiums (ALLOWANCE)
DEL-02-01,PKG-04,RATE_TABLE,STRICT,FALSE,RATE_TABLE,EST_DEL-02-01_2026-02-18_1400/Run_Context.md,Pure production; largest LOE (228h)
DEL-02-02,PKG-04,RATE_TABLE,STRICT,FALSE,RATE_TABLE,EST_DEL-02-02_2026-02-18_2024/Run_Context.md,Pure production; consolidated 5-SOW (80h)
DEL-02-03,PKG-04,RATE_TABLE,STRICT,FALSE,RATE_TABLE,EST_DEL-02-03_2026-02-18_1500/Run_Context.md,Pure production
DEL-03-01,PKG-05,RATE_TABLE,STRICT,FALSE,RATE_TABLE,EST_DEL-03-01_2026-02-18_1400/Run_Context.md,Pure production
DEL-03-02,PKG-05,RATE_TABLE,STRICT,FALSE,RATE_TABLE,EST_DEL-03-02_2026-02-18_1430/Run_Context.md,Pure production
DEL-04-01,PKG-06,RATE_TABLE,STRICT,FALSE,RATE_TABLE,EST_DEL-04-01_2026-02-18_2300/Run_Context.md,Pure production; covers SOW-019 + SOW-020
DEL-04-02,PKG-06,RATE_TABLE,STRICT,FALSE,RATE_TABLE,EST_DEL-04-02_2026-02-18_2400/Run_Context.md,Pure production
DEL-04-03,PKG-06,RATE_TABLE,STRICT,FALSE,RATE_TABLE,EST_DEL-04-03_2026-02-18_2345/Run_Context.md,Pure production
DEL-05-01,PKG-02,RATE_TABLE,ALLOW_ALLOWANCE,TRUE,RATE_TABLE+PARAMETRIC+ALLOWANCE,EST_DEL-05-01_2026-02-18_1400/Run_Context.md,Dual cost: production (RATE_TABLE) + construction content (PARAMETRIC/ALLOWANCE)
DEL-05-02,PKG-02,RATE_TABLE,ALLOW_ALLOWANCE,TRUE,RATE_TABLE+PARAMETRIC+ALLOWANCE,EST_DEL-05-02_2026-02-18_1500/Run_Context.md,Dual cost: production (RATE_TABLE) + construction content (PARAMETRIC/ALLOWANCE)
DEL-05-03,PKG-02,RATE_TABLE,STRICT,FALSE,RATE_TABLE,EST_DEL-05-03_2026-02-18_1430/Run_Context.md,Pure production
DEL-06-01,PKG-07,RATE_TABLE,STRICT,FALSE,RATE_TABLE,EST_DEL-06-01_2026-02-18_1400/Run_Context.md,Pure production; consolidated (SOW-022)
DEL-07-01,PKG-03,RATE_TABLE,STRICT,FALSE,RATE_TABLE,EST_DEL-07-01_2026-02-18_2010/Run_Context.md,Pure production
DEL-07-02,PKG-03,RATE_TABLE,STRICT,FALSE,RATE_TABLE,EST_DEL-07-02_2026-02-18_2130/Run_Context.md,Pure production
DEL-07-03,PKG-03,RATE_TABLE,STRICT,FALSE,RATE_TABLE,EST_DEL-07-03_2026-02-18_1500/Run_Context.md,Pure production
DEL-08-01,PKG-08,RATE_TABLE,STRICT,FALSE,RATE_TABLE,EST_DEL-08-01_2026-02-18_1400/Run_Context.md,Pure production
DEL-09-01,PKG-09,RATE_TABLE,STRICT,FALSE,RATE_TABLE,EST_DEL-09-01_2026-02-18_1500/Run_Context.md,Pure production; covers SOW-026 + SOW-027
DEL-09-02,PKG-09,RATE_TABLE,STRICT,FALSE,RATE_TABLE,EST_DEL-09-02_2026-02-18_1600/Run_Context.md,Pure production
