LineUID,LineID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes,CostType,SourceSnapshot
DEL-01-01::L-001,L-001,ADMIN,PKG-01,DEL-01-01,Proposal Coordinator / Writer (R-22) -- compliance matrix mapping,8,hr,105,840,CAD,RATE_TABLE,Professional_Staff_Rates.csv (R-22) + Level_of_Effort.csv (DEL-01-01 row 1),MED,8 hours per LOE,PRODUCTION,EST_DEL-01-01_2026-02-18_2100
DEL-01-02::L-01,L-01,ADMIN_PRODUCTION,PKG-01,DEL-01-02,Proposal Coordinator -- Final PDF assembly + submission QA + revision control,14,hr,105,1470,CAD,RATE_TABLE,Professional_Staff_Rates.csv#R-22 + Level_of_Effort.csv#DEL-01-02/R-22,MEDIUM,Primary production role,PRODUCTION,EST_DEL-01-02_2026-02-18_1430
DEL-01-02::L-02,L-02,ADMIN_PRODUCTION,PKG-01,DEL-01-02,Project Manager -- Final review and sign-off,4,hr,175,700,CAD,RATE_TABLE,Professional_Staff_Rates.csv#R-02 + Level_of_Effort.csv#DEL-01-02/R-02,MEDIUM,Executive review,PRODUCTION,EST_DEL-01-02_2026-02-18_1430
DEL-01-03::L-001,L-001,MGMT,PKG-01,DEL-01-03,Project Manager -- surety broker coordination,4,hr,175,700,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-02 + Level_of_Effort.csv DEL-01-03 R-02,MEDIUM,Production cost,PRODUCTION,EST_DEL-01-03_2026-02-18_1500
DEL-01-03::L-002,L-002,LEGAL,PKG-01,DEL-01-03,Legal Review (External) -- bond and insurance documentation review,4,hr,300,1200,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-25 + Level_of_Effort.csv DEL-01-03 R-25,MEDIUM,Production cost,PRODUCTION,EST_DEL-01-03_2026-02-18_1500
DEL-01-03::L-003,L-003,ADMIN,PKG-01,DEL-01-03,Administrative / Document Control -- bond and insurance documentation assembly,2,hr,80,160,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-24 + Level_of_Effort.csv DEL-01-03 R-24,MEDIUM,Production cost,PRODUCTION,EST_DEL-01-03_2026-02-18_1500
DEL-01-03::L-010,L-010,BOND,PKG-01,DEL-01-03,Performance Bond premium -- 1.50% of base construction ($9863000),1,LS,147945,147945,CAD,ALLOWANCE,Fees_Permits_Insurance.csv FP-01,MEDIUM,BOND/INSURANCE PREMIUM -- NOT additive to construction content,BOND_INSURANCE,EST_DEL-01-03_2026-02-18_1500
DEL-01-03::L-011,L-011,BOND,PKG-01,DEL-01-03,Labour & Materials Payment Bond premium -- 1.00% of base construction ($9863000),1,LS,98630,98630,CAD,ALLOWANCE,Fees_Permits_Insurance.csv FP-02,MEDIUM,BOND/INSURANCE PREMIUM -- NOT additive to construction content,BOND_INSURANCE,EST_DEL-01-03_2026-02-18_1500
DEL-01-03::L-020,L-020,INS,PKG-01,DEL-01-03,CCIP Insurance -- 2.00% of base construction ($9863000),1,LS,197260,197260,CAD,ALLOWANCE,Fees_Permits_Insurance.csv FP-03,LOW,BOND/INSURANCE PREMIUM -- NOT additive to construction content,BOND_INSURANCE,EST_DEL-01-03_2026-02-18_1500
DEL-01-03::L-021,L-021,INS,PKG-01,DEL-01-03,Builder's Risk Insurance -- 0.20% of base construction ($9863000),1,LS,19726,19726,CAD,ALLOWANCE,Fees_Permits_Insurance.csv FP-04,MEDIUM,BOND/INSURANCE PREMIUM -- NOT additive to construction content,BOND_INSURANCE,EST_DEL-01-03_2026-02-18_1500
DEL-01-03::L-022,L-022,INS,PKG-01,DEL-01-03,General Liability Insurance (CGL) -- 0.75% of base construction ($9863000),1,LS,73973,73973,CAD,ALLOWANCE,Fees_Permits_Insurance.csv FP-05,MEDIUM,BOND/INSURANCE PREMIUM -- NOT additive to construction content,BOND_INSURANCE,EST_DEL-01-03_2026-02-18_1500
DEL-01-03::L-030,L-030,LEGAL,PKG-01,DEL-01-03,Surety Broker Fee / Commission,1,LS,3500,3500,CAD,ALLOWANCE,Fees_Permits_Insurance.csv FP-19,LOW,Broker fee separate from premiums,PRODUCTION,EST_DEL-01-03_2026-02-18_1500
DEL-02-01::L-001,L-001,DESIGN-ARCH,PKG-04,DEL-02-01,Architect (Project) -- concept design lead,44,hr,145,6380,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-04 + Level_of_Effort.csv row 8,MED,Consolidated concept,PRODUCTION,EST_DEL-02-01_2026-02-18_1400
DEL-02-01::L-002,L-002,DESIGN-ARCH,PKG-04,DEL-02-01,Architect (Intermediate) -- supporting architectural production,24,hr,120,2880,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-05 + Level_of_Effort.csv row 9,MED,,PRODUCTION,EST_DEL-02-01_2026-02-18_1400
DEL-02-01::L-003,L-003,PRODUCTION-CAD,PKG-04,DEL-02-01,CAD Technician / BIM Operator -- drawing production,64,hr,95,6080,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-06 + Level_of_Effort.csv row 10,MED,,PRODUCTION,EST_DEL-02-01_2026-02-18_1400
DEL-02-01::L-004,L-004,DESIGN-CIVIL,PKG-04,DEL-02-01,Civil Engineer (Senior) -- civil/site concept input,20,hr,155,3100,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-07 + Level_of_Effort.csv row 11,MED,,PRODUCTION,EST_DEL-02-01_2026-02-18_1400
DEL-02-01::L-005,L-005,DESIGN-CIVIL,PKG-04,DEL-02-01,Civil Engineer (Intermediate) -- supporting civil production,12,hr,125,1500,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-08 + Level_of_Effort.csv row 12,MED,,PRODUCTION,EST_DEL-02-01_2026-02-18_1400
DEL-02-01::L-006,L-006,DESIGN-STRUCT,PKG-04,DEL-02-01,Structural Engineer (Senior) -- structural input,12,hr,155,1860,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-09 + Level_of_Effort.csv row 13,MED,,PRODUCTION,EST_DEL-02-01_2026-02-18_1400
DEL-02-01::L-007,L-007,DESIGN-STRUCT,PKG-04,DEL-02-01,Structural Engineer (Intermediate) -- supporting structural input,6,hr,125,750,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-10 + Level_of_Effort.csv row 14,MED,,PRODUCTION,EST_DEL-02-01_2026-02-18_1400
DEL-02-01::L-008,L-008,DESIGN-MECH,PKG-04,DEL-02-01,Mechanical Engineer (Senior) -- mechanical input,12,hr,160,1920,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-11 + Level_of_Effort.csv row 15,MED,,PRODUCTION,EST_DEL-02-01_2026-02-18_1400
