ConflictID,Key,Description,Contenders,ProposedAuthority,HumanRuling,Notes
CF-001,UNKNOWN_DELIVERABLE,Dependency references deliverable not in scaffold deliverable set; excluded from DAG.,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-04_Cistern-Pump-Details/Dependencies.csv :: DEL-006-01_Preliminary-Design -> DEL-006-04 (DependencyID=DEP-006-04-005),PROPOSAL,TBD,Validate that scaffold and working folders include all deliverables.
CF-002,UNKNOWN_DELIVERABLE,Dependency references deliverable not in scaffold deliverable set; excluded from DAG.,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-04_Cistern-Pump-Details/Dependencies.csv :: DEL-001-02_Floor-Plans -> DEL-006-04 (DependencyID=DEP-006-04-006),PROPOSAL,TBD,Validate that scaffold and working folders include all deliverables.
CF-003,UNKNOWN_DELIVERABLE,Dependency references deliverable not in scaffold deliverable set; excluded from DAG.,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-04_Cistern-Pump-Details/Dependencies.csv :: DEL-002-02_Foundation-Plan -> DEL-006-04 (DependencyID=DEP-006-04-007),PROPOSAL,TBD,Validate that scaffold and working folders include all deliverables.
CF-004,UNKNOWN_DELIVERABLE,Dependency references deliverable not in scaffold deliverable set; excluded from DAG.,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-04_Cistern-Pump-Details/Dependencies.csv :: DEL-008-01_Geotech-Investigation -> DEL-006-04 (DependencyID=DEP-006-04-008),PROPOSAL,TBD,Validate that scaffold and working folders include all deliverables.
CF-005,UNKNOWN_DELIVERABLE,Dependency references deliverable not in scaffold deliverable set; excluded from DAG.,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-06_Fixture-Schedule/Dependencies.csv :: DEL-001-02_Floor-Plans -> DEL-006-06_Fixture-Schedule (DependencyID=DEP-006-06-004),PROPOSAL,TBD,Validate that scaffold and working folders include all deliverables.
CF-006,UNKNOWN_DELIVERABLE,Dependency references deliverable not in scaffold deliverable set; excluded from DAG.,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-06_Fixture-Schedule/Dependencies.csv :: DEL-001-10_Renovation-Plans -> DEL-006-06_Fixture-Schedule (DependencyID=DEP-006-06-005),PROPOSAL,TBD,Validate that scaffold and working folders include all deliverables.
CF-007,UNKNOWN_DELIVERABLE,Dependency references deliverable not in scaffold deliverable set; excluded from DAG.,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-06_Fixture-Schedule/Dependencies.csv :: DEL-006-01_Preliminary-Design -> DEL-006-06_Fixture-Schedule (DependencyID=DEP-006-06-006),PROPOSAL,TBD,Validate that scaffold and working folders include all deliverables.
CF-008,UNKNOWN_DELIVERABLE,Dependency references deliverable not in scaffold deliverable set; excluded from DAG.,"/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-021_Bonding, Insurance & Warranty/1_Working/DEL-021-03_Insurance/Dependencies.csv :: DEL-021-03_Insurance -> DEL-021-04_Contract-Execution (DependencyID=DEP-021-03-006)",PROPOSAL,TBD,Validate that scaffold and working folders include all deliverables.
CF-009,UNKNOWN_DELIVERABLE,Dependency references deliverable not in scaffold deliverable set; excluded from DAG.,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-020_Commissioning & Closeout/1_Working/DEL-020-02_Final-Inspection/Dependencies.csv :: DEL-020-01_Commissioning -> DEL-020-02_Final-Inspection (DependencyID=DEP-020-02-007),PROPOSAL,TBD,Validate that scaffold and working folders include all deliverables.
CF-010,UNKNOWN_DELIVERABLE,Dependency references deliverable not in scaffold deliverable set; excluded from DAG.,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-020_Commissioning & Closeout/1_Working/DEL-020-01_Commissioning/Dependencies.csv :: DEL-019-04_QC-Management -> DEL-020-01_Commissioning (DependencyID=DEP-020-01-007),PROPOSAL,TBD,Validate that scaffold and working folders include all deliverables.
CF-011,UNKNOWN_DELIVERABLE,Dependency references deliverable not in scaffold deliverable set; excluded from DAG.,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-020_Commissioning & Closeout/1_Working/DEL-020-01_Commissioning/Dependencies.csv :: DEL-020-01_Commissioning -> DEL-020-02_Final-Inspection (DependencyID=DEP-020-01-013),PROPOSAL,TBD,Validate that scaffold and working folders include all deliverables.
CF-012,UNKNOWN_DELIVERABLE,Dependency references deliverable not in scaffold deliverable set; excluded from DAG.,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-018_Sitework & Civil Construction/1_Working/DEL-018-06_Utility-Tieins/Dependencies.csv :: DEL-004 -> DEL-018-06 (DependencyID=DEP-018-06-009),PROPOSAL,TBD,Validate that scaffold and working folders include all deliverables.
CF-013,UNKNOWN_DELIVERABLE,Dependency references deliverable not in scaffold deliverable set; excluded from DAG.,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-018_Sitework & Civil Construction/1_Working/DEL-018-06_Utility-Tieins/Dependencies.csv :: DEL-003 -> DEL-018-06 (DependencyID=DEP-018-06-010),PROPOSAL,TBD,Validate that scaffold and working folders include all deliverables.
