RiskUID,FromDeliverableID,SnapshotID,RiskID,Category,Description,Severity,Status,SourcePath
DEL-001-05::R-0001,DEL-001-05,EST_DEL-001-05_2026-02-27_0545,,,Post-IFC revision allowance,,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-05_2026-02-27_0545/QA_Report.md
DEL-001-09::R-0002,DEL-001-09,EST_DEL-001-09_2026-02-27_0546,,,Mezzanine area (SOW-0071) is TBD — no measured area from sources,LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-09_2026-02-27_0546/QA_Report.md
DEL-001-09::R-0003,DEL-001-09,EST_DEL-001-09_2026-02-27_0546,,,Washroom area (SOW-0072) is TBD — no measured area from sources,LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-09_2026-02-27_0546/QA_Report.md
DEL-001-09::R-0004,DEL-001-09,EST_DEL-001-09_2026-02-27_0546,,,No as-built drawings confirmed for existing Old North Shop,LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-09_2026-02-27_0546/QA_Report.md
DEL-001-09::R-0005,DEL-001-09,EST_DEL-001-09_2026-02-27_0546,,,Hazardous materials assessment not included in LOE,LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-09_2026-02-27_0546/QA_Report.md
DEL-001-09::R-0006,DEL-001-09,EST_DEL-001-09_2026-02-27_0546,,,P.Eng. stamp fee assumed included in Senior Architect rate,LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-09_2026-02-27_0546/QA_Report.md
DEL-001-09::R-0007,DEL-001-09,EST_DEL-001-09_2026-02-27_0546,,,No printing/reproduction costs included,LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-09_2026-02-27_0546/QA_Report.md
DEL-002-04::R-0008,DEL-002-04,EST_DEL-002-04_2026-02-27_0546,W-001,,"Estimate covers design labour only; no material, printing, or reproduction costs included",LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-04_2026-02-27_0546/QA_Report.md
DEL-002-04::R-0009,DEL-002-04,EST_DEL-002-04_2026-02-27_0546,W-002,,All price source rates and hours are MEDIUM confidence (parametric basis),LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-04_2026-02-27_0546/QA_Report.md
DEL-002-04::R-0010,DEL-002-04,EST_DEL-002-04_2026-02-27_0546,W-003,,"Multiple TBD design inputs in Datasheet (service pit depth, mezzanine load, steel plate dimensions, crane supplier data, construction method) may drive additional design iterations not captured in the LOE",MEDIUM,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-04_2026-02-27_0546/QA_Report.md
