CBS_L1,CBS_L2,Amount_CAD,LineCount,PctOfTotal
Concrete,Concrete & Foundations,1962647.00,46,27.1%
Professional Services,Design & Engineering,809875.00,311,11.2%
Building Envelope,"Cladding, Insulation & Waterproofing",599906.00,10,8.3%
Construction Labour,General Construction Labour,548766.94,246,7.6%
Equipment,Process & Facility Equipment,489930.00,12,6.8%
Structural Steel & Metals,Structural Steel & Fabrication,375797.00,16,5.2%
Professional Services,Project Management,363630.80,396,5.0%
Materials,General Materials & Supplies,312050.10,72,4.3%
Sitework & Civil,"Earthwork, Surfacing & Landscaping",300541.60,36,4.2%
Mechanical,HVAC Equipment & Distribution,229350.00,30,3.2%
General Conditions,General Requirements & Indirect,191884.40,104,2.7%
Openings,"Doors, Windows & Glazing",182040.00,14,2.5%
Electrical,Power Distribution & Equipment,98875.00,24,1.4%
Plumbing,Plumbing Systems,88110.00,34,1.2%
Commissioning & Testing,"Commissioning, Testing & Inspection",86749.20,37,1.2%
Professional Services,Professional Staff,83030.00,70,1.1%
Utilities,Utility Connections,78000.00,3,1.1%
"Permits, Fees & Insurance","Permits, Fees & Bonding",68050.00,17,0.9%
Sitework & Civil,Underground Utilities & Site Services,61020.00,12,0.8%
"Quality, Safety & Environment",HSE & Quality Assurance,42765.00,45,0.6%
Interior Construction,"Partitions, Finishes & Fit-Out",40574.00,17,0.6%
Survey & Investigation,Survey & Field Investigation,34560.00,13,0.5%
Mechanical,Controls & Commissioning,29500.00,8,0.4%
Professional Services,Specialty Consulting,24740.00,14,0.3%
Construction Labour,Electrical Labour,19930.40,5,0.3%
Mechanical,Administration & Permits,11900.00,7,0.2%
Construction Labour,Plumbing Labour,11692.80,9,0.2%
Electrical,Low Voltage & Communications,9835.00,11,0.1%
Electrical,Commissioning & Administration,8760.00,8,0.1%
"Permits, Fees & Insurance",Insurance,74000.00,5,1.0%
