CBS_Original,CBS_L1,CBS_L2,CBS_Canonical,Notes
01-Design Coordination,Professional Services,Design & Engineering,Professional Services > Design & Engineering,Design and engineering labour across all disciplines
01-Documentation,General Conditions,General Requirements & Indirect,General Conditions > General Requirements & Indirect,"General conditions, documentation, closeout, freight, contingency"
01-GENERAL,General Conditions,General Requirements & Indirect,General Conditions > General Requirements & Indirect,"General conditions, documentation, closeout, freight, contingency"
01-General,General Conditions,General Requirements & Indirect,General Conditions > General Requirements & Indirect,"General conditions, documentation, closeout, freight, contingency"
01-General Conditions,General Conditions,General Requirements & Indirect,General Conditions > General Requirements & Indirect,"General conditions, documentation, closeout, freight, contingency"
01-Management,Professional Services,Project Management,Professional Services > Project Management,"Project management, supervision, coordination, admin"
01-Permits,"Permits, Fees & Insurance","Permits, Fees & Bonding","Permits, Fees & Insurance > Permits, Fees & Bonding","Permits, inspection fees, regulatory fees, bonding"
01-Quality,General Conditions,General Requirements & Indirect,General Conditions > General Requirements & Indirect,"General conditions, documentation, closeout, freight, contingency"
02-Labour,Construction Labour,General Construction Labour,Construction Labour > General Construction Labour,All trade and general labour
03-Access Panels,Interior Construction,"Partitions, Finishes & Fit-Out","Interior Construction > Partitions, Finishes & Fit-Out","Interior partitions, finishes, fit-out"
03-CONCRETE,Concrete,Concrete & Foundations,Concrete > Concrete & Foundations,"Structural concrete, foundations, slabs, stairs"
03-Ceiling Finishes,Interior Construction,"Partitions, Finishes & Fit-Out","Interior Construction > Partitions, Finishes & Fit-Out","Interior partitions, finishes, fit-out"
03-Concrete,Concrete,Concrete & Foundations,Concrete > Concrete & Foundations,"Structural concrete, foundations, slabs, stairs"
03-Doors,Openings,"Doors, Windows & Glazing","Openings > Doors, Windows & Glazing","Doors, windows, hardware, frames, glazing"
03-Electrical Rough-In,Interior Construction,"Partitions, Finishes & Fit-Out","Interior Construction > Partitions, Finishes & Fit-Out","Interior partitions, finishes, fit-out"
03-Equipment Supports,Concrete,Concrete & Foundations,Concrete > Concrete & Foundations,"Structural concrete, foundations, slabs, stairs"
03-Finishes,Interior Construction,"Partitions, Finishes & Fit-Out","Interior Construction > Partitions, Finishes & Fit-Out","Interior partitions, finishes, fit-out"
03-Fire Protection,Interior Construction,"Partitions, Finishes & Fit-Out","Interior Construction > Partitions, Finishes & Fit-Out","Interior partitions, finishes, fit-out"
03-FitOut,Interior Construction,"Partitions, Finishes & Fit-Out","Interior Construction > Partitions, Finishes & Fit-Out","Interior partitions, finishes, fit-out"
03-Floor Finishes,Interior Construction,"Partitions, Finishes & Fit-Out","Interior Construction > Partitions, Finishes & Fit-Out","Interior partitions, finishes, fit-out"
