Execution,DeliverableID,DeliverableName,RoleID,Role,EstimatedHours,Basis,Notes
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-01,Preliminary Architectural Design,R-01,Project Manager,6,PARAMETRIC,PKG-001 Architect — Design Presentation
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-01,Preliminary Architectural Design,R-08,Cost Estimator,4,PARAMETRIC,PKG-001 Architect — Design Presentation
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-01,Preliminary Architectural Design,R-11,Senior Architect,27,PARAMETRIC,PKG-001 Architect — Design Presentation
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-01,Preliminary Architectural Design,R-12,Architect,21,PARAMETRIC,PKG-001 Architect — Design Presentation
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-01,Preliminary Architectural Design,R-13,BIM Technician,12,PARAMETRIC,PKG-001 Architect — Design Presentation
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-02,Architectural Floor Plans,R-01,Project Manager,6,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-02,Architectural Floor Plans,R-08,Cost Estimator,4,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-02,Architectural Floor Plans,R-11,Senior Architect,54,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-02,Architectural Floor Plans,R-12,Architect,42,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-02,Architectural Floor Plans,R-13,BIM Technician,24,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-03,Exterior Elevations,R-01,Project Manager,6,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-03,Exterior Elevations,R-08,Cost Estimator,4,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-03,Exterior Elevations,R-11,Senior Architect,54,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-03,Exterior Elevations,R-12,Architect,42,PARAMETRIC,PKG-001 Architect — Drawing Set
