CBS_Code,CBS_L1,CBS_L2,Description,Examples,ApplicablePackages
CBS-01,Professional Services,Design & Engineering,"All design and engineering labour across architectural, structural, mechanical, electrical, civil, and plumbing disciplines. Includes design management, production, drafting, BIM, QA, and coordination.","Design, Design-Structural, LABOUR-DESIGN, DESIGN_ENG, Design-Architecture",PKG-001; PKG-002; PKG-003; PKG-004; PKG-005; PKG-006; PKG-007; PKG-009; PKG-012; PKG-013; PKG-017
CBS-02,Professional Services,Project Management,"Project management, construction management, site supervision, cost estimating support, contract administration, and general administrative overhead.","Management, MANAGEMENT, LABOUR-MGMT, PROJECT_MANAGEMENT, Admin",PKG-001; PKG-002; PKG-003; PKG-004; PKG-005; PKG-006; PKG-007; PKG-008; PKG-009; PKG-010; PKG-011; PKG-012; PKG-013; PKG-014; PKG-015; PKG-017; PKG-018; PKG-019; PKG-020; PKG-021
CBS-03,Professional Services,Professional Staff,"Professional staff allocations spanning multiple functions (PM, superintendent, QA/QC lead, HSE manager, estimator). Used when agent reports staff as a composite allocation rather than function-specific.","PROFESSIONAL, PROF_STAFF, Professional-Staff, Professional-PM, STAFF",PKG-005; PKG-008; PKG-010; PKG-011; PKG-013; PKG-014; PKG-015; PKG-016; PKG-018; PKG-021
CBS-04,Professional Services,Specialty Consulting,"Geotechnical investigation, regulatory compliance consulting (P.Eng. stamps, AAAL reviews), and specialty consulting services (existing conditions surveys, environmental).","Professional Services -- Geotechnical, Professional Services -- Regulatory, Professional Services -- Specialty",PKG-001; PKG-008
CBS-05,Construction Labour,General Construction Labour,"All construction trade and general labour including carpenters, ironworkers, welders, concrete finishers, labourers, and multi-trade activities.","LABOUR, Construction Labour, Labour-Ironworker, Labour-Welder, CONST_LABOUR",PKG-009; PKG-010; PKG-011; PKG-012; PKG-013; PKG-014; PKG-015; PKG-016; PKG-017; PKG-018; PKG-019; PKG-020; PKG-021
CBS-06,Construction Labour,Electrical Labour,"Electrician trade labour for rough-in, trim-out, termination, and installation activities.",ELECTRICAL-LABOUR,PKG-015
CBS-07,Construction Labour,Plumbing Labour,"Plumbing trade labour for rough-in, installation, and connection activities.","LAB-PLUMB, 14-PLUMB-LAB",PKG-014
CBS-08,Concrete,Concrete & Foundations,"Structural concrete including foundations, grade beams, slabs on grade, equipment pads, service pit, stairs, curbs, and site concrete.","03-CONCRETE, CONCRETE, SITE.CONCRETE, 03-Foundations, STRUCTURAL_CONCRETE",PKG-010; PKG-011; PKG-012; PKG-018
CBS-09,Structural Steel & Metals,Structural Steel & Fabrication,"Structural steel framing, fabrication, erection, miscellaneous metals, anchor bolts, embedments, and connections.","05-METALS, STRUCTURAL_STEEL, Material-Steel, Material-Anchorage",PKG-011
CBS-10,Building Envelope,"Cladding, Insulation & Waterproofing","Exterior wall systems (metal cladding, liner panels), building insulation (spray foam, batt, rigid), waterproofing, and air/vapour barrier systems.","07-ENVELOPE, INS, WATERPROOFING",PKG-011; PKG-021
CBS-11,Openings,"Doors, Windows & Glazing","Overhead doors, man doors, windows, hardware, frames, glazing, and door accessories.","08-OPENINGS, 08-Doors, 03-Doors",PKG-011; PKG-012
