ItemID,DeliverableID,Description,Qty,Unit,PricingMode,SourceDoc,SourceSection,Notes
ITEM-001,DEL-001-08,Project management — Finish Schedule production oversight and client coordination,6,hr,UNIT_RATE,Procedure,Steps 1-7 (overall PM coordination),PM hours per Level_of_Effort.csv R-01
ITEM-002,DEL-001-08,Cost estimating — quantity takeoff and benchmarking support for finish selections,4,hr,UNIT_RATE,Procedure,Steps 2-3 (finish selection support),Cost estimator hours per Level_of_Effort.csv R-08
ITEM-003,DEL-001-08,Senior Architect — finish schedule design leadership and code compliance review,18,hr,UNIT_RATE,Procedure,Steps 1-7 (design lead for finish schedule production),Senior Architect hours per Level_of_Effort.csv R-11; includes room list compilation (Step 1) and finish category assignment (Step 2) and code review (Step 4) and County submission (Step 6) and IFC issue (Step 7)
ITEM-004,DEL-001-08,Architect — production drafting of finish schedule tabular document and coordination,14,hr,UNIT_RATE,Procedure,Steps 1-5 (schedule production and cross-coordination),Architect hours per Level_of_Effort.csv R-12; includes room list extraction from DEL-001-02 and cross-coordination with DEL-001-05/06/11
ITEM-005,DEL-001-08,BIM Technician — finish schedule sheet setup and drawing integration,8,hr,UNIT_RATE,Procedure,Steps 5-7 (sheet setup and IFC integration),BIM Technician hours per Level_of_Effort.csv R-13; includes sheet setup in drawing set and coordination checks
ITEM-006,DEL-001-08,Room list compilation and floor plan cross-check — 14 rooms/areas (A-01 through A-10 and B-01 through B-04),14,EA,LUMP_SUM,Datasheet,Building Program — Rooms and Areas Covered,"Qty = 1 LS; 14 rooms/areas identified in Datasheet; verification per REQ-DS-002 and Procedure Step 1"
ITEM-007,DEL-001-08,Finish selection — floor/wall/ceiling finishes for 14 rooms/areas across 5 finish categories,14,EA,LUMP_SUM,Datasheet,Anticipated Finish Materials table,"Qty = 1 LS; 5 finish categories (Heavy Industrial, Wet Industrial, Light Industrial/Storage, Office/Staff, Wet/Hygiene) per Procedure Step 2; included in LOE hours above"
ITEM-008,DEL-001-08,Code compliance review — Alberta Building Code (occupancy classification and flame spread/smoke development per REQ-DS-007a and REQ-DS-008),1,LS,LUMP_SUM,Specification,REQ-DS-007 through REQ-DS-009,"Code review activity per Procedure Step 4; included in Senior Architect LOE hours above"
ITEM-009,DEL-001-08,Cross-coordination with DEL-001-02/05/06/11 and DEL-002 and PKG-006 — checklist completion per Procedure Step 5,1,LS,LUMP_SUM,Procedure,Step 5 — Cross-Coordination with Other PKG-001 Deliverables,"Coordination activity; included in Architect/Senior Architect LOE hours above"
ITEM-010,DEL-001-08,Preliminary Design submission to County and aesthetic selection support (Step 6),1,LS,LUMP_SUM,Procedure,Step 6 — Preliminary Design Submission,"County approval gate; included in Senior Architect LOE hours above"
ITEM-011,DEL-001-08,IFC issue — stamping and final drawing index integration (Step 7),1,LS,LUMP_SUM,Procedure,Step 7 — Final IFC Issue,"IFC stamp and issue activity per REQ-DS-013; included in Senior Architect LOE hours above"
