LineID,ItemID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes
DL-001,ITM-001,"Sitework & Civil > Earthwork, Surfacing & Landscaping",PKG-010,DEL-010-01,Topsoil stripping — building footprint area,1208,m2,3.20,3865.60,CAD,PARAMETRIC,Earthwork_Civil_Rates.csv EC-04 (RecommendedRate=3.2/m2),MED,Per RFP §3.3.2; if not already performed by County
DL-002,ITM-002,"Sitework & Civil > Earthwork, Surfacing & Landscaping",PKG-010,DEL-010-01,Common excavation — foundation trenches (normal ground),480,m3,20.00,9600.00,CAD,PARAMETRIC,Earthwork_Civil_Rates.csv EC-01 (RecommendedRate=20/m3),MED,ASSUMPTION: 480 m3 excavation volume; normal ground conditions per RFP §4.8.2
DL-003,ITM-003,"Sitework & Civil > Earthwork, Surfacing & Landscaping",PKG-010,DEL-010-01,Imported granular fill — sub-base (placement only; aggregate supplied by County),300,m3,55.00,16500.00,CAD,PARAMETRIC,Earthwork_Civil_Rates.csv EC-02 (RecommendedRate=55/m3),MED,Note: County supplies aggregate per RFP §3.3.1; rate includes placement and compaction of supplied material
DL-004,ITM-004,"Sitework & Civil > Earthwork, Surfacing & Landscaping",PKG-010,DEL-010-01,Subgrade compaction / proof roll — building footprint,1208,m2,4.00,4832.00,CAD,PARAMETRIC,Earthwork_Civil_Rates.csv EC-03 (RecommendedRate=4.0/m2),MED,Per geotechnical recommendations (TBD)
DL-005,ITM-005,Concrete > Concrete & Foundations,PKG-010,DEL-010-01,Strip footing / pad footing concrete (foundation system),74,m3,650.00,48100.00,CAD,PARAMETRIC,Structural_Concrete_Rates.csv SC-03 (RecommendedRate=650/m3),MED,ASSUMPTION: 74 m3 total footing concrete; foundation type TBD per geotech
DL-006,ITM-006,Concrete > Concrete & Foundations,PKG-010,DEL-010-01,Formwork for footings and walls,280,m2,110.00,30800.00,CAD,PARAMETRIC,Structural_Concrete_Rates.csv SC-05 (RecommendedRate=110/m2),MED,ASSUMPTION: 280 m2 conventional formwork
DL-007,ITM-007,Concrete > Concrete & Foundations,PKG-010,DEL-010-01,Reinforcing steel supply + place (footings and grade beams),7400,kg,2.90,21460.00,CAD,PARAMETRIC,Structural_Concrete_Rates.csv SC-04 (RecommendedRate=2.9/kg),MED,ASSUMPTION: ~100 kg/m3 rebar for footings
DL-008,ITM-008,Concrete > Concrete & Foundations,PKG-010,DEL-010-01,Thickened slab edge / grade beam (perimeter),92,m,250.00,23000.00,CAD,PARAMETRIC,Structural_Concrete_Rates.csv SC-02 (RecommendedRate=250/m),MED,ASSUMPTION: ~92 lm perimeter (less shared wall with existing building)
DL-009,ITM-009,Concrete > Concrete & Foundations,PKG-010,DEL-010-01,"Reinforced concrete slab-on-grade, heavy-duty (shop floor)",1208,m2,210.00,253680.00,CAD,PARAMETRIC,Structural_Concrete_Rates.csv SC-01 (RecommendedRate=210/m2),MED,Heavy-duty slab per RFP §3.4; excludes embedded steel plates (PKG-011 scope)
DL-010,ITM-010,Concrete > Concrete & Foundations,PKG-010,DEL-010-01,Reinforcing steel supply + place (slab-on-grade),14500,kg,2.90,42050.00,CAD,PARAMETRIC,Structural_Concrete_Rates.csv SC-04 (RecommendedRate=2.9/kg),MED,ASSUMPTION: ~12 kg/m2 for heavy-duty slab
DL-011,ITM-011,"Sitework & Civil > Earthwork, Surfacing & Landscaping",PKG-010,DEL-010-01,Backfill and compaction around foundations,240,m3,55.00,13200.00,CAD,PARAMETRIC,Earthwork_Civil_Rates.csv EC-02 (RecommendedRate=55/m3),MED,ASSUMPTION: 50% of excavation volume requires backfill
DL-012,ITM-012,"Commissioning & Testing > Commissioning, Testing & Inspection",PKG-010,DEL-010-01,Concrete testing (cylinder breaks and field testing),1,LS,8500.00,8500.00,CAD,PARAMETRIC,Assumptions_Log.md ASM-006,LOW,PARAMETRIC allowance: ~$8500 for concrete testing program on ~1282 m2 slab + footings
DL-013,ITM-013,"Commissioning & Testing > Commissioning, Testing & Inspection",PKG-010,DEL-010-01,Compaction testing (subgrade and backfill),1,LS,5000.00,5000.00,CAD,PARAMETRIC,Assumptions_Log.md ASM-007,LOW,PARAMETRIC allowance: ~$5000 for compaction testing
DL-014,ITM-014,Survey & Investigation > Survey & Field Investigation,PKG-010,DEL-010-01,Survey control and layout (building corners and reference lines),1,LS,4500.00,4500.00,CAD,PARAMETRIC,Assumptions_Log.md ASM-008,LOW,PARAMETRIC allowance for GC layout effort
DL-015,ITM-015,Professional Services > Project Management,PKG-010,DEL-010-01,Inspection coordination — County representative and Safety Code,1,LS,3500.00,3500.00,CAD,PARAMETRIC,Assumptions_Log.md ASM-009,LOW,PARAMETRIC allowance for inspection coordination effort
DL-016,ITM-016,Professional Services > Project Management,PKG-010,DEL-010-01,Site handoff documentation (mobilization condition photos and records),1,LS,1500.00,1500.00,CAD,PARAMETRIC,Assumptions_Log.md ASM-010,LOW,PARAMETRIC allowance for site documentation
DL-017,ITM-017,Professional Services > Project Management,PKG-010,DEL-010-01,Foundation construction quality documentation package,1,LS,4000.00,4000.00,CAD,PARAMETRIC,Assumptions_Log.md ASM-011,LOW,PARAMETRIC allowance for quality documentation compilation
DL-018,ITM-018,Survey & Investigation > Survey & Field Investigation,PKG-010,DEL-010-01,As-built survey of completed foundation,1,LS,5000.00,5000.00,CAD,PARAMETRIC,Assumptions_Log.md ASM-012,LOW,PARAMETRIC allowance for as-built survey
DL-019,ITM-019,Professional Services > Project Management,PKG-010,DEL-010-01,PKG-011 handoff package preparation,1,LS,2000.00,2000.00,CAD,PARAMETRIC,Assumptions_Log.md ASM-013,LOW,PARAMETRIC allowance for handoff package compilation
DL-020,ITM-020,Concrete > Concrete & Foundations,PKG-010,DEL-010-01,Embedded items installation — anchor bolts and conduit/plumbing sleeves,1,LS,12000.00,12000.00,CAD,PARAMETRIC,Assumptions_Log.md ASM-014; Structural_Concrete_Rates.csv SC-08 reference,LOW,PARAMETRIC allowance; quantities TBD per structural and MEP drawings. SC-08 rate ($250/EA) used as partial reference
DL-021,ITM-021,Professional Services > Professional Staff,PKG-010,DEL-010-01,Professional staff — Project Manager (PM),6,hr,165.00,990.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-01 (165 CAD/hr); Level_of_Effort.csv DEL-010-01 R-01 (6 hr),HIGH,LOE and rate from price sources
DL-022,ITM-022,Professional Services > Professional Staff,PKG-010,DEL-010-01,Professional staff — Construction Project Manager (CPM),8,hr,155.00,1240.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-02 (155 CAD/hr); Level_of_Effort.csv DEL-010-01 R-02 (8 hr),HIGH,LOE and rate from price sources
DL-023,ITM-023,Professional Services > Professional Staff,PKG-010,DEL-010-01,Professional staff — Site Superintendent,10,hr,145.00,1450.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-03 (145 CAD/hr); Level_of_Effort.csv DEL-010-01 R-03 (10 hr),HIGH,LOE and rate from price sources
DL-024,ITM-024,Professional Services > Professional Staff,PKG-010,DEL-010-01,Professional staff — Cost Estimator,4,hr,135.00,540.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-08 (135 CAD/hr); Level_of_Effort.csv DEL-010-01 R-08 (4 hr),HIGH,LOE and rate from price sources
DL-025,ITM-025,Professional Services > Professional Staff,PKG-010,DEL-010-01,Professional staff — QA/QC Lead,6,hr,135.00,810.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-06 (135 CAD/hr); Level_of_Effort.csv DEL-010-01 R-06 (6 hr),HIGH,LOE and rate from price sources
DL-026,ITM-026,Professional Services > Professional Staff,PKG-010,DEL-010-01,Professional staff — HSE Manager,4,hr,140.00,560.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-05 (140 CAD/hr); Level_of_Effort.csv DEL-010-01 R-05 (4 hr),HIGH,LOE and rate from price sources
DL-027,ITM-027,Construction Labour > General Construction Labour,PKG-010,DEL-010-01,Construction labour — Equipment Operator (excavation and backfill),80,hr,88.00,7040.00,CAD,PARAMETRIC,Construction_Labour_Rates.csv T-07 (FullyBurdenedRate=88.0 CAD/hr),MED,ASSUMPTION: 80 hrs for excavation + backfill operations
DL-028,ITM-028,Construction Labour > General Construction Labour,PKG-010,DEL-010-01,Construction labour — Concrete Finisher (slab and footing finishing),120,hr,77.50,9300.00,CAD,PARAMETRIC,Construction_Labour_Rates.csv T-02 (FullyBurdenedRate=77.5 CAD/hr),MED,ASSUMPTION: 120 hrs for 1208 m2 slab + footing finishing
DL-029,ITM-029,Construction Labour > General Construction Labour,PKG-010,DEL-010-01,Construction labour — Carpenter (formwork),160,hr,80.60,12896.00,CAD,PARAMETRIC,Construction_Labour_Rates.csv T-01 (FullyBurdenedRate=80.6 CAD/hr),MED,ASSUMPTION: 160 hrs for 280 m2 formwork build + strip
DL-030,ITM-030,Construction Labour > General Construction Labour,PKG-010,DEL-010-01,Construction labour — Ironworker (rebar installation),100,hr,92.80,9280.00,CAD,PARAMETRIC,Construction_Labour_Rates.csv T-03 (FullyBurdenedRate=92.8 CAD/hr),MED,ASSUMPTION: 100 hrs for ~21900 kg rebar placement
DL-031,ITM-031,Construction Labour > General Construction Labour,PKG-010,DEL-010-01,Construction labour — Labourer (general site support),200,hr,65.10,13020.00,CAD,PARAMETRIC,Construction_Labour_Rates.csv T-08 (FullyBurdenedRate=65.1 CAD/hr),MED,ASSUMPTION: general support labour across all foundation phases
