LineID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes
L-0601,26-00,PKG-002,DEL-02-06,Electrical power distribution - institutional/office/shared areas (service entrance to panels to branch circuits to receptacles),5200,sf,21,109200,CAD,RATE_TABLE,Electrical_System_Rates.csv:ES-01 + Assumed_Project_Parameters.csv:PP-05 + ASM-001,MED,Institutional areas = 18000 sf total - 12800 sf bay area per ASM-001
L-0602,26-00,PKG-002,DEL-02-06,Electrical power distribution - apparatus/shop bay areas (heavier circuits; welding receptacles; 3-phase),12800,sf,14,179200,CAD,RATE_TABLE,Electrical_System_Rates.csv:ES-02 + Assumed_Project_Parameters.csv:PP-05 + ASM-001,MED,Bay areas = 8 bays x ~1600 sf per ASM-001; includes compressed air electrical feed per cost ownership rules
L-0603,26-50,PKG-002,DEL-02-06,LED lighting system - institutional/office/shared areas (IES-compliant; fixtures; controls; dimming),5200,sf,10,52000,CAD,RATE_TABLE,Electrical_System_Rates.csv:ES-03 + ASM-001,MED,IES-compliant per SOW-0228
L-0604,26-50,PKG-002,DEL-02-06,LED lighting - apparatus/shop bays (high-bay LED; instant-on for emergency response),12800,sf,6,76800,CAD,RATE_TABLE,Electrical_System_Rates.csv:ES-04 + ASM-001,MED,High-bay fixtures per SOW-0228
L-0605,27-00,PKG-002,DEL-02-06,IT/telecom data drops (Cat 6A cable; termination; patch panel port; tested),45,each,850,38250,CAD,RATE_TABLE,Electrical_System_Rates.csv:ES-06 + Assumed_Project_Parameters.csv:PP-27,MED,45 drops per PP-27; includes 15 meeting room EM workstations per SOW-0208
L-0606,27-00,PKG-002,DEL-02-06,IT backbone infrastructure (fibre + MDF/IDF rooms; racks; UPS),1,LS,32000,32000,CAD,RATE_TABLE,Electrical_System_Rates.csv:ES-07,MED,Main + intermediate distribution frames; provides infrastructure that access control connects to
L-0607,27-50,PKG-002,DEL-02-06,PA/paging system - building-wide (amplifier; speakers; zone control; microphone stations),1,LS,20000,20000,CAD,RATE_TABLE,Electrical_System_Rates.csv:ES-09,MED,Simple PA per SOW-0226; rate cross-referenced with Equipment_Pricing.csv:EQ-12
L-0608,27-00,PKG-002,DEL-02-06,Apparatus bay display systems (55-inch commercial display + mount + power + data; 4 bays),4,each,2500,10000,CAD,RATE_TABLE,Electrical_System_Rates.csv:ES-10 + Equipment_Pricing.csv:EQ-11,MED,Emergency info display per SOW-0225; 4 fire apparatus bays
L-0609,26-50,PKG-002,DEL-02-06,Emergency lighting system (battery units; exit signs; egress lighting; per code),18000,sf,2.50,45000,CAD,RATE_TABLE,Electrical_System_Rates.csv:ES-11,MED,Full building area per PP-05; per SOW-0228 code requirement
L-0610,26-10,PKG-002,DEL-02-06,Solar-ready electrical provisions (conduit run; reserved panel space; labelled disconnect; no PV panels),1,LS,12000,12000,CAD,RATE_TABLE,Electrical_System_Rates.csv:ES-13,MED,Solar-capable roof per SOW-0221; electrical provisions only
L-0611,26-00,PKG-002,DEL-02-06,Electrical service entrance (600A; 347/600V 3-phase; switchboard; metering),1,LS,45000,45000,CAD,RATE_TABLE,Electrical_System_Rates.csv:ES-14,MED,Service entrance up to generator transfer point per cost ownership rules; excludes ATS/generator (DEL-02-07)
L-0612,26-80,PKG-002,DEL-02-06,System-specific commissioning labor - electrical/lighting/IT/PA testing and verification,100,hr,80,8000,CAD,RATE_TABLE,Construction_Labour_Rates.csv:T-07 + ASM-002,MED,100 hours estimated per ASM-002; T-07 Electrician fully-burdened rate; does not include DEL-01-07 general commissioning coordination
L-0613,26-90,PKG-002,DEL-02-06,Electrical engineering design fees (power + lighting + IT/telecom + fire alarm design),1,LS,15486,15486,CAD,RATE_TABLE,Professional_Design_Fees.csv:DF-05,MED,2.5% of electrical construction subtotal ($619450); per DF-05 recommended percentage
