FromPackageID,FromDeliverableID,FromDeliverableName,DetailPath,RunContextPath,AssumptionsPath,RisksPath,SchemaStatus,Notes
PKG-001,DEL-01-01,Integrated Design Management & Submission Packages,examples/execution-6a/_Estimates/EST_DEL-01-01_2026-02-18_1200/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-01-01_2026-02-18_1200/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-01-01_2026-02-18_1200/Assumptions_Log.md,NOT_PRESENT,OK,
PKG-001,DEL-01-02,"Baseline Schedule, Updates & Reporting",examples/execution-6a/_Estimates/EST_DEL-01-02_2026-02-18_0900/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-01-02_2026-02-18_0900/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-01-02_2026-02-18_0900/Assumptions_Log.md,NOT_PRESENT,OK,
PKG-001,DEL-01-03,Health & Safety Plan,examples/execution-6a/_Estimates/EST_DEL-01-03_2026-02-18_1720/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-01-03_2026-02-18_1720/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-01-03_2026-02-18_1720/Assumptions_Log.md,NOT_PRESENT,OK,
PKG-001,DEL-01-04,"Permitting, Inspections & AHJ Coordination",examples/execution-6a/_Estimates/EST_DEL-01-04_2026-02-18_1400/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-01-04_2026-02-18_1400/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-01-04_2026-02-18_1400/Assumptions_Log.md,NOT_PRESENT,OK,
PKG-001,DEL-01-05,"Meetings, Documentation & Change Control",examples/execution-6a/_Estimates/EST_DEL-01-05_2026-02-18_0000/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-01-05_2026-02-18_0000/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-01-05_2026-02-18_0000/Assumptions_Log.md,NOT_PRESENT,OK,
PKG-001,DEL-01-06,"Site Supervision, Logistics & Housekeeping",examples/execution-6a/_Estimates/EST_DEL-01-06_2026-02-18_1030/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-01-06_2026-02-18_1030/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-01-06_2026-02-18_1030/Assumptions_Log.md,NOT_PRESENT,OK,
PKG-001,DEL-01-07,"Commissioning, Closeout & Warranty",examples/execution-6a/_Estimates/EST_DEL-01-07_2026-02-18_1830/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-01-07_2026-02-18_1830/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-01-07_2026-02-18_1830/Assumptions_Log.md,NOT_PRESENT,OK,
PKG-002,DEL-02-01,"Architectural Program, Layout & Code Planning",examples/execution-6a/_Estimates/EST_DEL-02-01_2026-02-18_0800/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-02-01_2026-02-18_0800/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-02-01_2026-02-18_0800/Assumptions_Log.md,NOT_PRESENT,OK,
PKG-002,DEL-02-02,Firehall Apparatus Bays & Support Spaces,examples/execution-6a/_Estimates/EST_DEL-02-02_2026-02-18_1036/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-02-02_2026-02-18_1036/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-02-02_2026-02-18_1036/Assumptions_Log.md,NOT_PRESENT,OK,
PKG-002,DEL-02-03,Public Works Shop Bays & Support Spaces,examples/execution-6a/_Estimates/EST_DEL-02-03_2026-02-18_1100/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-02-03_2026-02-18_1100/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-02-03_2026-02-18_1100/Assumptions_Log.md,examples/execution-6a/_Estimates/EST_DEL-02-03_2026-02-18_1100/Risk_Register.md,OK,
