WBS_PackageID,WBS_DeliverableID,CBS,Currency,Amount_Total,LineCount,ProvenanceCompletenessPct,Notes
PKG-001,DEL-01-01,ADMIN,CAD,4800,1,100%,
PKG-001,DEL-01-01,DESIGN,CAD,5800,1,100%,
PKG-001,DEL-01-01,MGMT,CAD,34200,2,100%,
PKG-001,DEL-01-02,MGMT.PROJ_CONTROLS,CAD,13900,2,100%,1 TBD rows excluded
PKG-001,DEL-01-03,CBS-LABOUR-ADMIN,CAD,640,1,100%,
PKG-001,DEL-01-03,CBS-LABOUR-SAFETY,CAD,6600,1,100%,
PKG-001,DEL-01-03,CBS-SUPPLIES,CAD,0,0,,1 TBD rows excluded
PKG-001,DEL-01-03,CBS-TRAINING,CAD,0,0,,1 TBD rows excluded
PKG-001,DEL-01-04,01-FEES,CAD,71950,5,100%,
PKG-001,DEL-01-04,01-MGMT,CAD,7960,2,100%,
PKG-001,DEL-01-05,ADMIN,CAD,4000,1,100%,
PKG-001,DEL-01-05,PM,CAD,15750,1,100%,
PKG-001,DEL-01-06,01-CMGT,CAD,203700,2,100%,
PKG-001,DEL-01-06,01-SITE,CAD,0,0,,2 TBD rows excluded
PKG-001,DEL-01-07,CBS-0107-ADM,CAD,1600,1,100%,
PKG-001,DEL-01-07,CBS-0107-CX,CAD,16800,1,100%,
PKG-001,DEL-01-07,CBS-0107-MGT,CAD,5250,1,100%,
PKG-002,DEL-02-01,3100,CAD,0,0,,1 TBD rows excluded
PKG-002,DEL-02-01,3200,CAD,0,0,,1 TBD rows excluded
PKG-002,DEL-02-01,3300,CAD,47200,3,100%,
PKG-002,DEL-02-01,3400,CAD,0,0,,3 TBD rows excluded
PKG-002,DEL-02-01,3500,CAD,0,0,,1 TBD rows excluded
PKG-002,DEL-02-01,3600,CAD,0,0,,1 TBD rows excluded
PKG-002,DEL-02-02,03-CONCRETE,CAD,30829,6,100%,
PKG-002,DEL-02-02,09-FINISHES,CAD,62850,26,100%,
PKG-002,DEL-02-02,10-SPECIALTIES,CAD,92600,3,100%,
PKG-002,DEL-02-02,11-EQUIPMENT,CAD,55000,1,100%,
PKG-002,DEL-02-02,22-PLUMBING,CAD,18000,1,100%,
PKG-002,DEL-02-02,23-MECH,CAD,20000,1,100%,
PKG-002,DEL-02-03,21.03.01,CAD,31850,3,100%,
PKG-002,DEL-02-03,21.03.02,CAD,40188,4,100%,
PKG-002,DEL-02-03,21.03.03,CAD,34000,2,100%,
PKG-002,DEL-02-03,21.03.04,CAD,95060,12,100%,
PKG-002,DEL-02-03,21.03.05,CAD,11298,11,100%,
PKG-002,DEL-02-04,03-CONCRETE,CAD,370390,8,100%,
PKG-002,DEL-02-04,05-STEEL,CAD,461668,4,100%,
PKG-002,DEL-02-04,07-ENVELOPE,CAD,554790,6,100%,
PKG-002,DEL-02-04,08-OPENINGS,CAD,249100,6,100%,
PKG-002,DEL-02-04,09-FLOORING,CAD,58520,2,100%,
PKG-002,DEL-02-04,31-EARTHWORK,CAD,6000,1,100%,
PKG-002,DEL-02-04,50-DESIGN,CAD,20801,1,100%,
PKG-002,DEL-02-05,23-COMM,CAD,18000,1,100%,
PKG-002,DEL-02-05,23-CTRL,CAD,72000,1,100%,
PKG-002,DEL-02-05,23-EQUP,CAD,49000,3,100%,
PKG-002,DEL-02-05,23-EXHS,CAD,144000,2,100%,
PKG-002,DEL-02-05,23-FPRT,CAD,108000,1,100%,
PKG-002,DEL-02-05,23-HVAC,CAD,435200,3,100%,
PKG-002,DEL-02-05,23-MECH-DESIGN,CAD,24295,1,100%,
PKG-002,DEL-02-05,23-PLMB,CAD,163600,4,100%,
PKG-002,DEL-02-06,26-00,CAD,333400,3,100%,
PKG-002,DEL-02-06,26-10,CAD,12000,1,100%,
PKG-002,DEL-02-06,26-50,CAD,173800,3,100%,
PKG-002,DEL-02-06,26-80,CAD,8000,1,100%,
PKG-002,DEL-02-06,26-90,CAD,15486,1,100%,
PKG-002,DEL-02-06,27-00,CAD,80250,3,100%,
PKG-002,DEL-02-06,27-50,CAD,20000,1,100%,
PKG-002,DEL-02-07,26-EMRG-DES,CAD,5000,1,100%,
PKG-002,DEL-02-07,26-EMRG-DIST,CAD,18000,1,100%,
PKG-002,DEL-02-07,26-EMRG-DOOR,CAD,16000,1,100%,
PKG-002,DEL-02-07,26-EMRG-GEN,CAD,162000,2,100%,
PKG-003,DEL-03-01,03-DESIGN,CAD,13500,1,100%,
PKG-003,DEL-03-01,03-SURVEY,CAD,5000,1,100%,
PKG-003,DEL-03-02,03-02-CLR,CAD,32010,2,100%,
PKG-003,DEL-03-02,03-02-DRN,CAD,74500,3,100%,
PKG-003,DEL-03-02,03-02-DSN,CAD,11514,1,100%,
PKG-003,DEL-03-02,03-02-ESC,CAD,22000,1,100%,
PKG-003,DEL-03-02,03-02-EW,CAD,178038,5,100%,
PKG-003,DEL-03-02,03-02-FIN,CAD,110000,1,100%,
PKG-003,DEL-03-02,03-02-GEO,CAD,32000,1,100%,
PKG-003,DEL-03-02,03-02-SRV,CAD,12000,1,100%,
PKG-003,DEL-03-03,03.03.AGG,CAD,390000,3,100%,
PKG-003,DEL-03-03,03.03.ASP-HD,CAD,200000,2,100%,
PKG-003,DEL-03-03,03.03.ASP-LD,CAD,208000,2,100%,
PKG-003,DEL-03-03,03.03.CONC,CAD,83230,4,100%,
PKG-003,DEL-03-03,03.03.MARK,CAD,3150,2,100%,
PKG-003,DEL-03-03,03.03.SITE,CAD,12000,1,100%,
PKG-003,DEL-03-04,31.00,CAD,3730,1,100%,
PKG-003,DEL-03-04,31.40,CAD,41000,4,100%,
PKG-003,DEL-03-04,31.41,CAD,31000,2,100%,
PKG-003,DEL-03-04,31.42,CAD,16800,1,100%,
PKG-003,DEL-03-04,31.43,CAD,38400,2,100%,
PKG-003,DEL-03-04,31.44,CAD,12000,1,100%,
PKG-003,DEL-03-04,31.45,CAD,10000,1,100%,
PKG-003,DEL-03-04,31.49,CAD,35000,1,100%,
PKG-003,DEL-03-04,31.50,CAD,39000,5,100%,
PKG-003,DEL-03-05,PROF_SERVICES,CAD,26500,2,100%,
PKG-003,DEL-03-05,REGULATORY_FEES,CAD,16970,3,100%,
PKG-004,DEL-04-01,04.01.DESIGN,CAD,10000,1,100%,
PKG-004,DEL-04-01,04.01.SHELL,CAD,192000,1,100%,
PKG-004,DEL-04-02,03-Concrete,CAD,13776,2,100%,
PKG-004,DEL-04-02,07-Thermal,CAD,1286,2,100%,
PKG-004,DEL-04-02,08-Doors,CAD,36750,8,100%,
PKG-004,DEL-04-03,02-Sitework,CAD,11140,2,100%,
PKG-004,DEL-04-03,03-Concrete,CAD,75514,5,100%,
PKG-004,DEL-04-03,05-Metals,CAD,63600,2,100%,
PKG-004,DEL-04-03,31-Earthwork,CAD,6684,1,100%,
PKG-004,DEL-04-04,23-VENT,CAD,18000,1,100%,
PKG-004,DEL-04-04,26-ELEC,CAD,36000,1,100%,
PKG-005,DEL-05-01,CBS-0500-ENVR,CAD,12000,1,100%,
PKG-005,DEL-05-01,CBS-0500-EQUIP,CAD,95000,1,100%,
PKG-005,DEL-05-01,CBS-0500-PLMB,CAD,16000,1,100%,
PKG-005,DEL-05-02,26-COND,CAD,8000,1,100%,
PKG-005,DEL-05-02,26-ELEC,CAD,90000,1,100%,
PKG-005,DEL-05-03,26 05 00,CAD,45000,1,100%,
PKG-005,DEL-05-04,26-SECURITY,CAD,50000,1,100%,
PKG-005,DEL-05-04,26-SECURITY-MONITORING,CAD,5400,1,100%,
PKG-005,DEL-05-05,09-SIGNAGE-FAB,CAD,34000,2,100%,
PKG-005,DEL-05-06,CBS-EQP,CAD,14100,5,100%,
PKG-005,DEL-05-06,CBS-INST,CAD,4500,1,100%,
PKG-005,DEL-05-07,FF&E,CAD,20000,1,100%,
