ItemID,DeliverableID,Description,Qty,Unit,PricingMode,SourceDoc,SourceSection,Notes
ITEM-001,DEL-006-03,Scope confirmation and preliminary program review (Step 1.1),1,LS,LUMP_SUM,Procedure,Phase 1 — Step 1.1,"Review App B-Plumb conceptual drawing, RFP §3.4, and all SOW items (SOW-0016, SOW-0027b, SOW-0043, SOW-0045, SOW-0046, SOW-0048, SOW-0050); confirm scope with Architect"
ITEM-002,DEL-006-03,Governing code edition confirmation (Step 1.2),1,LS,LUMP_SUM,Procedure,Phase 1 — Step 1.2,Contact Alberta Safety Codes authority to confirm applicable National Plumbing Code edition; record confirmed edition
ITEM-003,DEL-006-03,Site investigation — Old North Shop existing drainage (Step 1.3),1,LS,LUMP_SUM,Procedure,Phase 1 — Step 1.3,"Site visit to document existing drain/vent conditions in Old North Shop washroom area (SOW-0072); record pipe sizes, materials, invert elevations"
ITEM-004,DEL-006-03,Floor drain layout establishment (Step 2.1),1,LS,LUMP_SUM,Procedure,Phase 2 — Step 2.1,"Finalize floor drain locations for main shop repair bays (~3 drains), wash bay (1 drain to mud sump), emergency shower drain, wash station drain, washroom drains, sump drains (SOW-0045); coordinate with Structural for slab sleeves"
ITEM-005,DEL-006-03,Drainage routing design (Step 2.2),1,LS,LUMP_SUM,Procedure,Phase 2 — Step 2.2,"Establish main building drain path to new 2000 US gal septic holding tank; wash bay drain path to exterior mud sump; service pit/trench drainage provision; confirm gravity flow with Civil grade elevations"
ITEM-006,DEL-006-03,Pipe sizing and slope calculations (Step 2.3),1,LS,LUMP_SUM,Procedure,Phase 2 — Step 2.3,"Size all drain and vent pipes per NPC/Alberta plumbing code based on fixture unit loads (from DEL-006-06); calculate slopes; determine cleanout locations/spacings; produce slope diagram with inverts"
ITEM-007,DEL-006-03,Vent system design (Step 2.4),1,LS,LUMP_SUM,Procedure,Phase 2 — Step 2.4,"Determine vent stack locations based on drain layout and code; route vent piping from traps to vent stacks; coordinate roof penetrations with Architectural/Structural at 35' ceiling; confirm vent stack heights per code"
ITEM-008,DEL-006-03,Preliminary drain & vent drawings production (Step 2.5),1,LS,LUMP_SUM,Procedure,Phase 2 — Step 2.5,"Produce preliminary plan view drawings showing floor drain locations, drain pipe routing with sizes and slopes, vent stack locations, septic connection point, mud sump connection point"
ITEM-009,DEL-006-03,Preliminary design County submission (Step 2.6),1,LS,LUMP_SUM,Procedure,Phase 2 — Step 2.6,Submit preliminary plumbing design package to Camrose County for review and approval; address County comments
ITEM-010,DEL-006-03,IFC drawing production — complete drain & vent plan set (Step 3.2),1,LS,LUMP_SUM,Procedure,Phase 3 — Step 3.2,"Produce complete IFC drawing set: plan view drain layout, plan view vent layout, isometric diagrams, detail sheets (floor drain assembly, cleanout, mud sump connection, service pit drain, trap details), slope diagram, material/equipment schedule, construction notes"
ITEM-011,DEL-006-03,Cross-discipline coordination review (Step 3.3),1,LS,LUMP_SUM,Procedure,Phase 3 — Step 3.3,"Coordinate with Architectural, Structural, Mechanical, Civil: verify sleeve locations, floor drain positions vs. floor plan, mud sump connection grade, no mechanical/ductwork conflicts"
ITEM-012,DEL-006-03,Internal quality review against code and specification requirements (Step 3.4),1,LS,LUMP_SUM,Procedure,Phase 3 — Step 3.4,"Review drawings against applicable plumbing code, all Specification requirements (REQ-006-03-001 to REQ-006-03-033), cross-document consistency with DEL-006-02/04/05"
ITEM-013,DEL-006-03,P.Eng. stamp and sign IFC drawings (Step 3.5),1,LS,LUMP_SUM,Procedure,Phase 3 — Step 3.5,Plumbing Engineer stamps and signs all IFC Drain & Vent Plan drawing sheets; confirm current Alberta P.Eng. licence
ITEM-014,DEL-006-03,IFC drawing set issuance and distribution (Step 3.6),1,LS,LUMP_SUM,Procedure,Phase 3 — Step 3.6,"Issue Drain & Vent Plans as part of coordinated IFC plumbing package; distribute to GC, plumbing installer (PKG-014), County representative, permit authority"
ITEM-015,DEL-006-03,Safety Code permit support (Step 4.1–4.2),1,LS,LUMP_SUM,Procedure,Phase 4 — Steps 4.1–4.2,"Provide IFC drawings and calculations for plumbing Safety Code permit application (PKG-009); respond to permit authority questions; issue drawing revisions if required"
ITEM-016,DEL-006-03,Construction support — RFIs and field clarifications (Step 4.3),1,LS,LUMP_SUM,Procedure,Phase 4 — Step 4.3,"Respond to RFIs from plumbing installer (PKG-014); issue field clarifications or drawing revisions; County representative presence at inspections (SOW-0084)"
ITEM-017,DEL-006-03,Project management — drain & vent plans design phase,6,hr,UNIT_RATE,Datasheet,Identification,"PM coordination for drain & vent plans design phase; sourced from Level_of_Effort.csv R-01 allocation for DEL-006-03"
ITEM-018,DEL-006-03,Cost estimating support — drain & vent plans,4,hr,UNIT_RATE,Datasheet,Identification,"Estimating support; sourced from Level_of_Effort.csv R-08 allocation for DEL-006-03"
ITEM-019,DEL-006-03,BIM / CAD production — drain & vent plan drawings,21,hr,UNIT_RATE,Datasheet,Identification,"BIM technician production of drain/vent plan drawings, isometrics, details, schedules; sourced from Level_of_Effort.csv R-13 allocation for DEL-006-03"
ITEM-020,DEL-006-03,Plumbing engineering — drain & vent system design,49,hr,UNIT_RATE,Datasheet,Identification,"Lead plumbing engineer design effort for all drain/vent system engineering; sourced from Level_of_Effort.csv R-18 allocation for DEL-006-03"
