ItemID,DeliverableID,Description,Qty,Unit,PricingMode,SourceDoc,SourceSection,Notes
ITM-001,DEL-017-01,Project Management — DEL-017-01 allocation,6,hr,UNIT_RATE,Procedure,Phase 1-5 (all steps),Level_of_Effort.csv: R-01 Project Manager 6 hr
ITM-002,DEL-017-01,Construction Project Management,8,hr,UNIT_RATE,Procedure,Phase 2-4 (Steps 6-14),Level_of_Effort.csv: R-02 Construction PM 8 hr
ITM-003,DEL-017-01,Site Superintendent — kitchenette reno supervision,10,hr,UNIT_RATE,Procedure,Phase 2-4 (Steps 6-14),Level_of_Effort.csv: R-03 Site Superintendent 10 hr
ITM-004,DEL-017-01,Cost Estimator — pricing and QTO support,4,hr,UNIT_RATE,Procedure,Phase 1 (pre-construction),Level_of_Effort.csv: R-08 Cost Estimator 4 hr
ITM-005,DEL-017-01,QA/QC Lead — inspection and deficiency tracking,6,hr,UNIT_RATE,Procedure,Phase 4-5 (Steps 15-18),Level_of_Effort.csv: R-06 QA/QC Lead 6 hr
ITM-006,DEL-017-01,HSE Manager — safety oversight,4,hr,UNIT_RATE,Procedure,Phase 2-4 (Steps 6-14),Level_of_Effort.csv: R-05 HSE Manager 4 hr
ITM-007,DEL-017-01,Existing Conditions Survey and Photographic Documentation,1,LS,LUMP_SUM,Procedure,Step 1 (Existing Conditions Documentation),Field survey + photos of existing kitchenette per EXISTING-001; hazardous materials assessment per Lensing A-002
ITM-008,DEL-017-01,Utility Capacity Verification (plumbing + electrical),1,LS,LUMP_SUM,Procedure,Step 2 (Utility Capacity Verification),Confirm existing plumbing and electrical capacity per UTILITY-001
ITM-009,DEL-017-01,Design Coordination and IFC Drawing Review,1,LS,LUMP_SUM,Procedure,Step 3 (Design Coordination),Contractor coordination with Architect (PKG-001) + Plumbing Eng (PKG-006) + Electrical Eng (PKG-004); IFC review per DESIGN-001
ITM-010,DEL-017-01,Permit Acquisition (building + safety code permits),1,LS,LUMP_SUM,Procedure,Step 4 (Permitting),Building permit (DEL-009-02) + plumbing/electrical/gas safety code permits (DEL-009-03); GC admin effort; permit fees excluded (County pays)
ITM-011,DEL-017-01,Workforce Continuity Planning,1,LS,LUMP_SUM,Procedure,Step 5 (Workforce and Continuity Planning),Discuss phasing / temp accommodation with Owner per Guidance Considerations
ITM-012,DEL-017-01,Hazardous Materials Assessment (ACM + lead paint),1,LS,LUMP_SUM,Procedure,Step 1 (Lensing A-002),ACM and lead-paint testing prior to demolition; abatement if required is additional
