ItemID,DeliverableID,Description,Qty,Unit,PricingMode,SourceDoc,SourceSection,Notes
ITEM-001,DEL-004-08,Service entrance sizing calculation — three-phase power supply sizing and demand analysis (REQ-004-08-01),1,LS,LUMP_SUM,Specification,REQ-004-08-01,Professional engineering effort; includes service entrance conductor sizing and overcurrent protection
ITEM-002,DEL-004-08,Connected and demand load schedule — all lighting/receptacle/equipment/special-purpose loads (REQ-004-08-02),1,LS,LUMP_SUM,Specification,REQ-004-08-02,Comprehensive load schedule covering all circuits per App B (Electrical) and RFP §3.4
ITEM-003,DEL-004-08,Lighting calculation — main shop (20x150W LED high bay) (REQ-004-08-03),1,LS,LUMP_SUM,Specification,REQ-004-08-03,Illuminance verification for 5 rows x 4 fixtures; circuit loading documentation
ITEM-004,DEL-004-08,Lighting calculation — wash bay (6 high bay fixtures) (REQ-004-08-04),1,LS,LUMP_SUM,Specification,REQ-004-08-04,Illuminance verification for 2 rows x 3 fixtures; wet location IP rating confirmation
ITEM-005,DEL-004-08,Lighting calculation — office/utility/parts-tool room (9 LED fixtures) (REQ-004-08-05),1,LS,LUMP_SUM,Specification,REQ-004-08-05,"Office 1x8' LED, Utility 2x8' LED, Parts/Tool 6x8' LED at 80W each (assumption)"
ITEM-006,DEL-004-08,Lighting calculation — service pit (REQ-004-08-06),1,LS,LUMP_SUM,Specification,REQ-004-08-06,Fixture type and illuminance TBD; dedicated lighting circuit required
ITEM-007,DEL-004-08,Receptacle circuit sizing calculations — all types 15A to 50A (REQ-004-08-07),1,LS,LUMP_SUM,Specification,REQ-004-08-07,"Circuit calculations for 15A/120V, 20A/120V, 20A/240V, 30A/240V, 50A/240V receptacles"
ITEM-008,DEL-004-08,Welding-grade receptacle circuit sizing — 50A/240V (REQ-004-08-08),1,LS,LUMP_SUM,Specification,REQ-004-08-08,Multiple 50A/240V receptacles per D-009 assumption; County confirmation pending
ITEM-009,DEL-004-08,Crane power feed calculations — two 5-tonne overhead cranes (REQ-004-08-09),1,LS,LUMP_SUM,Specification,REQ-004-08-09,Crane manufacturer FLA data TBD; dedicated circuits per CEC Section 40
ITEM-010,DEL-004-08,Overhead door power circuit sizing (REQ-004-08-10),1,LS,LUMP_SUM,Specification,REQ-004-08-10,Quantity TBD; assumption ~15-20A/120V per unit; coordinate with DEL-001-07
