LineID,ItemID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes
DL-001,ITEM-001,Professional Services > Project Management,PKG-002,DEL-002-06,Project Manager -- coordination and oversight,6,hr,165,990,CAD,PARAMETRIC,PS-01 R-01 + PS-02 DEL-002-06/R-01,MED,6 hrs at $165/hr per LOE model
DL-002,ITEM-002,Professional Services > Project Management,PKG-002,DEL-002-06,Cost Estimator -- QTO and benchmarking support,4,hr,135,540,CAD,PARAMETRIC,PS-01 R-08 + PS-02 DEL-002-06/R-08,MED,4 hrs at $135/hr per LOE model
DL-003,ITEM-003,Professional Services > Design & Engineering,PKG-002,DEL-002-06,BIM Technician -- structural modeling and drawing production,36,hr,95,3420,CAD,PARAMETRIC,PS-01 R-13 + PS-02 DEL-002-06/R-13,MED,36 hrs at $95/hr per LOE model
DL-004,ITEM-004,Professional Services > Design & Engineering,PKG-002,DEL-002-06,Structural Engineer -- all design analysis; QA; P.Eng. stamp,84,hr,170,14280,CAD,PARAMETRIC,PS-01 R-14 + PS-02 DEL-002-06/R-14,MED,84 hrs at $170/hr per LOE model
DL-005,ITEM-005,Professional Services > Design & Engineering,PKG-002,DEL-002-06,Pit Geometry Confirmation (scope traceability -- cost in DL-001/DL-004),1,LS,0,0,CAD,PARAMETRIC,Procedure Step 1,MED,Cost captured in DL-001 and DL-004; zero-amount scope trace line
DL-006,ITEM-006,Professional Services > Design & Engineering,PKG-002,DEL-002-06,Equipment Load Specification (scope traceability -- cost in DL-004),1,LS,0,0,CAD,PARAMETRIC,Procedure Step 2,MED,Cost captured in DL-004; zero-amount scope trace line
DL-007,ITEM-007,Professional Services > Design & Engineering,PKG-002,DEL-002-06,Geotechnical Integration (scope traceability -- cost in DL-004),1,LS,0,0,CAD,PARAMETRIC,Procedure Step 3,MED,Cost captured in DL-004; zero-amount scope trace line
DL-008,ITEM-008,Professional Services > Design & Engineering,PKG-002,DEL-002-06,Pit Wall Structural Design (scope traceability -- cost in DL-004),1,LS,0,0,CAD,PARAMETRIC,Datasheet -- Structural System Attributes -- Wall construction,MED,Cost captured in DL-004; zero-amount scope trace line
DL-009,ITEM-009,Professional Services > Design & Engineering,PKG-002,DEL-002-06,Pit Floor Slab Design (scope traceability -- cost in DL-004),1,LS,0,0,CAD,PARAMETRIC,Datasheet -- Structural System Attributes -- Floor slab,MED,Cost captured in DL-004; zero-amount scope trace line
DL-010,ITEM-010,Professional Services > Design & Engineering,PKG-002,DEL-002-06,Cover/Grating System Design (scope traceability -- cost in DL-004),1,LS,0,0,CAD,PARAMETRIC,Specification R-002 + R-005,MED,Cost captured in DL-004; zero-amount scope trace line
DL-011,ITEM-011,Professional Services > Design & Engineering,PKG-002,DEL-002-06,Edge Condition and Embedded Plate Detail (scope traceability -- cost in DL-004),1,LS,0,0,CAD,PARAMETRIC,Guidance C-4,MED,Cost captured in DL-004; zero-amount scope trace line
DL-012,ITEM-012,Professional Services > Design & Engineering,PKG-002,DEL-002-06,Access Detail -- Stair/Ladder (scope traceability -- cost in DL-004),1,LS,0,0,CAD,PARAMETRIC,Specification R-010,MED,Cost captured in DL-004; zero-amount scope trace line
DL-013,ITEM-013,Professional Services > Design & Engineering,PKG-002,DEL-002-06,Waterproofing and Drainage Provisions (scope traceability -- cost in DL-004),1,LS,0,0,CAD,PARAMETRIC,Specification R-009,MED,Cost captured in DL-004; zero-amount scope trace line
DL-014,ITEM-014,Professional Services > Project Management,PKG-002,DEL-002-06,Multi-Discipline Penetration Coordination (scope traceability -- cost in DL-001/DL-004),1,LS,0,0,CAD,PARAMETRIC,Procedure Step 5,MED,Cost captured in DL-001 and DL-004; zero-amount scope trace line
DL-015,ITEM-015,Professional Services > Design & Engineering,PKG-002,DEL-002-06,Confined Space Compliance Determination (scope traceability -- cost in DL-004),1,LS,0,0,CAD,PARAMETRIC,Specification R-012,MED,Cost captured in DL-004; zero-amount scope trace line
DL-016,ITEM-016,Professional Services > Design & Engineering,PKG-002,DEL-002-06,Drawing Set Production -- 9 sheets (scope traceability -- cost in DL-003/DL-004),1,LS,0,0,CAD,PARAMETRIC,Procedure Step 6,MED,Cost captured in DL-003 and DL-004; zero-amount scope trace line
DL-017,ITEM-017,Professional Services > Design & Engineering,PKG-002,DEL-002-06,Internal QA Review (scope traceability -- cost in DL-004),1,LS,0,0,CAD,PARAMETRIC,Procedure Step 7,MED,Cost captured in DL-004; zero-amount scope trace line
DL-018,ITEM-018,Professional Services > Design & Engineering,PKG-002,DEL-002-06,P.Eng. Stamp and IFC Issue (scope traceability -- cost in DL-004),1,LS,0,0,CAD,PARAMETRIC,Specification R-007 + Procedure Step 8,MED,Cost captured in DL-004; zero-amount scope trace line
