RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes,EstimateImpactClass,ConsumerHint
v3.1,DEP-006-05-001,PKG-006,DEL-006-05,Septic System Details,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,,SOW-0016,Decomposition §8 Scope Ledger,DEL-006-05 implements SOW-0016 (Complete final plumbing design),Datasheet.md,Datasheet > Identification > Statement of Work Reference,Statement of Work Reference: SOW-0016,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Confirmed in Decomposition: SOW-0016 maps to PKG-006 DEL-006-02 thru DEL-006-08.,,
v3.1,DEP-006-05-002,PKG-006,DEL-006-05,Septic System Details,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,,OBJ-001,Decomposition §5 Objectives,DEL-006-05 traces to OBJ-001 (code-compliant fully functional facility),Datasheet.md,Datasheet > Identification > Supported Objectives,"Supported Objectives: OBJ-001, OBJ-003, OBJ-004",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. OBJ-001 confirmed in Decomposition §5.,,
v3.1,DEP-006-05-003,PKG-006,DEL-006-05,Septic System Details,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,,OBJ-003,Decomposition §5 Objectives,DEL-006-05 traces to OBJ-003 (complete P.Eng.-stamped IFC documentation),Datasheet.md,Datasheet > Identification > Supported Objectives,"Supported Objectives: OBJ-001, OBJ-003, OBJ-004",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. OBJ-003 confirmed in Decomposition §5.,,
v3.1,DEP-006-05-004,PKG-006,DEL-006-05,Septic System Details,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,,OBJ-004,Decomposition §5 Objectives,DEL-006-05 traces to OBJ-004 (install and commission all plumbing and water systems),Datasheet.md,Datasheet > Identification > Supported Objectives,"Supported Objectives: OBJ-001, OBJ-003, OBJ-004",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. OBJ-004 confirmed in Decomposition §5.,,
v3.1,DEP-006-05-005,PKG-006,DEL-006-05,Septic System Details,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-006,DEL-006-01,,Preliminary Plumbing Design,,Preliminary Plumbing Design (DEL-006-01) must be approved by County before final design proceeds,Procedure.md,Procedure > Prerequisites,"Preliminary Plumbing Design approved by County (DEL-006-01) — BLOCKING",EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Procedure classifies as BLOCKING prerequisite. RFP §3.3.2; SOW-0010f.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-006-05-006,PKG-006,DEL-006-05,Septic System Details,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-008,DEL-008-01,,Geotechnical Investigation & Report,,Geotechnical Investigation Report (DEL-008-01) required for subsurface conditions affecting bedding backfill and bearing capacity,Procedure.md,Procedure > Prerequisites,"Geotechnical Investigation Report (DEL-008-01) — SOFT",EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Procedure classifies as SOFT prerequisite. Can proceed with conservative assumptions. SOW-0001.,ADVISORY,TASK_ESTIMATING
v3.1,DEP-006-05-007,PKG-006,DEL-006-05,Septic System Details,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-006,DEL-006-03,,Drain & Vent Plans,,Building drain connection to septic tank requires pipe routing and invert elevations from DEL-006-03,Procedure.md,Procedure > Prerequisites,"Preliminary Drain & Vent Plans (DEL-006-03) — SOFT",EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Procedure classifies as SOFT. Datasheet confirms TBD invert elevations require coordination with DEL-006-03.,ADVISORY,TASK_ESTIMATING
v3.1,DEP-006-05-008,PKG-006,DEL-006-05,Septic System Details,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-006,DEL-006-06,,Plumbing Fixture Schedule,,Fixture unit count from DEL-006-06 required to confirm adequacy of 2000 US gallon tank sizing,Guidance.md,Guidance > Considerations > Coordination Dependencies,Fixture unit count — Confirms adequacy of 2000 US gal tank size,EXPLICIT,TBD,TBD,PENDING,MEDIUM,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Guidance table explicitly lists DEL-006-06 as coordination dependency for fixture unit count.,ADVISORY,TASK_ESTIMATING
v3.1,DEP-006-05-009,PKG-006,DEL-006-05,Septic System Details,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-005,DEL-005-01,,Preliminary Civil Design,,Preliminary Civil Design (DEL-005-01 / PKG-005) required for coordination of tank location with grading drainage and driving surfaces,Procedure.md,Procedure > Prerequisites,"Preliminary Civil Design (DEL-005-01 / PKG-005) — SOFT",EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Procedure classifies as SOFT prerequisite. Guidance confirms coordination for tank location and pump-out access route.,ADVISORY,TASK_ESTIMATING
v3.1,DEP-006-05-010,PKG-006,DEL-006-05,Septic System Details,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,PACKAGE,,,,PKG-004 Electrical Design,,Alarm or level indicator for septic system may require electrical connection from PKG-004,Datasheet.md,Datasheet > Construction > Electrical connections,"Alarm or level indicator may be required; coordinate with PKG-004",EXPLICIT,TBD,TBD,TBD,MEDIUM,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,ASSUMPTION. Electrical connection is TBD; dependency exists only if alarm/level indicator is required. Guidance and Specification also reference this.,TBD,TASK_ESTIMATING
v3.1,DEP-006-05-011,PKG-006,DEL-006-05,Septic System Details,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,,Conceptual Plumbing Drawing (App B — Plumbing),_Sources/AB-2026-01424-Appendix_B__Plumbing_.pdf,Conceptual plumbing drawing (App B Plumbing) establishes septic tank location on north exterior as available input,Procedure.md,Procedure > Prerequisites,"Conceptual Plumbing Drawing (App B — Plumbing) — AVAILABLE",EXPLICIT,TBD,TBD,SATISFIED,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Procedure classifies as AVAILABLE. Already accessible in project sources.,INFO,TASK_ESTIMATING
v3.1,DEP-006-05-012,PKG-006,DEL-006-05,Septic System Details,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-009,DEL-009-03,,Safety Code Permits,,IFC drawings from DEL-006-05 submitted to AHJ for Safety Code permit application (DEL-009-03),Procedure.md,Procedure > Steps > Step 6 > 6.3,"Submit IFC drawings to the AHJ as required for Safety Code permit application (DEL-009-03)",EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Guidance Purpose and Procedure Step 6.3 both confirm this handover.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-006-05-013,PKG-006,DEL-006-05,Septic System Details,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-014,DEL-014-02,,Septic System (Installation),,IFC drawing set transmitted to Plumbing Contractor for construction of septic system (DEL-014-02),Procedure.md,Procedure > Steps > Step 6 > 6.4,"Transmit the IFC drawing set to the project file and make available to the Plumbing Contractor (PKG-014) for construction of DEL-014-02",EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Guidance Purpose and Procedure Step 6.4 both confirm this handover.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-006-05-014,PKG-006,DEL-006-05,Septic System Details,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-020,DEL-020-01,,Building Systems Commissioning,,As-built verification records handed over to DEL-020-01 commissioning package,Procedure.md,Procedure > Steps > Step 7 > 7.4,"Hand over as-built verification records to the commissioning deliverable (DEL-020-01)",EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Guidance Purpose and Procedure Step 7.4 both confirm this handover. Supports OBJ-004.,ADVISORY,TASK_ESTIMATING
