LineID,ItemID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes
DL-001,ITEM-001,General Conditions > General Requirements & Indirect,PKG-017,DEL-017-03,Existing condition survey and documentation,1,LS,1300.00,1300.00,CAD,PARAMETRIC,"PS-05 Construction_Labour_Rates.csv (T-08 Labourer $65.10/hr x 8h = $520.80) + PS-05 (T-05 Plumber $92.80/hr x 4h = $371.20) + PS-01 Professional_Staff_Rates.csv (R-12 Architect $135/hr x 3h = $405); rounded to $1,300 parametric allowance",MED,Parametric estimate: 8h labourer + 4h plumber + 3h architect for survey and documentation
DL-002,ITEM-002,General Conditions > General Requirements & Indirect,PKG-017,DEL-017-03,Code and accessibility review,1,LS,1350.00,1350.00,CAD,PARAMETRIC,"PS-01 Professional_Staff_Rates.csv (R-11 Senior Architect $180/hr x 4h = $720) + PS-01 (R-18 Plumbing Engineer $160/hr x 4h = $640); total $1,360 rounded to $1,350",MED,Parametric estimate: 4h senior architect + 4h plumbing engineer for code review
DL-003,ITEM-003,Professional Services > Design & Engineering,PKG-017,DEL-017-03,Design development — renovation layout,1,LS,3500.00,3500.00,CAD,PARAMETRIC,"PS-01 Professional_Staff_Rates.csv (R-11 Senior Architect $180/hr x 8h = $1,440) + PS-01 (R-12 Architect $135/hr x 8h = $1,080) + PS-01 (R-18 Plumbing Engineer $160/hr x 6h = $960); total $3,480 rounded to $3,500",MED,Parametric estimate: 8h senior architect + 8h architect + 6h plumbing engineer
DL-004,ITEM-004,General Conditions > General Requirements & Indirect,PKG-017,DEL-017-03,Permit submission and approval coordination,1,LS,500.00,500.00,CAD,PARAMETRIC,PS-01 Professional_Staff_Rates.csv (R-22 Permitting Specialist $125/hr x 4h = $500),MED,Parametric estimate: 4h permitting specialist; permit fees excluded (County responsibility per RFP §3.3.1)
DL-005,ITEM-005,Construction Labour > General Construction Labour,PKG-017,DEL-017-03,Site safety setup — hoarding and barricades,1,LS,750.00,750.00,CAD,PARAMETRIC,PS-05 Construction_Labour_Rates.csv (T-01 Carpenter $80.60/hr x 4h = $322.40) + PS-05 (T-08 Labourer $65.10/hr x 4h = $260.40) + materials allowance $167.20; total $750,MED,Parametric estimate: 4h carpenter + 4h labourer + materials for hoarding/barricading washroom work zone
DL-006,ITEM-006,Construction Labour > General Construction Labour,PKG-017,DEL-017-03,Hazardous materials assessment,1,LS,2500.00,2500.00,CAD,PARAMETRIC,location TBD — no hazmat pricing source in PRICE_SOURCES; parametric allowance based on typical industrial washroom hazmat survey scope,LOW,Parametric allowance; TBD if required per Procedure Step 2.0. Includes survey and report for asbestos/lead assessment of existing finishes.
DL-007,ITEM-007,Construction Labour > General Construction Labour,PKG-017,DEL-017-03,Utility isolation (water supply and drains),1,LS,465.00,465.00,CAD,PARAMETRIC,PS-05 Construction_Labour_Rates.csv (T-05 Plumber $92.80/hr x 3h = $278.40) + PS-05 (T-08 Labourer $65.10/hr x 2h = $130.20) + fittings allowance $56.40; total $465,MED,Parametric estimate: 3h plumber + 2h labourer for water isolation and drain capping
DL-008,ITEM-008,"Sitework & Civil > Earthwork, Surfacing & Landscaping",PKG-017,DEL-017-03,Demolition of existing fixtures and finishes,1,LS,2200.00,2200.00,CAD,PARAMETRIC,"PS-05 Construction_Labour_Rates.csv (T-08 Labourer $65.10/hr x 16h = $1,041.60) + PS-05 (T-05 Plumber $92.80/hr x 4h = $371.20) + PS-05 (T-01 Carpenter $80.60/hr x 6h = $483.60) + equipment/tools $303.60; total $2,200",MED,Parametric estimate: 16h labourer + 4h plumber (fixture disconnection) + 6h carpenter (partition removal); assumes small washroom ~12 m2
DL-009,ITEM-009,"Sitework & Civil > Earthwork, Surfacing & Landscaping",PKG-017,DEL-017-03,Waste disposal — demolition debris,1,LS,800.00,800.00,CAD,PARAMETRIC,location TBD — no waste disposal pricing source in PRICE_SOURCES; parametric allowance,LOW,Parametric allowance for bin rental and disposal of demolition waste from washroom renovation
DL-010,ITEM-010,Construction Labour > General Construction Labour,PKG-017,DEL-017-03,Plumbing rough-in — renovated fixtures,1,LS,2800.00,2800.00,CAD,PARAMETRIC,"PS-05 Construction_Labour_Rates.csv (T-05 Plumber $92.80/hr x 20h = $1,856.00) + materials allowance (pipe, fittings, hangers) $944.00; total $2,800",MED,Parametric estimate: 20h plumber for supply/drain/vent rough-in for toilet and sink reconnection
