RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes,EstimateImpactClass,ConsumerHint
v3.1,DEP-004-09-A001,PKG-004,DEL-004-09,Electrical Specification,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,SOW-0014,Complete final electrical design,_Decomposition/WDMLRL_Decomposition_Claude.md,DEL-004-09 implements SOW-0014 (Complete final electrical design),Datasheet.md,Datasheet > Identification > Covers SOW,"Covers SOW: SOW-0014 (Complete final electrical design)",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Confirmed via decomposition: SOW-0014 maps to DEL-004-02 thru DEL-004-09 in PKG-004.,,
v3.1,DEP-004-09-A002,PKG-004,DEL-004-09,Electrical Specification,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-003,"Produce complete, P.Eng.-stamped IFC design documentation across all disciplines",_Decomposition/WDMLRL_Decomposition_Claude.md,DEL-004-09 supports OBJ-003 (IFC design documentation),Datasheet.md,Datasheet > Identification > Supports Objectives,"Supports Objectives: OBJ-003, OBJ-005",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. OBJ-003 confirmed in decomposition Section 5 Objectives.,,
v3.1,DEP-004-09-A003,PKG-004,DEL-004-09,Electrical Specification,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-005,Install and commission all electrical and low-voltage systems to operational readiness,_Decomposition/WDMLRL_Decomposition_Claude.md,DEL-004-09 supports OBJ-005 (electrical and low-voltage systems),Datasheet.md,Datasheet > Identification > Supports Objectives,"Supports Objectives: OBJ-003, OBJ-005",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. OBJ-005 confirmed in decomposition Section 5 Objectives.,,
v3.1,DEP-004-09-E001,PKG-004,DEL-004-09,Electrical Specification,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-004,DEL-004-01,,Preliminary Electrical Design,PKG-004_Electrical Design/1_Working/DEL-004-01_Preliminary-Design/,County preliminary design approval (DEL-004-01) required before final electrical design can proceed to IFC,Procedure.md,Procedure > Prerequisites > Required Inputs - Design,"County preliminary design approval (DEL-004-01) ... Required before IFC",EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. REQ-020 in Specification.md also states DEL-004-01 approval required before IFC. HOLD point in Procedure Step 7.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-004-09-E002,PKG-004,DEL-004-09,Electrical Specification,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,R-01,AB-2026-01424-WDMLRL RFP.pdf,_Sources/,RFP document (R-01) is a required input providing design requirements at sections 3.3.2 and 3.4,Procedure.md,Procedure > Prerequisites > Required References,R-01: AB-2026-01424-WDMLRL RFP.pdf (sections 1.0 3.1 3.3.2 3.4),EXPLICIT,TBD,TBD,SATISFIED,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Document available per Procedure status column.,INFO,TASK_ESTIMATING
v3.1,DEP-004-09-E003,PKG-004,DEL-004-09,Electrical Specification,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,R-05,AB-2026-01424-Appendix B (Electrical).pdf,_Sources/,Appendix B (Electrical) conceptual drawing is a required input for fixture counts and circuit types,Procedure.md,Procedure > Prerequisites > Required References,R-05: AB-2026-01424-Appendix B (Electrical).pdf,EXPLICIT,TBD,TBD,SATISFIED,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Document available per Procedure status column.,INFO,TASK_ESTIMATING
v3.1,DEP-004-09-E004,PKG-004,DEL-004-09,Electrical Specification,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-003,DEL-003-05,,Mechanical Equipment Schedule,PKG-003_Mechanical Design/1_Working/DEL-003-05_Equipment-Schedule/,Mechanical/HVAC equipment electrical data (exhaust fans MUA unit ceiling fans) required from PKG-003 before electrical design is finalized,Procedure.md,Procedure > Prerequisites > Required Inputs - Design,"Mechanical/HVAC equipment electrical data ... TBD - needed for REQ-007 REQ-015",EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,"FACT. HOLD-01 in Procedure blocks Steps 5 and 6 until mechanical data received. Guidance Consideration 4 and 5 reinforce this interface. TargetDeliverableID=DEL-003-05 is best-fit (Equipment Schedule); ASSUMPTION that equipment schedule is the artifact that provides electrical load data.",BLOCKING,TASK_ESTIMATING
v3.1,DEP-004-09-E005,PKG-004,DEL-004-09,Electrical Specification,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,EXTERNAL,,,,Utility three-phase service confirmation,,Utility confirmation of three-phase service availability at site is a design-blocking input for service voltage and capacity design,Procedure.md,Procedure > Prerequisites > Required Inputs - Design,"Utility confirmation ... TBD - DESIGN-BLOCKING INPUT: needed for REQ-001 REQ-002 REQ-022",EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. HOLD-05 in Procedure. Guidance Consideration 1 reinforces risk of rural location service availability.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-004-09-E006,PKG-004,DEL-004-09,Electrical Specification,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,EXTERNAL,,,,Crane equipment specifications (make model kW rating),,Crane electrical specifications required from supplier/project team for crane circuit design (REQ-010),Procedure.md,Procedure > Prerequisites > Required Inputs - Design,"Crane equipment specifications ... TBD - needed for REQ-010",EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. HOLD-02 in Procedure. Guidance Principle 5 states crane power requires manufacturer coordination. Cannot finalize crane circuit design without this data.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-004-09-E007,PKG-004,DEL-004-09,Electrical Specification,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,EXTERNAL,,,,Security camera system specification (Owner/IT),,Owner must provide security camera system specification before low-voltage design can be completed,Procedure.md,Procedure > Prerequisites > Required Inputs - Design,"Security camera system specification ... TBD - needed for REQ-016",EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,"FACT. HOLD-03 in Procedure. CONF-004-09-02 in Guidance Conflict Table reinforces this gap.",ADVISORY,TASK_ESTIMATING
