DeliverableID,CSV,Row,Field,Raw,Normalized
DEL-006-04,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-04_Cistern-Pump-Details/Dependencies.csv,6,TargetDeliverableID,DEL-006-01_Preliminary-Design,DEL-006-01
DEL-006-04,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-04_Cistern-Pump-Details/Dependencies.csv,7,TargetDeliverableID,DEL-001-02_Floor-Plans,DEL-001-02
DEL-006-04,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-04_Cistern-Pump-Details/Dependencies.csv,8,TargetDeliverableID,DEL-002-02_Foundation-Plan,DEL-002-02
DEL-006-04,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-04_Cistern-Pump-Details/Dependencies.csv,9,TargetDeliverableID,DEL-008-01_Geotech-Investigation,DEL-008-01
DEL-006-04,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-04_Cistern-Pump-Details/Dependencies.csv,10,TargetDeliverableID,DEL-004-03_Power-Plans,DEL-004-03
DEL-006-04,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-04_Cistern-Pump-Details/Dependencies.csv,11,TargetDeliverableID,DEL-005-02_Site-Grading-Plan,DEL-005-02
DEL-006-04,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-04_Cistern-Pump-Details/Dependencies.csv,12,TargetDeliverableID,DEL-006-02_Water-Distribution-Plans,DEL-006-02
DEL-006-04,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-04_Cistern-Pump-Details/Dependencies.csv,13,TargetDeliverableID,DEL-006-03_Drain-Vent-Plans,DEL-006-03
DEL-006-04,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-04_Cistern-Pump-Details/Dependencies.csv,14,TargetDeliverableID,DEL-006-07_Calculation-Package,DEL-006-07
DEL-006-04,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-04_Cistern-Pump-Details/Dependencies.csv,17,TargetDeliverableID,DEL-004-06_Panel-Schedules,DEL-004-06
DEL-006-04,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-04_Cistern-Pump-Details/Dependencies.csv,18,TargetDeliverableID,DEL-009-03_Safety-Code-Permits,DEL-009-03
DEL-006-04,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-04_Cistern-Pump-Details/Dependencies.csv,19,TargetDeliverableID,DEL-006-06_Fixture-Schedule,DEL-006-06
DEL-006-06,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-06_Fixture-Schedule/Dependencies.csv,2,FromDeliverableID,DEL-006-06_Fixture-Schedule,DEL-006-06
DEL-006-06,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-06_Fixture-Schedule/Dependencies.csv,3,FromDeliverableID,DEL-006-06_Fixture-Schedule,DEL-006-06
DEL-006-06,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-06_Fixture-Schedule/Dependencies.csv,4,FromDeliverableID,DEL-006-06_Fixture-Schedule,DEL-006-06
DEL-006-06,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-06_Fixture-Schedule/Dependencies.csv,5,FromDeliverableID,DEL-006-06_Fixture-Schedule,DEL-006-06
DEL-006-06,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-06_Fixture-Schedule/Dependencies.csv,5,TargetDeliverableID,DEL-001-02_Floor-Plans,DEL-001-02
DEL-006-06,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-06_Fixture-Schedule/Dependencies.csv,6,FromDeliverableID,DEL-006-06_Fixture-Schedule,DEL-006-06
DEL-006-06,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-06_Fixture-Schedule/Dependencies.csv,6,TargetDeliverableID,DEL-001-10_Renovation-Plans,DEL-001-10
DEL-006-06,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-06_Fixture-Schedule/Dependencies.csv,7,FromDeliverableID,DEL-006-06_Fixture-Schedule,DEL-006-06
DEL-006-06,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-06_Fixture-Schedule/Dependencies.csv,7,TargetDeliverableID,DEL-006-01_Preliminary-Design,DEL-006-01
DEL-006-06,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-06_Fixture-Schedule/Dependencies.csv,8,FromDeliverableID,DEL-006-06_Fixture-Schedule,DEL-006-06
DEL-006-06,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-06_Fixture-Schedule/Dependencies.csv,8,TargetDeliverableID,DEL-006-02_Water-Distribution-Plans,DEL-006-02
DEL-006-06,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-06_Fixture-Schedule/Dependencies.csv,9,FromDeliverableID,DEL-006-06_Fixture-Schedule,DEL-006-06
DEL-006-06,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-06_Fixture-Schedule/Dependencies.csv,9,TargetDeliverableID,DEL-006-03_Drain-Vent-Plans,DEL-006-03
DEL-006-06,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-06_Fixture-Schedule/Dependencies.csv,10,FromDeliverableID,DEL-006-06_Fixture-Schedule,DEL-006-06
DEL-006-06,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-06_Fixture-Schedule/Dependencies.csv,10,TargetDeliverableID,DEL-006-04_Cistern-Pump-Details,DEL-006-04
DEL-006-06,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-06_Fixture-Schedule/Dependencies.csv,11,FromDeliverableID,DEL-006-06_Fixture-Schedule,DEL-006-06
DEL-006-06,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-06_Fixture-Schedule/Dependencies.csv,11,TargetDeliverableID,DEL-006-07_Calculation-Package,DEL-006-07
DEL-006-06,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-06_Fixture-Schedule/Dependencies.csv,12,FromDeliverableID,DEL-006-06_Fixture-Schedule,DEL-006-06
DEL-006-06,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-06_Fixture-Schedule/Dependencies.csv,12,TargetDeliverableID,DEL-008-01_Geotech-Investigation,DEL-008-01
DEL-006-06,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-06_Fixture-Schedule/Dependencies.csv,13,FromDeliverableID,DEL-006-06_Fixture-Schedule,DEL-006-06
