LineID,ItemID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes
L-001,ITEM-001,Professional Services > Design & Engineering,PKG-006,DEL-006-08,Project Manager — plumbing specification coordination,6,hr,165.00,990.00,CAD,PARAMETRIC,PS-1 (R-01 @ $165/hr) + PS-2 (DEL-006-08 R-01: 6h),MED,PM coordination across all phases
L-002,ITEM-002,Professional Services > Design & Engineering,PKG-006,DEL-006-08,Cost Estimator — estimate prep and quantity takeoff,4,hr,135.00,540.00,CAD,PARAMETRIC,PS-1 (R-08 @ $135/hr) + PS-2 (DEL-006-08 R-08: 4h),MED,Estimate preparation support
L-003,ITEM-003,Professional Services > Design & Engineering,PKG-006,DEL-006-08,BIM Technician — model support for specification coordination,21,hr,95.00,1995.00,CAD,PARAMETRIC,PS-1 (R-13 @ $95/hr) + PS-2 (DEL-006-08 R-13: 21h),MED,BIM/CAD support for specification drawings coordination
L-004,ITEM-004,Professional Services > Design & Engineering,PKG-006,DEL-006-08,Plumbing Engineer — specification authoring and design,49,hr,160.00,7840.00,CAD,PARAMETRIC,PS-1 (R-18 @ $160/hr) + PS-2 (DEL-006-08 R-18: 49h),MED,Lead engineer: scope confirmation; code research; spec drafting; QA; coordination; P.Eng. review; construction/commissioning support
L-005,ITEM-005,Professional Services > Design & Engineering,PKG-006,DEL-006-08,Scope confirmation and code research (Phase 1),1,LS,0.00,0.00,CAD,PARAMETRIC,Included in L-004 (Plumbing Engineer hours),MED,Effort included in ITEM-004 Plumbing Engineer LOE; no separate charge
L-006,ITEM-006,Professional Services > Design & Engineering,PKG-006,DEL-006-08,Preliminary plumbing design input (Phase 2),1,LS,0.00,0.00,CAD,PARAMETRIC,Included in L-004 (Plumbing Engineer hours),MED,Effort included in ITEM-004 Plumbing Engineer LOE; no separate charge
L-007,ITEM-007,Professional Services > Design & Engineering,PKG-006,DEL-006-08,Plumbing calculations coordination (Phase 3),1,LS,0.00,0.00,CAD,PARAMETRIC,Included in L-004 (Plumbing Engineer hours),MED,Effort included in ITEM-004 Plumbing Engineer LOE; no separate charge
L-008,ITEM-008,Professional Services > Design & Engineering,PKG-006,DEL-006-08,Conflict resolution and open items (Phase 3),1,LS,0.00,0.00,CAD,PARAMETRIC,Included in L-004 (Plumbing Engineer hours),MED,Effort included in ITEM-004 Plumbing Engineer LOE; no separate charge
L-009,ITEM-009,Professional Services > Design & Engineering,PKG-006,DEL-006-08,Specification document production — MasterFormat (Phase 3),1,LS,0.00,0.00,CAD,PARAMETRIC,Included in L-004 (Plumbing Engineer hours),MED,Effort included in ITEM-004 Plumbing Engineer LOE; no separate charge
L-010,ITEM-010,Professional Services > Design & Engineering,PKG-006,DEL-006-08,Internal QA review of specification (Phase 3),1,LS,0.00,0.00,CAD,PARAMETRIC,Included in L-004 (Plumbing Engineer hours),MED,Effort included in ITEM-004 Plumbing Engineer LOE; no separate charge
L-011,ITEM-011,Professional Services > Design & Engineering,PKG-006,DEL-006-08,Interdisciplinary coordination review (Phase 3),1,LS,0.00,0.00,CAD,PARAMETRIC,Included in L-004 (Plumbing Engineer hours),MED,Effort included in ITEM-004 Plumbing Engineer LOE; no separate charge
L-012,ITEM-012,Professional Services > Design & Engineering,PKG-006,DEL-006-08,P.Eng. review and authorization (Phase 3),1,LS,0.00,0.00,CAD,PARAMETRIC,Included in L-004 (Plumbing Engineer hours),MED,Effort included in ITEM-004 Plumbing Engineer LOE; no separate charge
L-013,ITEM-013,Professional Services > Design & Engineering,PKG-006,DEL-006-08,Construction support — submittal review and RFIs (Phase 4),1,LS,0.00,0.00,CAD,PARAMETRIC,Included in L-004 (Plumbing Engineer hours),MED,Effort included in ITEM-004 Plumbing Engineer LOE; no separate charge
L-014,ITEM-014,Professional Services > Design & Engineering,PKG-006,DEL-006-08,Commissioning and testing support (Phase 5),1,LS,0.00,0.00,CAD,PARAMETRIC,Included in L-004 (Plumbing Engineer hours),MED,Effort included in ITEM-004 Plumbing Engineer LOE; no separate charge
L-015,ITEM-015,Professional Services > Design & Engineering,PKG-006,DEL-006-08,Closeout documentation (Phase 5),1,LS,0.00,0.00,CAD,PARAMETRIC,Included in L-004 (Plumbing Engineer hours),MED,Effort included in ITEM-004 Plumbing Engineer LOE; no separate charge
L-016,ITEM-016,Professional Services > Design & Engineering,PKG-006,DEL-006-08,Water supply system specification sections,1,LS,0.00,0.00,CAD,PARAMETRIC,Included in L-004 (Plumbing Engineer hours),MED,Content effort included in ITEM-004 Plumbing Engineer LOE; no separate charge
L-017,ITEM-017,Professional Services > Design & Engineering,PKG-006,DEL-006-08,Drainage system specification sections,1,LS,0.00,0.00,CAD,PARAMETRIC,Included in L-004 (Plumbing Engineer hours),MED,Content effort included in ITEM-004 Plumbing Engineer LOE; no separate charge
L-018,ITEM-018,Professional Services > Design & Engineering,PKG-006,DEL-006-08,Septic and sanitary system specification sections,1,LS,0.00,0.00,CAD,PARAMETRIC,Included in L-004 (Plumbing Engineer hours),MED,Content effort included in ITEM-004 Plumbing Engineer LOE; no separate charge
L-019,ITEM-019,Professional Services > Design & Engineering,PKG-006,DEL-006-08,Safety and specialty system specification sections,1,LS,0.00,0.00,CAD,PARAMETRIC,Included in L-004 (Plumbing Engineer hours),MED,Content effort included in ITEM-004 Plumbing Engineer LOE; no separate charge
L-020,ITEM-020,Professional Services > Design & Engineering,PKG-006,DEL-006-08,Standards and code compliance documentation,1,LS,0.00,0.00,CAD,PARAMETRIC,Included in L-004 (Plumbing Engineer hours),MED,Content effort included in ITEM-004 Plumbing Engineer LOE; no separate charge
