ItemID,DeliverableID,Description,Qty,Unit,PricingMode,SourceDoc,SourceSection,Notes
I-001,DEL-015-03,"15A/120V general-purpose receptacle, supply and install (parts room, office, utility room, corridor)",12,EA,UNIT_RATE,Datasheet,Receptacle Quantities and Location Distribution,"Approximate count from App B-Elec for parts room, office, utility room zones; TBD per IFC DEL-004-05"
I-002,DEL-015-03,"20A/120V general-purpose receptacle, supply and install (main shop perimeter, columns, work bench, wash bay)",18,EA,UNIT_RATE,Datasheet,Receptacle Quantities and Location Distribution,"Approximate count from App B-Elec for main shop general, work bench, wash bay zones; TBD per IFC DEL-004-05"
I-003,DEL-015-03,"20A/240V industrial receptacle, supply and install (main shop welding station and south perimeter)",6,EA,UNIT_RATE,Datasheet,Receptacle Quantities and Location Distribution,"Approximate count from App B-Elec: welding station (x2) + south perimeter (multiple); NEMA config TBD"
I-004,DEL-015-03,"30A/240V heavy-duty receptacle, supply and install (welding station area)",3,EA,UNIT_RATE,Datasheet,Receptacle Quantities and Location Distribution,"Approximate count from App B-Elec: welding station (x3); NEMA config TBD"
I-005,DEL-015-03,"50A/240V welding-grade receptacle, supply and install (main shop, multiple locations)",6,EA,UNIT_RATE,Datasheet,Receptacle Quantities and Location Distribution,"App B-Elec: welding station (x3) + south perimeter (scattered ~3); Assumption D-009; NEMA config TBD"
I-006,DEL-015-03,"GFCI protection devices or breakers (wash bay and wet locations)",4,EA,UNIT_RATE,Specification,REQ-015-03-07,"GFCI required per CEC in wash bay and damp locations; qty approximate based on wash bay receptacle count"
I-007,DEL-015-03,"Outlet boxes, conduit, wire, and terminations — 15A/120V circuits",12,EA,UNIT_RATE,Specification,Scope — Included,"Rough-in wiring package per 15A circuit; includes box, conduit run, wire, termination"
I-008,DEL-015-03,"Outlet boxes, conduit, wire, and terminations — 20A/120V circuits",18,EA,UNIT_RATE,Specification,Scope — Included,"Rough-in wiring package per 20A/120V circuit; includes box, conduit run, wire, termination"
I-009,DEL-015-03,"Outlet boxes, conduit, wire, and terminations — 20A/240V circuits",6,EA,UNIT_RATE,Specification,Scope — Included,"Rough-in wiring package per 20A/240V circuit; heavier gauge wire"
I-010,DEL-015-03,"Outlet boxes, conduit, wire, and terminations — 30A/240V circuits",3,EA,UNIT_RATE,Specification,Scope — Included,"Rough-in wiring package per 30A/240V circuit; heavier gauge wire"
