AuthorityRef,SourceSection,SourceExcerptSummary,OwningRoot,SecondaryRoot,ScopeClass,ChangeType,TargetCATs,TargetKTYs,SharedTermSet,PublicationImpact,Notes
AUTH-001,"1 Introduction","Complex-wide project definition: TOU/MLE FEED contract, commercial framework (sales gas to TC/Enbridge/Alliance, NGL to NRM via LACT, condensate to NRM NEBC Connector, acid gas to NRM disposal well), permitting basis including BC ER and environmental assessment exclusion due to electrification","West_Doe_Deepcut_DBM","West_Doe_Comp_and_Liquids_DBM","SHARED_INTERFACE","MODIFY","West_Doe_Deepcut_DBM:CAT-001 || West_Doe_Comp_and_Liquids_DBM:CAT-001","West_Doe_Deepcut_DBM:KTY-01-01;KTY-01-02 || West_Doe_Comp_and_Liquids_DBM:KTY-01-01;KTY-01-02","West Doe Complex|Tourmaline Oil Corporation|NorthRiver Midstream|NRM|Millenia Engineering|MLE|LACT|NRM NEBC Connector","HIGH","Both roots must carry consistent project-framing and commercial-framework statements. Deepcut normalizes first."
AUTH-002,"1.1.1 03-25 Compressor Station and Liquids Hub","03-25 equipment scope list: 2x inlet separators, 2x inlet compressors, condensate mercaptan treating, 2x VRUs, 11x condensate tanks, 7x produced water tanks, tank farm pumps, 3x truck loading stations, H2O2 treatment, HP/LP/incinerator flare KO drums, condensate LACT","West_Doe_Comp_and_Liquids_DBM","","COMP_LIQ_ONLY","MODIFY","CAT-001;CAT-004","KTY-01-04;KTY-04-01;KTY-04-02;KTY-04-05;KTY-04-09;KTY-04-11;KTY-04-12;KTY-04-13;KTY-04-14","","HIGH",""
AUTH-003,"1.1.2 04-25 West Doe Deep Cut Expansion","04-25 equipment scope list: 2x HP inlet separators, 5x inlet/sales compressors, 1x sales gas booster, 2x acid gas compressors, amine sweetening, TEG dehy, mol sieve dehy, cryo turbo-expander C3+ recovery, sales gas coalescer/splitter, MPFS, 3x stabilizers, 2x SOCs, 2x VRUs, NGL treating/dehy, 16x NGL bullets, flare system, incinerator, utilities","West_Doe_Deepcut_DBM","","DEEPCUT_ONLY","MODIFY","CAT-001;CAT-004","KTY-01-04;KTY-04-01;KTY-04-02;KTY-04-04;KTY-04-05;KTY-04-06;KTY-04-07;KTY-04-08;KTY-04-09;KTY-04-12;KTY-04-13;KTY-04-14;KTY-04-15;KTY-04-16;KTY-04-17;KTY-04-19;KTY-04-20","","HIGH","Sixteen (16) NGL bullets per validated source; PDF page 28 typo Sixteen (1) noted in validation report."
AUTH-004,"1.1.1 / 1.1.2 Shared utilities statement","Power and utilities (fuel gas and instrument air) shared between 03-25 and 04-25. Associated piping, electrical, instrumentation and controls included.","West_Doe_Deepcut_DBM","West_Doe_Comp_and_Liquids_DBM","SHARED_INTERFACE","MODIFY","West_Doe_Deepcut_DBM:CAT-001;CAT-005;CAT-012 || West_Doe_Comp_and_Liquids_DBM:CAT-001;CAT-005;CAT-012","West_Doe_Deepcut_DBM:KTY-01-04;KTY-05-01;KTY-05-02;KTY-05-07;KTY-12-04 || West_Doe_Comp_and_Liquids_DBM:KTY-01-04;KTY-05-01;KTY-05-02;KTY-05-07;KTY-12-04","Fuel Gas|Instrument Air|Power|Shared Utilities|Emergency Generator","HIGH","Deepcut normalizes. Fuel gas and IA buildings located at 04-25 per §5.2. Emergency generator supplies both facilities."
AUTH-005,"2 Site Design Parameters / table_02_site_design_parameters","Site location 03/04-25-80-15 W6M, elevation 673m, ambient temp range -49.2 to 38.9°C, design temp -40 to 35°C, seismic, snow, wind, rain data from Dawson Creek NBC 2020","West_Doe_Deepcut_DBM","West_Doe_Comp_and_Liquids_DBM","SHARED_INTERFACE","VERIFY_ONLY","West_Doe_Deepcut_DBM:CAT-002 || West_Doe_Comp_and_Liquids_DBM:CAT-002","West_Doe_Deepcut_DBM:KTY-02-01 || West_Doe_Comp_and_Liquids_DBM:KTY-02-01","03/04-25-80-15 W6M|Dawson Creek","MEDIUM","Shared site; both roots should carry identical site design parameters. Verify consistency."
AUTH-006,"3.1 Individual Well Blending Philosophy","Well blending methodology: equal well contributions, sulphur scaling via H2S (gas) and N-Butyl Mercaptan (liquid), liquid blending at 210% of expected long-term LGR (0.5 m3/e3m3 or 88 bbl/MMSCF design), per-well blending procedure","West_Doe_Deepcut_DBM","West_Doe_Comp_and_Liquids_DBM","SHARED_INTERFACE","MODIFY","West_Doe_Deepcut_DBM:CAT-003 || West_Doe_Comp_and_Liquids_DBM:CAT-003","West_Doe_Deepcut_DBM:KTY-03-01 || West_Doe_Comp_and_Liquids_DBM:KTY-03-01","Doe Field|Individual Well Blending|H2S Scaling|N-Butyl Mercaptan|Liquid-to-Gas Ratio","HIGH","Methodology governs feed composition derivation for both roots. Deepcut KTY-03-01 is Inlet Feed; C&L KTY-03-01 is Compressor Station Field Gathering System Feed Streams."
AUTH-007,"3.2 03-25 Compressor Station Feeds / table_03_02_doe_field_inlet_design_conditions / table_03_02_doe_field_inlet_composition","03-25 Doe Field inlet: 1380 kPag, 8.3°C, 2264 e3m3/d gas, 1111 m3/d condensate, 3600 m3/d water. 0.3 mol% H2S design basis. Full blended inlet composition. 8 wells at equal 12.5% contribution.","West_Doe_Comp_and_Liquids_DBM","","COMP_LIQ_ONLY","MODIFY","CAT-003","KTY-03-01","Doe Field|03-25 Compressor Station","HIGH","Canonical CSV tables table_03_02_doe_field_inlet_design_conditions and table_03_02_doe_field_inlet_composition govern."
AUTH-008,"3.3.1 Produced Water / table_03_03_01_produced_water_flows","Produced water flows to 03-25 Liquids Hub: 03-25 CS 3600 m3/d (flowback), 04-25 GP 240 m3/d (batch) / 60 m3/d (avg continuous). Total 3840 m3/d design. H2O2 treatment for H2S removal.","West_Doe_Comp_and_Liquids_DBM","West_Doe_Deepcut_DBM","SHARED_INTERFACE","MODIFY","West_Doe_Comp_and_Liquids_DBM:CAT-003;CAT-004 || West_Doe_Deepcut_DBM:CAT-003","West_Doe_Comp_and_Liquids_DBM:KTY-03-02;KTY-04-13 || West_Doe_Deepcut_DBM:KTY-03-03","Produced Water|Hydrogen Peroxide Treatment|Sour Water|03-25 Liquids Hub","HIGH","Interface: 04-25 produced water pumped to 03-25 for storage/treatment. C&L KTY-03-02 is Liquids Hub Feed Streams; C&L KTY-04-13 is Produced Water Storage and Pumps. Deepcut KTY-03-03 is Waste Streams."
AUTH-009,"3.3.2 Condensate / table_03_03_02_condensate_flow_rates / table_03_03_02_condensate_feed_compositions","Condensate feeds to 03-25 Liquids Hub: 04-25 stabilized 1256 m3/d (7900 bbl/d), 06-29 stabilized 480 m3/d (3019 bbl/d), future 3rd party 1444 m3/d (9081 bbl/d). Total 3180 m3/d (20000 bbl/d). Full feed compositions for each source. 06-29 Parkland blending and stabilization methodology.","West_Doe_Comp_and_Liquids_DBM","West_Doe_Deepcut_DBM","SHARED_INTERFACE","MODIFY","West_Doe_Comp_and_Liquids_DBM:CAT-003;CAT-004 || West_Doe_Deepcut_DBM:CAT-004","West_Doe_Comp_and_Liquids_DBM:KTY-03-02;KTY-04-08;KTY-04-11 || West_Doe_Deepcut_DBM:KTY-04-05;KTY-04-19","Stabilized Condensate|06-29 Canlin Compressor Station|Parkland Field|Future 3rd Party Condensate|Sour Condensate|03-25 Liquids Hub","HIGH","Interface: 04-25 stabilized condensate sent to 03-25 for treatment/blending. C&L KTY-04-08 is Facility Inlet Condensate Pipelines; C&L KTY-04-11 is Condensate Storage and Pumps. Deepcut KTY-04-05 is Inlet Stabilizer (produces the condensate); Deepcut KTY-04-19 is Product Storage and Pumps."
AUTH-010,"3.4 04-25 Deep Cut Gas Plant Feeds / table_03_04_deep_cut_gas_flow_rates / table_03_04_deep_cut_gas_compositions / table_03_04_feed_stream_design_conditions","04-25 gas feeds: Doe/03-25 2123 e3m3/d (75 MMSCFD), Parkland/06-29 1840 e3m3/d (65 MMSCFD), Mica/Vermillion 4245 e3m3/d (150 MMSCFD), Sunrise/03-18 283 e3m3/d (10 MMSCFD), Doe 02-11 acid gas 85 e3m3/d (3 MMSCFD). Total 8575 e3m3/d (303 MMSCFD). Combined and individual compositions. Feed stream design conditions.","West_Doe_Deepcut_DBM","","DEEPCUT_ONLY","MODIFY","CAT-003","KTY-03-01","Doe Field|Parkland Field|Mica Field|Sunrise Field|Doe 02-11|06-29 Canlin Compressor Station|04-25 Deep Cut Gas Plant","HIGH","Three canonical CSV tables govern. Doe 02-11 acid gas composition TBC per source. 1 mol% H2S combined design basis."
