LineID,ItemID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes
L-001,ITM-001,Equipment > Process & Facility Equipment,PKG-013,DEL-013-02,HRV/ERV unit — commercial/industrial high-volume air exchanger supply and delivery,1,EA,13500,13500,CAD,ALLOWANCE,Mechanical_System_Rates.csv — MS-03 (RecommendedRate),LOW,Equipment type and sizing TBD; MS-03 range $9000–$18000; used recommended midpoint
L-002,ITM-002,Construction Labour > General Construction Labour,PKG-013,DEL-013-02,Equipment installation — set HRV/ERV in Utility Room,1,LS,1459.20,1459.20,CAD,PARAMETRIC,Construction_Labour_Rates.csv — T-06 ($91.20/hr x 16 hrs),MEDIUM,16 hrs HVAC sheet metal (2 trades x 8 hrs)
L-003,ITM-003,Materials > General Materials & Supplies,PKG-013,DEL-013-02,Fresh air intake ductwork — material and installation,1,LS,2959.20,2959.20,CAD,PARAMETRIC,Construction_Labour_Rates.csv — T-06; material ASSUMPTION $1500,MEDIUM,Material $1500 + 16 hrs T-06 labour @ $91.20
L-004,ITM-004,Materials > General Materials & Supplies,PKG-013,DEL-013-02,Exhaust outlet ductwork — material and installation,1,LS,2959.20,2959.20,CAD,PARAMETRIC,Construction_Labour_Rates.csv — T-06; material ASSUMPTION $1500,MEDIUM,Material $1500 + 16 hrs T-06 labour @ $91.20
L-005,ITM-005,Materials > General Materials & Supplies,PKG-013,DEL-013-02,Supply and return distribution ductwork — proportional share for air exchanger,1,LS,25368,25368,CAD,PARAMETRIC,Mechanical_System_Rates.csv — MS-06 ($60/m2 x 1208 m2 x 35%),MEDIUM,13000 sqft = 1208 m2; MS-06 rate $60/m2; 35% allocation to air exchanger distribution
L-006,ITM-006,Materials > General Materials & Supplies,PKG-013,DEL-013-02,Wall penetrations — core/frame plus sleeve and flashing (2 EA),2,EA,750,1500,CAD,PARAMETRIC,ASSUMPTION — parametric rate $750/penetration for industrial wall core + sleeve + flash,MEDIUM,Two penetrations: fresh air intake + exhaust outlet
L-007,ITM-007,Materials > General Materials & Supplies,PKG-013,DEL-013-02,Fire stopping at wall penetrations (2 EA),2,EA,350,700,CAD,PARAMETRIC,ASSUMPTION — parametric rate $350/penetration for fire stopping assembly,MEDIUM,Applicability TBD pending wall fire ratings
L-008,ITM-008,Materials > General Materials & Supplies,PKG-013,DEL-013-02,Vibration isolation system,1,LS,2000,2000,CAD,PARAMETRIC,ASSUMPTION — parametric allowance for industrial HVAC vibration isolation,LOW,Requirement TBD per Mechanical Engineer (Specification REQ-016)
L-009,ITM-009,Materials > General Materials & Supplies,PKG-013,DEL-013-02,Controls and sensors — supply and installation,1,LS,4500,4500,CAD,PARAMETRIC,ASSUMPTION — parametric allowance for HVAC controls package (controller + sensors + actuators),MEDIUM,Components TBD per DEL-003-07
L-010,ITM-010,Construction Labour > General Construction Labour,PKG-013,DEL-013-02,Heating system integration — connection to DEL-013-01,1,LS,3500,3500,CAD,PARAMETRIC,ASSUMPTION — parametric allowance for mechanical integration work,LOW,Interface details TBD pending design
