LineID,ItemID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes
DL-001,ITEM-001,Professional Services > Design & Engineering,PKG-004,DEL-004-04,Project Manager — coordination and oversight for Lighting Plans,6,hr,165.00,990.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-01 + Level_of_Effort.csv DEL-004-04/R-01,MED,6 hrs @ $165/hr per parametric LOE model
DL-002,ITEM-002,Professional Services > Design & Engineering,PKG-004,DEL-004-04,Cost Estimator — quantity takeoff and benchmarking support,4,hr,135.00,540.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-08 + Level_of_Effort.csv DEL-004-04/R-08,MED,4 hrs @ $135/hr per parametric LOE model
DL-003,ITEM-003,Professional Services > Design & Engineering,PKG-004,DEL-004-04,BIM Technician — modeling and sheet setup for drawing set,36,hr,95.00,3420.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-13 + Level_of_Effort.csv DEL-004-04/R-13,MED,36 hrs @ $95/hr per parametric LOE model
DL-004,ITEM-004,Professional Services > Design & Engineering,PKG-004,DEL-004-04,Electrical Engineer — lighting layout design and P.Eng. review/stamp,84,hr,165.00,13860.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-16 + Level_of_Effort.csv DEL-004-04/R-16,MED,84 hrs @ $165/hr per parametric LOE model
DL-005,ITEM-005,Professional Services > Design & Engineering,PKG-004,DEL-004-04,Main Shop High Bay LED fixtures — 20 EA (hardware reference only),20,EA,0,0,CAD,PARAMETRIC,Decision_Log DEC-R01,MED,Hardware cost in PKG-015 Electrical Installation scope; $0 in design estimate
DL-006,ITEM-006,Professional Services > Design & Engineering,PKG-004,DEL-004-04,Wash Bay High Bay LED fixtures — 6 EA (hardware reference only),6,EA,0,0,CAD,PARAMETRIC,Decision_Log DEC-R01,MED,Fixture specs TBD (CONF-LT-001); hardware cost in PKG-015
DL-007,ITEM-007,Professional Services > Design & Engineering,PKG-004,DEL-004-04,Office 8-foot LED strip — 1 EA (hardware reference only),1,EA,0,0,CAD,PARAMETRIC,Decision_Log DEC-R01,MED,Hardware cost in PKG-015 Electrical Installation scope; $0 in design estimate
DL-008,ITEM-008,Professional Services > Design & Engineering,PKG-004,DEL-004-04,Utility Room 8-foot LED strip — 2 EA (hardware reference only),2,EA,0,0,CAD,PARAMETRIC,Decision_Log DEC-R01,MED,Hardware cost in PKG-015 Electrical Installation scope; $0 in design estimate
DL-009,ITEM-009,Professional Services > Design & Engineering,PKG-004,DEL-004-04,Parts/Tool Room 8-foot LED strip — 6 EA (hardware reference only),6,EA,0,0,CAD,PARAMETRIC,Decision_Log DEC-R01,MED,Hardware cost in PKG-015 Electrical Installation scope; $0 in design estimate
DL-010,ITEM-010,Professional Services > Design & Engineering,PKG-004,DEL-004-04,Service Pit/Trench lighting fixtures — 1 LS (hardware reference only),1,LS,0,0,CAD,PARAMETRIC,Decision_Log DEC-R01,MED,Fixture type/count TBD (CONF-LT-002); hardware cost in PKG-015
DL-011,ITEM-011,Professional Services > Design & Engineering,PKG-004,DEL-004-04,Photometric calculations — coordination with DEL-004-08,1,LS,0.00,0.00,CAD,PARAMETRIC,Procedure Step 2.4,MED,Included in ITEM-004 Electrical Engineer LOE; zero incremental cost here to avoid double-count
DL-012,ITEM-012,Professional Services > Design & Engineering,PKG-004,DEL-004-04,Mechanical coordination — ceiling fan / exhaust fan overlay,1,LS,0.00,0.00,CAD,PARAMETRIC,Procedure Step 2.6,MED,Included in ITEM-004 Electrical Engineer LOE; zero incremental cost here
DL-013,ITEM-013,Professional Services > Design & Engineering,PKG-004,DEL-004-04,County preliminary design approval process,1,LS,0.00,0.00,CAD,PARAMETRIC,Procedure Step 3,MED,Included in ITEM-001 PM and ITEM-004 EE LOE; zero incremental cost here
DL-014,ITEM-014,Professional Services > Design & Engineering,PKG-004,DEL-004-04,P.Eng. review and stamp — IFC drawing set,1,LS,0.00,0.00,CAD,PARAMETRIC,Specification REQ-LT-007,MED,Included in ITEM-004 Electrical Engineer LOE; zero incremental cost here
DL-015,ITEM-015,Professional Services > Design & Engineering,PKG-004,DEL-004-04,Emergency/exit lighting assessment (TBD scope addition),1,LS,TBD,TBD,CAD,PARAMETRIC,Specification REQ-LT-008 / CONF-LT-003,LOW,"TBD — may add fixtures and design effort if required by Alberta Building Code. Conditional allowance ~$5,800 carried in project notes pending code review (CONF-LT-003)"
