DeliverableID,PackageID,Tier,InDegree,OutDegree
DEL-001-01,PKG-001,1,2,12
DEL-001-02,PKG-001,2,3,17
DEL-001-03,PKG-001,2,2,0
DEL-001-04,PKG-001,4,6,0
DEL-001-05,PKG-001,2,1,0
DEL-001-06,PKG-001,2,1,0
DEL-001-07,PKG-001,2,1,2
DEL-001-08,PKG-001,3,2,1
DEL-001-09,PKG-001,2,1,3
DEL-001-10,PKG-001,3,1,4
DEL-001-11,PKG-001,2,3,1
DEL-002-01,PKG-002,0,0,6
DEL-002-02,PKG-002,1,2,4
DEL-002-03,PKG-002,2,3,6
DEL-002-04,PKG-002,1,2,1
DEL-002-05,PKG-002,3,1,4
DEL-002-06,PKG-002,1,1,3
DEL-002-07,PKG-002,1,2,2
DEL-002-08,PKG-002,3,2,2
DEL-002-09,PKG-002,4,4,1
DEL-002-10,PKG-002,1,1,2
DEL-002-11,PKG-002,1,2,1
DEL-002-12,PKG-002,7,2,2
DEL-003-01,PKG-003,0,0,6
DEL-003-02,PKG-003,3,4,5
DEL-003-03,PKG-003,4,3,3
DEL-003-04,PKG-003,2,3,1
DEL-003-05,PKG-003,2,2,5
DEL-003-06,PKG-003,1,1,9
DEL-003-07,PKG-003,3,3,3
DEL-004-01,PKG-004,2,2,6
DEL-004-02,PKG-004,3,1,2
DEL-004-03,PKG-004,3,2,1
DEL-004-04,PKG-004,3,2,2
DEL-004-05,PKG-004,3,2,2
DEL-004-06,PKG-004,4,5,2
DEL-004-07,PKG-004,3,3,1
DEL-004-08,PKG-004,0,0,3
DEL-004-09,PKG-004,3,1,2
DEL-005-01,PKG-005,1,1,7
DEL-005-02,PKG-005,2,3,4
DEL-005-03,PKG-005,2,3,2
DEL-005-04,PKG-005,2,3,2
DEL-005-05,PKG-005,3,5,0
DEL-005-06,PKG-005,1,2,0
DEL-005-07,PKG-005,2,3,2
DEL-006-01,PKG-006,1,2,4
DEL-006-02,PKG-006,2,3,1
DEL-006-03,PKG-006,5,2,3
DEL-006-04,PKG-006,3,4,2
DEL-006-05,PKG-006,2,1,1
DEL-006-06,PKG-006,4,2,3
DEL-006-07,PKG-006,5,2,0
DEL-006-08,PKG-006,3,5,0
DEL-007-01,PKG-007,1,2,3
DEL-007-02,PKG-007,2,3,3
DEL-007-03,PKG-007,3,2,2
DEL-007-04,PKG-007,4,4,0
DEL-008-01,PKG-008,0,0,32
DEL-008-02,PKG-008,0,0,16
DEL-008-03,PKG-008,1,1,2
DEL-008-04,PKG-008,2,1,0
DEL-009-01,PKG-009,2,3,4
DEL-009-02,PKG-009,3,1,6
DEL-009-03,PKG-009,4,1,7
DEL-009-04,PKG-009,5,3,0
DEL-010-01,PKG-010,5,5,3
DEL-011-01,PKG-011,6,12,7
DEL-011-02,PKG-011,8,3,2
DEL-011-03,PKG-011,9,9,0
DEL-011-04,PKG-011,7,3,0
DEL-011-05,PKG-011,7,4,0
DEL-011-06,PKG-011,2,1,0
DEL-011-07,PKG-011,9,5,1
DEL-012-01,PKG-012,10,3,0
DEL-012-02,PKG-012,7,1,3
DEL-012-03,PKG-012,3,1,0
DEL-013-01,PKG-013,8,7,0
DEL-013-02,PKG-013,8,6,0
DEL-013-03,PKG-013,8,8,0
DEL-013-04,PKG-013,3,2,1
DEL-013-05,PKG-013,0,0,1
DEL-013-06,PKG-013,7,3,0
DEL-014-01,PKG-014,7,3,3
DEL-014-02,PKG-014,3,1,1
DEL-014-03,PKG-014,8,2,0
DEL-014-04,PKG-014,6,1,1
DEL-014-05,PKG-014,8,2,0
DEL-014-06,PKG-014,8,5,0
DEL-015-01,PKG-015,0,0,3
DEL-015-02,PKG-015,7,3,0
DEL-015-03,PKG-015,5,4,0
DEL-015-04,PKG-015,5,4,2
DEL-015-05,PKG-015,4,2,0
DEL-016-01,PKG-016,6,2,2
DEL-017-01,PKG-017,4,2,0
DEL-017-02,PKG-017,0,0,0
DEL-017-03,PKG-017,4,2,0
DEL-017-04,PKG-017,5,4,0
DEL-018-01,PKG-018,3,1,3
DEL-018-02,PKG-018,4,6,4
DEL-018-03,PKG-018,5,4,0
DEL-018-04,PKG-018,5,4,0
DEL-018-05,PKG-018,6,4,0
DEL-018-06,PKG-018,5,4,0
DEL-019-01,PKG-019,3,2,5
DEL-019-02,PKG-019,4,1,0
DEL-019-03,PKG-019,4,2,0
DEL-019-04,PKG-019,4,1,1
DEL-020-01,PKG-020,5,1,1
DEL-020-02,PKG-020,6,1,2
DEL-020-03,PKG-020,7,1,0
DEL-021-01,PKG-021,0,0,1
DEL-021-02,PKG-021,1,1,2
DEL-021-03,PKG-021,0,0,4
DEL-021-04,PKG-021,2,3,2
DEL-021-05,PKG-021,7,1,0
