SourcePath,ArtifactType,FromDeliverableID,SnapshotID
/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-01_2026-03-26_1759/Detail.csv,Detail,DEL-001-01,EST_DEL-001-01_2026-03-26_1759
/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-01_2026-03-26_1759/Run_Context.md,Run_Context,DEL-001-01,EST_DEL-001-01_2026-03-26_1759
/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-01_2026-03-26_1759/Assumptions_Log.md,Assumptions_Log,DEL-001-01,EST_DEL-001-01_2026-03-26_1759
/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-01_2026-03-26_1759/QA_Report.md,QA_Report,DEL-001-01,EST_DEL-001-01_2026-03-26_1759
/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-02_2026-02-27_0600/Detail.csv,Detail,DEL-001-02,EST_DEL-001-02_2026-02-27_0600
/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-02_2026-02-27_0600/Run_Context.md,Run_Context,DEL-001-02,EST_DEL-001-02_2026-02-27_0600
/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-02_2026-02-27_0600/Assumptions_Log.md,Assumptions_Log,DEL-001-02,EST_DEL-001-02_2026-02-27_0600
/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-02_2026-02-27_0600/QA_Report.md,QA_Report,DEL-001-02,EST_DEL-001-02_2026-02-27_0600
/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-03_2026-02-27_0545/Detail.csv,Detail,DEL-001-03,EST_DEL-001-03_2026-02-27_0545
/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-03_2026-02-27_0545/Run_Context.md,Run_Context,DEL-001-03,EST_DEL-001-03_2026-02-27_0545
/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-03_2026-02-27_0545/Assumptions_Log.md,Assumptions_Log,DEL-001-03,EST_DEL-001-03_2026-02-27_0545
/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-03_2026-02-27_0545/QA_Report.md,QA_Report,DEL-001-03,EST_DEL-001-03_2026-02-27_0545
/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-04_2026-02-27_0840/Detail.csv,Detail,DEL-001-04,EST_DEL-001-04_2026-02-27_0840
/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-04_2026-02-27_0840/Run_Context.md,Run_Context,DEL-001-04,EST_DEL-001-04_2026-02-27_0840
/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-04_2026-02-27_0840/Assumptions_Log.md,Assumptions_Log,DEL-001-04,EST_DEL-001-04_2026-02-27_0840
/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-04_2026-02-27_0840/QA_Report.md,QA_Report,DEL-001-04,EST_DEL-001-04_2026-02-27_0840
/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-05_2026-02-27_0545/Detail.csv,Detail,DEL-001-05,EST_DEL-001-05_2026-02-27_0545
/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-05_2026-02-27_0545/Run_Context.md,Run_Context,DEL-001-05,EST_DEL-001-05_2026-02-27_0545
/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-05_2026-02-27_0545/Assumptions_Log.md,Assumptions_Log,DEL-001-05,EST_DEL-001-05_2026-02-27_0545
/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-05_2026-02-27_0545/QA_Report.md,QA_Report,DEL-001-05,EST_DEL-001-05_2026-02-27_0545
/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-06_2026-02-27_0630/Detail.csv,Detail,DEL-001-06,EST_DEL-001-06_2026-02-27_0630
/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-06_2026-02-27_0630/Run_Context.md,Run_Context,DEL-001-06,EST_DEL-001-06_2026-02-27_0630
/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-06_2026-02-27_0630/Assumptions_Log.md,Assumptions_Log,DEL-001-06,EST_DEL-001-06_2026-02-27_0630
/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-06_2026-02-27_0630/QA_Report.md,QA_Report,DEL-001-06,EST_DEL-001-06_2026-02-27_0630
/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-07_2026-02-27_0546/Detail.csv,Detail,DEL-001-07,EST_DEL-001-07_2026-02-27_0546
