ItemID,DeliverableID,Description,Qty,Unit,PricingMode,SourceDoc,SourceSection,Notes
ITEM-001,DEL-001-09,Project management — coordination and client liaison for demolition plan drawing set,6,hr,UNIT_RATE,Procedure,Phase 1–3 (overall PM oversight),Level_of_Effort.csv assigns R-01 Project Manager 6 hrs to DEL-001-09
ITEM-002,DEL-001-09,Cost estimator support — quantity takeoff and benchmarking for demolition plans,4,hr,UNIT_RATE,Procedure,Phase 1 (data gathering) and Phase 2 (scope definition),Level_of_Effort.csv assigns R-08 Cost Estimator 4 hrs to DEL-001-09
ITEM-003,DEL-001-09,Senior Architect — lead design for demolition plans including field verification and code review,54,hr,UNIT_RATE,Procedure,Phase 1–3 (field survey through IFC production),Level_of_Effort.csv assigns R-11 Senior Architect 54 hrs to DEL-001-09
ITEM-004,DEL-001-09,Architect — production drawings and coordination for demolition plan set,42,hr,UNIT_RATE,Procedure,Phase 2–3 (preliminary design through IFC drawings),Level_of_Effort.csv assigns R-12 Architect 42 hrs to DEL-001-09
ITEM-005,DEL-001-09,BIM Technician — modeling and sheet setup for demolition plans,24,hr,UNIT_RATE,Procedure,Phase 2–3 (drawing production),Level_of_Effort.csv assigns R-13 BIM Technician 24 hrs to DEL-001-09
ITEM-006,DEL-001-09,Field survey of three renovation areas (kitchenette SOW-0070 / mezzanine SOW-0071 / washroom SOW-0072),1,LS,LUMP_SUM,Procedure,Step 1.2 — Conduct field survey of three renovation areas,Priced as allowance within Senior Architect and Architect hours; no separate line-item cost in price sources. Included in ITEM-003/004 hours.
ITEM-007,DEL-001-09,Structural coordination — mezzanine demolition scope confirmation with PKG-002,1,LS,LUMP_SUM,Procedure,Step 2.2 — Coordinate with Structural Engineer (mezzanine),Priced as allowance within Senior Architect hours (ITEM-003). No separate cost.
ITEM-008,DEL-001-09,MEP coordination — confirm demolition scope split with PKG-003/004/006,1,LS,LUMP_SUM,Procedure,Step 2.3 — Coordinate with MEP disciplines,Priced as allowance within Senior Architect hours (ITEM-003). No separate cost.
ITEM-009,DEL-001-09,County preliminary design review and approval process,1,LS,LUMP_SUM,Procedure,Step 2.6 — Submit preliminary design for County approval,Priced within PM hours (ITEM-001) and Senior Architect hours (ITEM-003). No separate cost.
ITEM-010,DEL-001-09,P.Eng. stamp — IFC drawing review and stamping,1,LS,LUMP_SUM,Specification,REQ-005 — IFC Stamping; Procedure Step 3.4,No separate P.Eng. stamp fee in price sources. Assumed included in Senior Architect rate. Flag as assumption.
