ItemID,DeliverableID,Description,Qty,Unit,PricingMode,SourceDoc,SourceSection,Notes
ITEM-001,DEL-003-02,Project management — HVAC layout plans coordination and oversight,6,hr,UNIT_RATE,Procedure,Steps 1-9 (overall PM coordination),LOE source: Level_of_Effort.csv R-01 = 6 hrs
ITEM-002,DEL-003-02,Cost estimating support — quantity takeoff and benchmarking for HVAC layout,4,hr,UNIT_RATE,Procedure,Steps 2-4 (design input and equipment placement),LOE source: Level_of_Effort.csv R-08 = 4 hrs
ITEM-003,DEL-003-02,BIM/CAD production — HVAC layout plan drawing set,36,hr,UNIT_RATE,Procedure,Steps 3-6 (drawing setup; equipment placement; notes/legend),LOE source: Level_of_Effort.csv R-13 = 36 hrs
ITEM-004,DEL-003-02,Mechanical engineering — HVAC system layout design and P.Eng. review,84,hr,UNIT_RATE,Procedure,Steps 1-8 (full engineering workflow from preliminary confirmation through P.Eng. stamp),LOE source: Level_of_Effort.csv R-15 = 84 hrs
ITEM-005,DEL-003-02,Heating system layout — high-recovery heating units placement and coverage,1,LS,LUMP_SUM,Datasheet,HVAC Systems — Heating system (SOW-0035),Included in ITEM-004 engineering hours; listed for scope traceability. No separate cost.
ITEM-006,DEL-003-02,Air exchanger layout — high-volume air exchanger location and connections,1,LS,LUMP_SUM,Datasheet,HVAC Systems — Air exchanger (SOW-0036),Included in ITEM-004 engineering hours; listed for scope traceability. No separate cost.
ITEM-007,DEL-003-02,Makeup air unit layout — forced-air MUA location per Appendix B,1,LS,LUMP_SUM,Datasheet,HVAC Systems — Makeup air unit (SOW-0037),Included in ITEM-004 engineering hours; listed for scope traceability. No separate cost.
ITEM-008,DEL-003-02,Equipment exhaust layout — hose drops and fans for 2 repair bays,1,LS,LUMP_SUM,Datasheet,HVAC Systems — Equipment exhaust (SOW-0038),Included in ITEM-004 engineering hours; listed for scope traceability. No separate cost.
ITEM-009,DEL-003-02,Welding station exhaust layout — capture device and exhaust routing,1,LS,LUMP_SUM,Datasheet,HVAC Systems — Welding station exhaust (SOW-0039),Included in ITEM-004 engineering hours; listed for scope traceability. No separate cost.
ITEM-010,DEL-003-02,Ceiling fan layout — 6 ceiling fans in main shop area,1,LS,LUMP_SUM,Datasheet,HVAC Systems — Ceiling fans (SOW-0040),Included in ITEM-004 engineering hours; listed for scope traceability. No separate cost.
ITEM-011,DEL-003-02,Service pit ventilation layout — below-grade ventilation provision,1,LS,LUMP_SUM,Datasheet,HVAC Systems — Service pit ventilation (SOW-0028),Included in ITEM-004 engineering hours; listed for scope traceability. No separate cost.
ITEM-012,DEL-003-02,Wash bay ventilation layout — supply and exhaust for enclosed wash bay,1,LS,LUMP_SUM,Specification,REQ-012 — Wash Bay Ventilation,Included in ITEM-004 engineering hours; listed for scope traceability. No separate cost.
ITEM-013,DEL-003-02,Inter-discipline coordination — structural/electrical/plumbing review cycles,1,LS,LUMP_SUM,Procedure,Step 5 — Coordinate with Other Disciplines,Included in ITEM-001 and ITEM-004 hours; listed for scope traceability. No separate cost.
ITEM-014,DEL-003-02,Internal QA review and drawing quality check,1,LS,LUMP_SUM,Procedure,Step 7 — Internal Review (QA Check),Included in ITEM-004 engineering hours; listed for scope traceability. No separate cost.
ITEM-015,DEL-003-02,P.Eng. review and IFC stamp — Alberta APEGA registered engineer,1,LS,LUMP_SUM,Procedure,Step 8 — P.Eng. Review and Stamp,Included in ITEM-004 engineering hours; listed for scope traceability. No separate cost.
ITEM-016,DEL-003-02,IFC drawing set issuance and document control,1,LS,LUMP_SUM,Procedure,Step 9 — Issue IFC Drawing Set,Included in ITEM-001 PM hours; listed for scope traceability. No separate cost.
