ItemID,DeliverableID,Description,Qty,Unit,PricingMode,SourceDoc,SourceSection,Notes
ITM-001,DEL-011-01,Reinforced concrete slab-on-grade (heavy-duty shop floor) -- 130 ft x 100 ft footprint,1208,m2,UNIT_RATE,Datasheet,Attributes -- Building footprint; Construction -- Floor slab,"Footprint 130x100 ft = ~1208 m2; heavy-duty industrial slab; excludes embedded steel plates (separate line)"
ITM-002,DEL-011-01,Thickened slab edge / grade beam -- building perimeter,140,m,UNIT_RATE,Datasheet,Attributes -- Building footprint; Construction -- Structural frame,"Perimeter 2*(130+100) ft = 460 ft = ~140 m"
ITM-003,DEL-011-01,Steel plate embedments in floor slab (supply + install),20,EA,UNIT_RATE,Datasheet,Attributes -- Steel plate embedments; Construction -- Floor slab,"Qty derived from App B showing plates at multiple bay locations; 20 EA is parametric estimate for 13000 sqft shop"
ITM-004,DEL-011-01,Service pit/trench -- concrete walls and floor (below-grade),1,LS,LUMP_SUM,Datasheet,Attributes -- Service pit; Construction -- Service pit,"1 ventilated/lighted trench; 24 ft dimension per App B; CIP concrete walls + floor; priced as lump sum assembly"
ITM-005,DEL-011-01,Mezzanine structure (beams + joists + deck) -- above parts room / utility / wash bay,362,m2,UNIT_RATE,Datasheet,Attributes -- Mezzanine; Construction -- Mezzanine structure,"Estimated ~30% of 1208 m2 footprint = ~362 m2; heavy storage load classification"
ITM-006,DEL-011-01,Mezzanine access stair (concrete or steel),1,EA,UNIT_RATE,Datasheet,Attributes -- Stair to mezzanine; Construction -- Mezzanine stair,1 stair system per App B
ITM-007,DEL-011-01,Structural frame erection -- concrete walls/columns to 35 ft ceiling,1500,m2,UNIT_RATE,Datasheet,Attributes -- Structural system / Clear ceiling height; Construction -- Structural frame,"Perimeter wall area: ~140m perimeter x 10.7m height = ~1500 m2; CIP concrete walls"
ITM-008,DEL-011-01,Crane runway beams and structural supports (2 x 5-tonne cranes),2,EA,LUMP_SUM,Datasheet,Attributes -- Crane support structure; Construction -- Crane runway beams,"2 crane runways; structural supports only (crane supply/install under DEL-016-01)"
ITM-009,DEL-011-01,Roof structure (steel deck on bar joists -- assumed system),1208,m2,UNIT_RATE,Datasheet,Attributes -- Roof structure; Construction -- Roof structure,"Roof area = footprint ~1208 m2; system TBD per structural design; pricing assumes steel deck/bar joist"
ITM-010,DEL-011-01,Structural rough openings for overhead doors -- repair bays (24 ft wide x 2),2,EA,LUMP_SUM,Specification,REQ-011-01-11; Procedure Step 22,"Structural framing/lintels for 2 overhead door openings; door supply under DEL-011-03"
ITM-011,DEL-011-01,Structural rough opening for overhead door -- wash bay,1,EA,LUMP_SUM,Specification,REQ-011-01-11; Guidance C5,"Wash bay OH door structural opening; door supply under DEL-011-05"
ITM-012,DEL-011-01,Entrance/exit door assemblies (man doors),4,EA,UNIT_RATE,Specification,REQ-011-01-12; Datasheet -- Entrance/exit doors,"4 EA assumed based on typical shop layout (2 exterior + 2 interior entry points)"
ITM-013,DEL-011-01,Building envelope -- insulated metal wall panels,1500,m2,UNIT_RATE,Datasheet,Construction -- Building envelope; Procedure Step 22,"Wall cladding ~1500 m2; specific system TBD per design"
ITM-014,DEL-011-01,Building envelope -- insulated metal roof panels,1208,m2,UNIT_RATE,Datasheet,Construction -- Building envelope; Procedure Step 22,"Roof cladding ~1208 m2; specific system TBD per design"
ITM-015,DEL-011-01,Flashing / trim / sealants allowance,1,LS,LUMP_SUM,Specification,REQ-011-01-01; Procedure Step 22,Envelope completion items -- lump sum allowance
ITM-016,DEL-011-01,Window units (office area glazing),20,m2,UNIT_RATE,Datasheet,Construction -- Building envelope; Procedure Step 22,"Estimated office glazing area ~20 m2; exact quantity TBD per architectural design"
ITM-017,DEL-011-01,Cistern structural provisions (slab penetration + reinforcement),1,LS,LUMP_SUM,Specification,REQ-011-01-18; Datasheet -- Cistern structural provisions,"Structural provisions for 50000L cistern inside building footprint; cistern supply under DEL-014-01"
ITM-018,DEL-011-01,Reinforcing steel (rebar) -- slab + foundations + walls,36240,kg,UNIT_RATE,Procedure,Steps 7-16; Specification REQ-011-01-05,"Parametric estimate: ~30 kg/m2 of floor area for heavy industrial slab = 1208 m2 * 30 = 36240 kg"
ITM-019,DEL-011-01,Formwork -- footings / walls / service pit / mezzanine,480,m2,UNIT_RATE,Procedure,Steps 7-17; Specification REQ-011-01-07,"Estimated formwork area for service pit walls (~80 m2) + perimeter grade beams (~140 m2) + structural walls (~200 m2) + mezzanine edges (~60 m2)"
ITM-020,DEL-011-01,Concrete testing and quality assurance (cylinder tests / slump tests),1,LS,LUMP_SUM,Specification,REQ-011-01-16 / REQ-011-01-17; Procedure Steps 9/14/16,"Concrete QA program per CSA A23.1/A23.2; cylinder tests for each pour"
ITM-021,DEL-011-01,Cold-weather concreting provisions,1,LS,LUMP_SUM,Guidance,C10 -- Cold-weather concreting; Procedure P-14,"Alberta climate; heated enclosures / curing protection allowance"
ITM-022,DEL-011-01,Professional staff -- Project Manager,6,hr,UNIT_RATE,Procedure,Phase 1; Specification REQ-011-01-13,"Per Level_of_Effort.csv R-01; PM coordination for DEL-011-01"
ITM-023,DEL-011-01,Professional staff -- Construction Project Manager,8,hr,UNIT_RATE,Procedure,Phase 1; Specification REQ-011-01-13,"Per Level_of_Effort.csv R-02; construction management"
