LineID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes
L-001,FIN,PKG-02,DEL-05-02,Estimator (Senior) R-18 -- Schedule B detailed cost breakdown: quantity takeoff verification; line-item pricing; CBS allocation; Schedule A reconciliation; QA review,24,hr,145,3480,CAD,RATE_TABLE,Professional_Staff_Rates.csv (R-18) + Level_of_Effort.csv (DEL-05-02 row 1),MED,PRODUCTION COST. 24 hours per LOE; $145/hr per rate table. Primary estimating role for Schedule B detail.
L-002,FIN,PKG-02,DEL-05-02,Estimator (Intermediate) R-19 -- Schedule B support: data entry; quantity calculations; spreadsheet formatting; cross-referencing rate tables; unit rate verification,16,hr,115,1840,CAD,RATE_TABLE,Professional_Staff_Rates.csv (R-19) + Level_of_Effort.csv (DEL-05-02 row 2),MED,PRODUCTION COST. 16 hours per LOE; $115/hr per rate table. Supporting estimating production.
L-003,MGMT,PKG-02,DEL-05-02,Project Manager R-02 -- Schedule B review: cost breakdown approval; reconciliation sign-off; consistency check with pricing narrative,4,hr,175,700,CAD,RATE_TABLE,Professional_Staff_Rates.csv (R-02) + Level_of_Effort.csv (DEL-05-02 row 3),MED,PRODUCTION COST. 4 hours per LOE; $175/hr per rate table. Review and approval role.
L-010,GR,PKG-02,DEL-05-02,General Requirements -- Project Management (site office; project management staff; scheduling; cost control),1,LS,390000,390000,CAD,PARAMETRIC,"Assumed_Project_Parameters.csv (PP-01: 18 months construction). Project management allocation ~30% of GR. $1305000 x 0.30 = $391500 rounded to $390000.",LOW,CONSTRUCTION CONTENT. Schedule B breakdown of Schedule A L-010 GR. This is a sub-line within GR.
L-011,GR,PKG-02,DEL-05-02,General Requirements -- Site Supervision (superintendent; foremen; site admin),1,LS,325000,325000,CAD,PARAMETRIC,"Construction_Labour_Rates.csv (T-16 equivalent) + Assumed_Project_Parameters.csv (PP-01: 18 months). Superintendent ~$135/hr x 2080 hrs/yr x 1.5 yr = ~$421k; with foremen and admin; blended to $325k for site supervision allocation (~25% of GR).",LOW,CONSTRUCTION CONTENT. Schedule B breakdown of Schedule A L-010 GR.
L-012,GR,PKG-02,DEL-05-02,General Requirements -- Temporary Facilities (site fencing; temp power; temp lighting; portable toilets; site office trailer),1,LS,175000,175000,CAD,PARAMETRIC,"Equipment_Pricing.csv (EQ-14: $4500/mo x 18 mo = $81k; EQ-15: $12k) + additional temp office/welfare allowance $82k. Total $175k (~13% of GR).",LOW,CONSTRUCTION CONTENT. Schedule B breakdown of Schedule A L-010 GR.
L-013,GR,PKG-02,DEL-05-02,General Requirements -- Mobilization and Demobilization (equipment transport; site setup; initial layout; final demob),1,LS,130000,130000,CAD,PARAMETRIC,"Parametric: ~10% of GR for mob/demob. $1305000 x 0.10 = $130500 rounded to $130000. Includes equipment freight; initial site survey layout (EC-11: $12k); and setup/teardown costs.",LOW,CONSTRUCTION CONTENT. Schedule B breakdown of Schedule A L-010 GR.
L-014,GR,PKG-02,DEL-05-02,General Requirements -- Miscellaneous GR and Contingency (winter protection; hoarding; dust control; traffic management; permit coordination; small tools),1,LS,80000,80000,CAD,PARAMETRIC,"Parametric: ~6% of GR. Miscellaneous general requirements including: winter protection measures ~$25k (Alberta winter conditions); hoarding/barriers ~$12k; dust control ~$8k; traffic management during construction ~$10k; permit coordination support ~$5k; small tools and consumables ~$10k; GR contingency $10k. Total $80k. NOTE: Construction insurance (builder's risk + CGL) is accounted for in FEES CBS L-116 ($82k); not in GR.",LOW,CONSTRUCTION CONTENT. Schedule B breakdown of Schedule A L-010 GR. Miscellaneous items and GR contingency.
L-015,GR,PKG-02,DEL-05-02,General Requirements -- Health & Safety (safety officer; PPE; safety equipment; first aid; inspections),1,LS,110000,110000,CAD,PARAMETRIC,"Professional_Staff_Rates.csv (R-20: Safety Officer $110/hr). Derivation: safety officer ~0.5 FTE x 18 months x 175 hrs/mo x $110 = ~$173k; reduced to $110k reflecting shared resource with other projects + PPE/equipment allowance offset.",LOW,CONSTRUCTION CONTENT. Schedule B breakdown of Schedule A L-010 GR.
L-016,GR,PKG-02,DEL-05-02,General Requirements -- Quality Control and Testing (materials testing; concrete testing; compaction testing; shop drawing review),1,LS,60000,60000,CAD,PARAMETRIC,"Parametric: ~4.5% of GR. Concrete testing (estimated 30 tests x $200 = $6k) + compaction testing (estimated 20 tests x $300 = $6k) + materials testing allowance $15k + shop drawing review time $20k + misc QC $13k.",LOW,CONSTRUCTION CONTENT. Schedule B breakdown of Schedule A L-010 GR.
L-017,GR,PKG-02,DEL-05-02,General Requirements -- Cleanup and Waste Management (construction waste disposal; site cleaning; final clean),1,LS,35000,35000,CAD,PARAMETRIC,"Parametric: ~2.5% of GR. Waste bins/hauling ~$1500/mo x 18 mo = $27k + final clean $8k.",LOW,CONSTRUCTION CONTENT. Schedule B breakdown of Schedule A L-010 GR.
