LineID,ItemID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes
DL-001,ITEM-001,Electrical > Power Distribution & Equipment,PKG-015,DEL-015-01,Three-phase service entrance — materials and equipment (conductors; meter base; main disconnect; service entrance conduit),1,LS,28000,28000,CAD,ALLOWANCE,Electrical_System_Rates.csv ES-03 (benchmark $45k-$95k range); parametric decomposition of service entrance portion,LOW,Service voltage and ampacity TBD pending PKG-004; material scope may change with design. ES-03 full allowance $70k covers entire service including labour — this line is materials/equipment only.
DL-002,ITEM-002,Electrical > Power Distribution & Equipment,PKG-015,DEL-015-01,Main distribution panel (MDP) — supply and install,1,EA,4800,4800,CAD,PARAMETRIC,Electrical_System_Rates.csv ES-02 (RecommendedRate $4800),LOW,MDP size TBD per IFC design; rate is for generic panelboard — actual MDP for this service may be larger/more expensive.
DL-003,ITEM-003,Electrical > Power Distribution & Equipment,PKG-015,DEL-015-01,Service trench — underground conduit installed,15,m,95,1425,CAD,PARAMETRIC,Underground_Utility_Rates.csv UU-03 (RecommendedRate $95/m),MEDIUM,Length estimated at 15m from conceptual drawing (App B-Elec); includes conduit and backfill. Exact routing per IFC.
DL-004,ITEM-004,Electrical > Power Distribution & Equipment,PKG-015,DEL-015-01,Grounding electrode system — complete grounding and bonding,1,LS,4000,4000,CAD,PARAMETRIC,Parametric estimate based on commercial 3-phase grounding systems; no specific rate in PRICE_SOURCES,MEDIUM,Type TBD per IFC design (ground rods or concrete-encased electrodes per CSA C22.1). Material + installation.
DL-005,ITEM-005,Electrical > Power Distribution & Equipment,PKG-015,DEL-015-01,Welding receptacles (50A 240V) — supply and install,4,EA,950,3800,CAD,PARAMETRIC,Electrical_System_Rates.csv ES-04 (RecommendedRate $950/each),MEDIUM,Qty estimated from App B-Elec; RFP §3.4 requires multiple plugs. County to confirm welding equipment specs.
DL-006,ITEM-006,Electrical > Commissioning & Administration,PKG-015,DEL-015-01,Utility tie-in coordination — application fees and coordination effort,1,LS,2500,2500,CAD,PARAMETRIC,Parametric estimate; no specific rate in PRICE_SOURCES. Includes utility application fees and coordination time.,LOW,Utility provider TBD; fees vary by provider. SOW-0081 scope.
DL-007,ITEM-007,"Permits, Fees & Insurance > Permits, Fees & Bonding",PKG-015,DEL-015-01,Electrical Safety Code permit — fees and management,1,LS,1500,1500,CAD,PARAMETRIC,Parametric estimate for Alberta electrical Safety Code permit (commercial/industrial),MEDIUM,Standard Alberta permit fee range for commercial electrical work
DL-008,ITEM-008,Electrical > Commissioning & Administration,PKG-015,DEL-015-01,Rough-in Safety Code inspection — coordination and attendance,1,LS,500,500,CAD,PARAMETRIC,Parametric estimate for inspection coordination cost,MEDIUM,County representative must be present per RFP §3.3.2
DL-009,ITEM-009,Electrical > Commissioning & Administration,PKG-015,DEL-015-01,Final Safety Code inspection — coordination and attendance,1,LS,500,500,CAD,PARAMETRIC,Parametric estimate for inspection coordination cost,MEDIUM,Copies of reports to County
DL-010,ITEM-010,Electrical > Commissioning & Administration,PKG-015,DEL-015-01,Commissioning and live testing — energize and verify MDP,1,LS,2000,2000,CAD,PARAMETRIC,Parametric estimate for commissioning activities (voltage verification; phase rotation; ground resistance test),MEDIUM,Includes test equipment and commissioning labour
DL-011,ITEM-011,Electrical > Commissioning & Administration,PKG-015,DEL-015-01,As-built markup drawings,1,LS,1000,1000,CAD,PARAMETRIC,Parametric estimate for as-built documentation effort,MEDIUM,Standard practice; contractual obligation TBD per CCDC 14-2013
DL-012,ITEM-012,Electrical > Commissioning & Administration,PKG-015,DEL-015-01,Conformance Closure Checklist,1,LS,500,500,CAD,PARAMETRIC,Parametric estimate for closure documentation effort,MEDIUM,Attestation that all REQ items satisfied
DL-013,ITEM-013,Professional Services > Project Management,PKG-015,DEL-015-01,Project management — PM oversight,6,hr,165,990,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-01 ($165/hr); Level_of_Effort.csv DEL-015-01 R-01 (6 hr),MEDIUM,PM coordination and client interface
DL-014,ITEM-014,Professional Services > Project Management,PKG-015,DEL-015-01,Construction project management — CPM oversight,8,hr,155,1240,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-02 ($155/hr); Level_of_Effort.csv DEL-015-01 R-02 (8 hr),MEDIUM,Construction management and site coordination
DL-015,ITEM-015,Professional Services > Project Management,PKG-015,DEL-015-01,Site superintendent — field leadership,10,hr,145,1450,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-03 ($145/hr); Level_of_Effort.csv DEL-015-01 R-03 (10 hr),MEDIUM,Schedule + safety coordination
DL-016,ITEM-016,Professional Services > Project Management,PKG-015,DEL-015-01,Cost estimator — estimate prep,4,hr,135,540,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-08 ($135/hr); Level_of_Effort.csv DEL-015-01 R-08 (4 hr),MEDIUM,Quantity takeoff and benchmarking
DL-017,ITEM-017,Professional Services > Project Management,PKG-015,DEL-015-01,QA/QC lead — quality oversight,6,hr,135,810,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-06 ($135/hr); Level_of_Effort.csv DEL-015-01 R-06 (6 hr),MEDIUM,Inspections and deficiency tracking
DL-018,ITEM-018,Professional Services > Project Management,PKG-015,DEL-015-01,HSE manager — safety oversight,4,hr,140,560,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-05 ($140/hr); Level_of_Effort.csv DEL-015-01 R-05 (4 hr),MEDIUM,Prime contractor safety program oversight
DL-019,ITEM-019,Construction Labour > Electrical Labour,PKG-015,DEL-015-01,Electrician labour — service entrance and MDP installation,80,hr,96,7680,CAD,PARAMETRIC,Construction_Labour_Rates.csv T-04 (FullyBurdenedRate $96.00/hr); hours estimated parametrically (2 electricians x 5 days),MEDIUM,Covers Steps 2.1-2.5 (conduit/conductor install; service entrance; MDP; grounding; terminations)
DL-020,ITEM-020,Construction Labour > Electrical Labour,PKG-015,DEL-015-01,Labourer — trenching support and general assist,24,hr,65.1,1562.4,CAD,PARAMETRIC,Construction_Labour_Rates.csv T-08 (FullyBurdenedRate $65.10/hr); hours estimated parametrically,MEDIUM,Trenching support; material handling; backfill
DL-021,ITEM-021,Construction Labour > Electrical Labour,PKG-015,DEL-015-01,Equipment operator — service trench excavation,8,hr,88,704,CAD,PARAMETRIC,Construction_Labour_Rates.csv T-07 (FullyBurdenedRate $88.00/hr); hours estimated parametrically (1 day),MEDIUM,Excavation for service trench conduit
