Execution,DeliverableID,DeliverableName,RoleID,Role,EstimatedHours,Basis,Notes
6c,DEL-01-01,Compliance Matrix & Checklist,R-22,Proposal Coordinator / Writer,8,PARAMETRIC,Same scope as 6b DEL-01-01
6c,DEL-01-02,Formal Submission Package,R-22,Proposal Coordinator / Writer,14,PARAMETRIC,Slightly fewer deliverables to assemble than 6b (21 vs 38); still final QA
6c,DEL-01-02,Formal Submission Package,R-02,Project Manager,4,PARAMETRIC,Final review and sign-off
6c,DEL-01-03,Bonding & Insurance Evidence,R-02,Project Manager,4,PARAMETRIC,Same scope as 6b DEL-01-03
6c,DEL-01-03,Bonding & Insurance Evidence,R-25,Legal Review (External),4,PARAMETRIC,Same scope as 6b
6c,DEL-01-03,Bonding & Insurance Evidence,R-24,Administrative / Document Control,2,PARAMETRIC,Same scope as 6b
6c,DEL-02-01,Concept Design Package,R-04,Architect (Project),44,PARAMETRIC,Consolidated concept: drawings + site concept + coordination lead; slightly more than 6b DEL-02-01 due to embedded civil/site
6c,DEL-02-01,Concept Design Package,R-05,Architect (Intermediate),24,PARAMETRIC,Supporting architectural production
6c,DEL-02-01,Concept Design Package,R-06,CAD Technician / BIM Operator,64,PARAMETRIC,Drawing production; more integrated drawing set
6c,DEL-02-01,Concept Design Package,R-07,Civil Engineer (Senior),20,PARAMETRIC,Civil/site concept input (embedded in consolidated package)
6c,DEL-02-01,Concept Design Package,R-08,Civil Engineer (Intermediate),12,PARAMETRIC,Supporting civil production
6c,DEL-02-01,Concept Design Package,R-09,Structural Engineer (Senior),12,PARAMETRIC,Structural input to concept package
6c,DEL-02-01,Concept Design Package,R-10,Structural Engineer (Intermediate),6,PARAMETRIC,Supporting structural input
6c,DEL-02-01,Concept Design Package,R-11,Mechanical Engineer (Senior),12,PARAMETRIC,Mechanical input to concept package
6c,DEL-02-01,Concept Design Package,R-12,Mechanical Engineer (Intermediate),6,PARAMETRIC,Supporting mechanical input
6c,DEL-02-01,Concept Design Package,R-13,Electrical Engineer (Senior),12,PARAMETRIC,Electrical/IT input to concept package
6c,DEL-02-01,Concept Design Package,R-14,Electrical Engineer (Intermediate),6,PARAMETRIC,Supporting electrical input
6c,DEL-02-01,Concept Design Package,R-02,Project Manager,10,PARAMETRIC,Coordination oversight; more cross-discipline coordination needed
