LineUID,LineID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes,CostCategory,SourceSnapshot
DEL-01-01::L-001,L-001,LABOUR.ADMIN,PKG-001,DEL-01-01,Proposal Coordinator / Writer (R-22) -- Map all RFP sections; addenda integration; compliance tracking spreadsheet,8,HR,105,840,CAD,RATE_TABLE,Level_of_Effort.csv row DEL-01-01/R-22 + Professional_Staff_Rates.csv row R-22,MEDIUM,8 hrs from LoE; $105/hr from rate table; both MARKET basis MEDIUM confidence,PRODUCTION,EST_DEL-01-01_2026-02-18_1400
DEL-01-02::L-0102-01,L-0102-01,ADMIN,PKG-001,DEL-01-02,Proposal Coordinator / Writer -- Final PDF assembly; TOC; page numbering; submission QA; revision control,16,hr,105,1680,CAD,RATE_TABLE,Level_of_Effort.csv row DEL-01-02 R-22 (16h) + Professional_Staff_Rates.csv R-22 ($105/hr),MED,Must be last deliverable; depends on all other packages complete,PRODUCTION,EST_DEL-01-02_2026-02-18_2359
DEL-01-02::L-0102-02,L-0102-02,MGMT,PKG-001,DEL-01-02,Project Manager -- Final review and sign-off of assembled PDF submission,4,hr,175,700,CAD,RATE_TABLE,Level_of_Effort.csv row DEL-01-02 R-02 (4h) + Professional_Staff_Rates.csv R-02 ($175/hr),MED,Includes Letter of Offer (Appendix G) execution review,PRODUCTION,EST_DEL-01-02_2026-02-18_2359
DEL-01-03::L-001,L-001,01.ADMIN.BOND_INS,PKG-001,DEL-01-03,Project Manager -- surety broker coordination; insurance approach decisions,4,hr,175,700,CAD,RATE_TABLE,Level_of_Effort.csv (DEL-01-03 / R-02) + Professional_Staff_Rates.csv (R-02),MEDIUM,Production hours for PM coordination,PRODUCTION,EST_DEL-01-03_2026-02-18_1400
DEL-01-03::L-002,L-002,01.ADMIN.BOND_INS,PKG-001,DEL-01-03,Legal Review (External) -- bond document review; insurance documentation review,4,hr,300,1200,CAD,RATE_TABLE,Level_of_Effort.csv (DEL-01-03 / R-25) + Professional_Staff_Rates.csv (R-25),MEDIUM,External legal review of bond and insurance documents,PRODUCTION,EST_DEL-01-03_2026-02-18_1400
DEL-01-03::L-003,L-003,01.ADMIN.BOND_INS,PKG-001,DEL-01-03,Administrative / Document Control -- document compilation and filing,2,hr,80,160,CAD,RATE_TABLE,Level_of_Effort.csv (DEL-01-03 / R-24) + Professional_Staff_Rates.csv (R-24),MEDIUM,Admin support for document compilation,PRODUCTION,EST_DEL-01-03_2026-02-18_1400
DEL-01-03::L-004,L-004,01.PREMIUM.BOND,PKG-001,DEL-01-03,Performance bond premium (50% of contract price) -- 1.50% of estimated contract value,1,LS,180000,180000,CAD,ALLOWANCE,Fees_Permits_Insurance.csv (FP-01) + Assumed_Project_Parameters.csv (PP-25 = $12M),LOW,ALLOWANCE: 1.50% x $12M estimated contract value; actual TBD until Schedule A is priced,FINANCIAL_ALLOWANCE,EST_DEL-01-03_2026-02-18_1400
DEL-01-03::L-005,L-005,01.PREMIUM.BOND,PKG-001,DEL-01-03,Labour and materials payment bond (50% of contract price) -- 1.00% of estimated contract value,1,LS,120000,120000,CAD,ALLOWANCE,Fees_Permits_Insurance.csv (FP-02) + Assumed_Project_Parameters.csv (PP-25 = $12M),LOW,ALLOWANCE: 1.00% x $12M estimated contract value; actual TBD until Schedule A is priced,FINANCIAL_ALLOWANCE,EST_DEL-01-03_2026-02-18_1400
DEL-01-03::L-006,L-006,01.PREMIUM.INS,PKG-001,DEL-01-03,CCIP insurance premium (Contractor Controlled Insurance Program) -- 2.00% of estimated contract value,1,LS,240000,240000,CAD,ALLOWANCE,Fees_Permits_Insurance.csv (FP-03) + Assumed_Project_Parameters.csv (PP-25 = $12M),LOW,ALLOWANCE: 2.00% x $12M estimated contract value; per DEC-011 CCIP confirmed; actual rate TBD,FINANCIAL_ALLOWANCE,EST_DEL-01-03_2026-02-18_1400
DEL-01-03::L-007,L-007,01.PREMIUM.BROKER,PKG-001,DEL-01-03,Surety broker fee/commission for arranging bonds,1,LS,3500,3500,CAD,ALLOWANCE,Fees_Permits_Insurance.csv (FP-19 recommended rate = $3500),LOW,ALLOWANCE: market range $2000-$5000; recommended midpoint $3500,FINANCIAL_ALLOWANCE,EST_DEL-01-03_2026-02-18_1400
DEL-01-04::A-010,A-010,PRD.COMP,PKG-001,DEL-01-04,Senior Estimator -- Schedule A compilation and construction pricing review,40,hr,145,5800,CAD,RATE_TABLE,Level_of_Effort.csv (DEL-01-04 R-18) + Professional_Staff_Rates.csv (R-18),MED,40 hrs per LoE; $145/hr per staff rates,PRODUCTION,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::A-020,A-020,PRD.COMP,PKG-001,DEL-01-04,Intermediate Estimator -- supporting takeoffs and pricing assembly,24,hr,115,2760,CAD,RATE_TABLE,Level_of_Effort.csv (DEL-01-04 R-19) + Professional_Staff_Rates.csv (R-19),MED,24 hrs per LoE; $115/hr per staff rates,PRODUCTION,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::A-030,A-030,PRD.COMP,PKG-001,DEL-01-04,Project Manager -- pricing strategy review and margin decisions,8,hr,175,1400,CAD,RATE_TABLE,Level_of_Effort.csv (DEL-01-04 R-02) + Professional_Staff_Rates.csv (R-02),MED,8 hrs per LoE; $175/hr per staff rates,PRODUCTION,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-100,B-100,CON.STR,PKG-001,DEL-01-04,Structural/concrete -- main PSB foundations (screw piles + grade beams),1,LS,398000,398000,CAD,RATE_TABLE,SC-14/SC-13/SC-15,MED,80 piles @ 6m centres for 18000 sf footprint,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-110,B-110,CON.STR,PKG-001,DEL-01-04,Structural/concrete -- main PSB slab-on-grade,1,LS,172000,172000,CAD,RATE_TABLE,SC-04/SC-03,MED,12000 sf bays + 6000 sf office,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-120,B-120,CON.STR,PKG-001,DEL-01-04,Structural/concrete -- main PSB structural steel (OWSJ + columns),1,LS,256000,256000,CAD,RATE_TABLE,SC-08/SC-10/SC-11,MED,28000 kg structural steel + OWSJ,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-130,B-130,CON.STR,PKG-001,DEL-01-04,Structural/concrete -- main PSB metal roof deck,1,LS,70000,70000,CAD,RATE_TABLE,SC-11,MED,1672 m2 roof deck,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-140,B-140,CON.STR,PKG-001,DEL-01-04,Structural/concrete -- cold storage foundations + slab + steel (in PEMB turnkey),1,LS,0,0,CAD,RATE_TABLE,PB-02,HIGH,Cost captured in B-1000 PEMB turnkey line,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-200,B-200,CON.ENV,PKG-001,DEL-01-04,Building envelope -- insulated metal wall panels (R-20),1,LS,281000,281000,CAD,RATE_TABLE,BE-01,MED,1520 m2 gross wall area,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-210,B-210,CON.ENV,PKG-001,DEL-01-04,Building envelope -- insulated metal roof panels (R-30),1,LS,351000,351000,CAD,RATE_TABLE,BE-04,MED,1672 m2 roof area,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-220,B-220,CON.ENV,PKG-001,DEL-01-04,Building envelope -- commercial glazing and storefronts,1,LS,68000,68000,CAD,RATE_TABLE,BE-09/BE-10,MED,80 m2 glazing + 2 storefronts,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-230,B-230,CON.ENV,PKG-001,DEL-01-04,Building envelope -- hollow metal doors and hardware,1,LS,50000,50000,CAD,RATE_TABLE,BE-11/BE-12/BE-13,MED,15 single + 4 double + 23 hardware sets,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-240,B-240,CON.ENV,PKG-001,DEL-01-04,Building envelope -- sealant and flashing,1,LS,28000,28000,CAD,RATE_TABLE,BE-14/BE-15,MED,800 lm sealant + 500 lm flashing,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-250,B-250,CON.ENV,PKG-001,DEL-01-04,Building envelope -- air/vapour barrier,1,LS,30000,30000,CAD,RATE_TABLE,BE-08,MED,Roof air barrier + wall integration,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-300,B-300,CON.INT,PKG-001,DEL-01-04,Interior -- partitions (fire-rated + non-rated),1,LS,92000,92000,CAD,RATE_TABLE,IA-01/IA-02/IA-04,MED,400 m2 rated + 300 m2 non-rated + 120 m2 wet,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-310,B-310,CON.INT,PKG-001,DEL-01-04,Interior -- ceilings,1,LS,50000,50000,CAD,RATE_TABLE,IA-05/IA-06/IA-07,MED,ACT + GWB + exposed bay,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-320,B-320,CON.INT,PKG-001,DEL-01-04,Interior -- flooring,1,LS,72000,72000,CAD,RATE_TABLE,IA-08/IA-09/IA-10,MED,Sealed concrete + ceramic + VCT,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-330,B-330,CON.INT,PKG-001,DEL-01-04,Interior -- painting,1,LS,32000,32000,CAD,RATE_TABLE,IA-12/IA-13/IA-14,MED,Walls + ceilings,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-340,B-340,CON.INT,PKG-001,DEL-01-04,Interior -- accessibility provisions,1,LS,12000,12000,CAD,RATE_TABLE,IA-15/IA-16/IA-17/IA-18,MED,Hardware + TWSI + grab bars + signage,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-350,B-350,CON.INT,PKG-001,DEL-01-04,Interior -- millwork and specialties,1,LS,22000,22000,CAD,RATE_TABLE,IA-22/IA-23/IA-24/IA-25,MED,Vanity + counter + accessories + partitions,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-400,B-400,CON.MEC,PKG-001,DEL-01-04,Mechanical -- HVAC system,1,LS,444000,444000,CAD,RATE_TABLE,MS-01/MS-02/MS-14,MED,Office HVAC + bay heating + radiant,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-410,B-410,CON.MEC,PKG-001,DEL-01-04,Mechanical -- plumbing system,1,LS,156000,156000,CAD,RATE_TABLE,MS-03/MS-04/MS-11,MED,Office + bay plumbing + DHW,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
