LineUID,FromDeliverableID,FromPackageID,LineID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes,SourceSnapshot
DEL-01-01::L-001,DEL-01-01,PKG-001,L-001,MGMT,PKG-001,DEL-01-01,Project Manager — PM oversight across full 18-month construction phase (~7 hr/wk),120,hr,175,21000,CAD,RATE_TABLE,Rate: Professional_Staff_Rates.csv row R-02 ($175/hr); Hours: Level_of_Effort.csv row DEL-01-01/R-02 (120 hr); Duration basis: Assumed_Project_Parameters.csv PP-01 (18 months),MED,PM oversight across full 18-month construction phase; ~7 hr/wk,EST_DEL-01-01_2026-02-18_1200
DEL-01-01::L-002,DEL-01-01,PKG-001,L-002,MGMT,PKG-001,DEL-01-01,Design Manager — Design phase leadership 4 months + periodic review during construction,80,hr,165,13200,CAD,RATE_TABLE,Rate: Professional_Staff_Rates.csv row R-03 ($165/hr); Hours: Level_of_Effort.csv row DEL-01-01/R-03 (80 hr); Duration basis: Assumed_Project_Parameters.csv PP-02 (4 months design),MED,Design phase leadership 4 months; periodic review during construction,EST_DEL-01-01_2026-02-18_1200
DEL-01-01::L-003,DEL-01-01,PKG-001,L-003,DESIGN,PKG-001,DEL-01-01,Architect (Project) — Design review and QA/QC review cycles,40,hr,145,5800,CAD,RATE_TABLE,Rate: Professional_Staff_Rates.csv row R-04 ($145/hr); Hours: Level_of_Effort.csv row DEL-01-01/R-04 (40 hr),MED,Design review; QA/QC review cycles — management function not discipline design production,EST_DEL-01-01_2026-02-18_1200
DEL-01-01::L-004,DEL-01-01,PKG-001,L-004,ADMIN,PKG-001,DEL-01-01,Administrative / Document Control — Document management full project duration (~3.5 hr/wk),60,hr,80,4800,CAD,RATE_TABLE,Rate: Professional_Staff_Rates.csv row R-24 ($80/hr); Hours: Level_of_Effort.csv row DEL-01-01/R-24 (60 hr); Duration basis: Assumed_Project_Parameters.csv PP-01 (18 months),MED,Document management full project duration; ~3.5 hr/wk,EST_DEL-01-01_2026-02-18_1200
DEL-01-02::L-001,DEL-01-02,PKG-001,L-001,MGMT.PROJ_CONTROLS,PKG-001,DEL-01-02,Scheduler — schedule development (40h) + monthly updates (2h/mo x 18mo = 36h) + closeout,80,hr,130,10400,CAD,RATE_TABLE,Professional_Staff_Rates.csv row R-17; Level_of_Effort.csv row DEL-01-02 R-17,MED,Rate: R-17 Scheduler $130/hr; Hours: LOE basis (PARAMETRIC) see DEC-EST-001,EST_DEL-01-02_2026-02-18_2100
DEL-01-02::L-002,DEL-01-02,PKG-001,L-002,MGMT.PROJ_CONTROLS,PKG-001,DEL-01-02,Project Manager — schedule review + reporting oversight,20,hr,175,3500,CAD,RATE_TABLE,Professional_Staff_Rates.csv row R-02; Level_of_Effort.csv row DEL-01-02 R-02,MED,Rate: R-02 PM $175/hr; Hours: LOE basis (PARAMETRIC) see DEC-EST-001,EST_DEL-01-02_2026-02-18_2100
DEL-01-02::L-003,DEL-01-02,PKG-001,L-003,MGMT.PROJ_CONTROLS,PKG-001,DEL-01-02,Scheduling software / tools — project scheduling license (18-month project),1,LS,3500,3500,CAD,ALLOWANCE,Parametric allowance — P6/MS Project license for 18-month project,LOW,Previously TBD; resolved as parametric allowance per ORCHESTRATOR TBD resolution pass; see DEC-EST-005,EST_DEL-01-02_2026-02-18_2100
DEL-01-03::L-0103-001,DEL-01-03,PKG-001,L-0103-001,CBS-LABOUR-SAFETY,PKG-001,DEL-01-03,Safety Officer - H&S plan development and site safety management,60,hr,110,6600,CAD,RATE_TABLE,Professional_Staff_Rates.csv (R-20) + Level_of_Effort.csv (DEL-01-03 R-20),MED,20h plan development + ~2.5h/wk x 16wk active site safety; rate $110/hr per rate table,EST_DEL-01-03_2026-02-18_2100
DEL-01-03::L-0103-002,DEL-01-03,PKG-001,L-0103-002,CBS-LABOUR-ADMIN,PKG-001,DEL-01-03,Administrative / Document Control - Safety documentation filing,8,hr,80,640,CAD,RATE_TABLE,Professional_Staff_Rates.csv (R-24) + Level_of_Effort.csv (DEL-01-03 R-24),MED,Safety doc filing support; rate $80/hr per rate table,EST_DEL-01-03_2026-02-18_2100
DEL-01-03::L-0103-003,DEL-01-03,PKG-001,L-0103-003,CBS-TRAINING,PKG-001,DEL-01-03,Training costs - site orientation and safety training materials for 18-month project,1,LS,4500,4500,CAD,ALLOWANCE,Parametric allowance — site orientation + safety training for 30-40 workers over 18-month project,LOW,Previously TBD; resolved as parametric allowance per ORCHESTRATOR TBD resolution pass; covers WHMIS/first aid/confined space training sessions + materials,EST_DEL-01-03_2026-02-18_2100
