AssumptionUID,FromDeliverableID,AssumptionID,Title,Assumption,Source,SourcePath
DEL-01-01::ASM-001,DEL-01-01,ASM-001,Project Duration,Construction duration is 18 months (NTP to Substantial Performance).,"Assumed_Project_Parameters.csv, PP-01 (Source=ASSUMPTION, Confidence=MEDIUM).",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-01-01_2026-02-18_1200/Assumptions_Log.md
DEL-01-01::ASM-002,DEL-01-01,ASM-002,Design Phase Duration,Design phase duration is 4 months.,"Assumed_Project_Parameters.csv, PP-02 (Source=ASSUMPTION, Confidence=MEDIUM).",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-01-01_2026-02-18_1200/Assumptions_Log.md
DEL-01-01::ASM-003,DEL-01-01,ASM-003,Staff Rates Are Market-Basis Estimates,"Hourly rates in Professional_Staff_Rates.csv are representative market rates for Alberta, not negotiated/contracted rates.","Professional_Staff_Rates.csv, Basis=MARKET for all roles, Confidence=MEDIUM.",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-01-01_2026-02-18_1200/Assumptions_Log.md
DEL-01-01::ASM-004,DEL-01-01,ASM-004,Level of Effort Is Parametric,"Hour estimates in Level_of_Effort.csv are parametric (based on typical project effort distribution), not based on detailed task-level work breakdown.","Level_of_Effort.csv, Basis=PARAMETRIC for all rows.",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-01-01_2026-02-18_1200/Assumptions_Log.md
DEL-01-01::ASM-005,DEL-01-01,ASM-005,No Escalation or Inflation Factor,Rates are current (no escalation applied for future periods).,Professional_Staff_Rates.csv contains no escalation column or date-based adjustment.,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-01-01_2026-02-18_1200/Assumptions_Log.md
DEL-01-02::ASM-001,DEL-01-02,ASM-001,Scheduler Hours Based on 18-Month Duration,Scheduler Hours Based on 18-Month Duration,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-01-02_2026-02-18_2100/Assumptions_Log.md
DEL-01-02::ASM-002,DEL-01-02,ASM-002,PM Hours for Schedule Oversight Are Incremental,PM Hours for Schedule Oversight Are Incremental,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-01-02_2026-02-18_2100/Assumptions_Log.md
DEL-01-02::ASM-003,DEL-01-02,ASM-003,Staff Rates Are Blended/Market Rates,Staff Rates Are Blended/Market Rates,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-01-02_2026-02-18_2100/Assumptions_Log.md
DEL-01-02::ASM-004,DEL-01-02,ASM-004,Software/Tools Cost (UPDATED),"Scheduling software/tools cost estimated at $3,500 CAD as a parametric allowance for an 18-month project. Based on typical P6 Cloud or MS Project Online licensing.",Parametric estimate; no vendor quote or rate table,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-01-02_2026-02-18_2100/Assumptions_Log.md
DEL-01-07::ASM-0107,DEL-01-07,ASM-0107,-001 Construction duration of 18 months,-001 Construction duration of 18 months,"Assumed_Project_Parameters.csv, row PP-01.",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-01-07_2026-02-18_1830/Assumptions_Log.md
