RiskUID,FromDeliverableID,RiskID,Title,Description,Likelihood,Impact,SourcePath
DEL-02-03::RSK-001,DEL-02-03,RSK-001,Scope Boundary,"Locker room and support space fit-up may be claimed by DEL-02-01 (general interior) during aggregation, resulting in double-counting or gaps at the project level.",MEDIUM,"HIGH ($95,060 at risk -- 44.8% of estimate)",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-03_2026-02-18_1100/Risk_Register.md
DEL-02-03::RSK-002,DEL-02-03,RSK-002,Area Uncertainty,"Support space areas are assumed, not confirmed. Actual floor plan may differ significantly, especially for locker room (1,200 sf assumed) which drives the largest CBS category.",HIGH,"MEDIUM ($15,000 +/- range on locker room lines)",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-03_2026-02-18_1100/Risk_Register.md
DEL-02-03::RSK-003,DEL-02-03,RSK-003,Allowance Accuracy,"5 ALLOWANCE items ($60,500 total) are based on professional judgment, not competitive pricing. Actual costs could vary +/- 40%.",MEDIUM,"MEDIUM ($24,000 +/- range)",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-03_2026-02-18_1100/Risk_Register.md
DEL-02-03::RSK-004,DEL-02-03,RSK-004,Wash Bay Option,"If Owner selects optional wash bay (SOW-0500), one PW bay is replaced, reducing bay count from 4 to 3. This reduces bay-area-driven costs by ~25% but adds wash bay conversion costs (separate DEL-05-01 estimate).",LOW,"LOW ($13,000 reduction in DEL-02-03)",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-03_2026-02-18_1100/Risk_Register.md
DEL-02-03::RSK-005,DEL-02-03,RSK-005,Missing Scope,"Items that could arguably belong to DEL-02-03 but were excluded per cost ownership rules: overhead doors ($80,000), HVAC/ventilation ($44,000+), electrical ($14/sf on 8,400 sf = ~$118,000), bay sumps ($18,000). Total excluded scope: ~$260,000. If cost ownership rules change, this estimate would increase significantly.",LOW,HIGH (potential 2x increase),/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-03_2026-02-18_1100/Risk_Register.md
DEL-02-05::RSK-01,DEL-02-05,RSK-01,"Fire protection may not be required by AHJ, leading to over-estimation of $108,000",MEDIUM,HIGH ($108k / 10.7% of total),AHJ confirmation during design phase; estimate clearly flags this as conditional with LOW confidence,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-05_2026-02-18_1400/Risk_Register.md
DEL-02-05::RSK-02,DEL-02-05,RSK-02,"Actual building zone areas differ from assumed 6,400/6,400/5,200 split",MEDIUM,MEDIUM (~$15-20k per 10% area shift),Validate against architectural layout from DEL-02-01 when available; rerun estimate,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-05_2026-02-18_1400/Risk_Register.md
DEL-02-05::RSK-03,DEL-02-05,RSK-03,Compressed air scope boundary (CON-M-01) resolution could add scope to DEL-02-05,LOW,"MEDIUM ($55,000 if breathing air system added per MS-08)","Brief excludes compressed air from DEL-02-05; if boundary ruling changes, add MS-08 pricing",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-05_2026-02-18_1400/Risk_Register.md
DEL-02-05::RSK-04,DEL-02-05,RSK-04,BAS/controls scope may be broader or narrower than full-building application,LOW,MEDIUM ($20k-$72k range depending on coverage),Confirm BAS scope during design; adjust L-11 area as needed,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-05_2026-02-18_1400/Risk_Register.md
DEL-02-07::RISK-001,DEL-02-07,RISK-001,Generator System Cost Exceeds Allowance,Generator System Cost Exceeds Allowance,,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-07_2026-02-18_1600/Risk_Register.md
DEL-02-07::RISK-002,DEL-02-07,RISK-002,Scope Creep on Essential Loads List,Scope Creep on Essential Loads List,,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-07_2026-02-18_1600/Risk_Register.md
DEL-02-07::RISK-003,DEL-02-07,RISK-003,Double-Counting with Adjacent Deliverables,Double-Counting with Adjacent Deliverables,,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-07_2026-02-18_1600/Risk_Register.md
DEL-02-07::RISK-004,DEL-02-07,RISK-004,Seismic Anchorage Requirement,Seismic Anchorage Requirement,,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-07_2026-02-18_1600/Risk_Register.md
