LineID,ItemID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes
L-001,ITEM-001,Professional Services > Project Management,PKG-004,DEL-004-02,Project Management — SLD oversight and coordination,6,hr,165.00,990.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-01 + Level_of_Effort.csv DEL-004-02/R-01,MED,6 hr @ $165/hr; PM coordination across all procedure steps
L-002,ITEM-002,Professional Services > Project Management,PKG-004,DEL-004-02,Cost Estimator — quantity takeoff and benchmarking support,4,hr,135.00,540.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-08 + Level_of_Effort.csv DEL-004-02/R-08,MED,4 hr @ $135/hr; estimator support for SLD deliverable
L-003,ITEM-003,Professional Services > Design & Engineering,PKG-004,DEL-004-02,BIM Technician — SLD drawing production and sheet setup,36,hr,95.00,3420.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-13 + Level_of_Effort.csv DEL-004-02/R-13,MED,36 hr @ $95/hr; CAD/BIM drafting of SLD drawing set
L-004,ITEM-004,Professional Services > Design & Engineering,PKG-004,DEL-004-02,Electrical Engineer — SLD design and engineering,84,hr,165.00,13860.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-16 + Level_of_Effort.csv DEL-004-02/R-16,MED,84 hr @ $165/hr; lead engineer for load inventory through IFC issue
L-005,ITEM-005,Professional Services > Design & Engineering,PKG-004,DEL-004-02,Load inventory compilation from App B (Electrical) and all sources,1,LS,0.00,0.00,CAD,PARAMETRIC,Level_of_Effort.csv DEL-004-02,MED,Effort included in L-004 (Electrical Engineer hours); zero-cost activity line for traceability
L-006,ITEM-006,Professional Services > Design & Engineering,PKG-004,DEL-004-02,Utility voltage confirmation with local service authority,1,LS,0.00,0.00,CAD,PARAMETRIC,Level_of_Effort.csv DEL-004-02,MED,Effort included in L-004; zero-cost activity line for traceability
L-007,ITEM-007,Professional Services > Design & Engineering,PKG-004,DEL-004-02,Demand/load calculation coordination with DEL-004-08,1,LS,0.00,0.00,CAD,PARAMETRIC,Level_of_Effort.csv DEL-004-02,MED,Effort included in L-004; iterative with SLD drafting
L-008,ITEM-008,Professional Services > Design & Engineering,PKG-004,DEL-004-02,SLD drafting — service entrance through branch circuits,1,LS,0.00,0.00,CAD,PARAMETRIC,Level_of_Effort.csv DEL-004-02,MED,Effort included in L-003 and L-004; zero-cost activity line
L-009,ITEM-009,Professional Services > Design & Engineering,PKG-004,DEL-004-02,Internal Electrical Engineer review of draft SLD,1,LS,0.00,0.00,CAD,PARAMETRIC,Level_of_Effort.csv DEL-004-02,MED,Effort included in L-004; zero-cost activity line
L-010,ITEM-010,Professional Services > Design & Engineering,PKG-004,DEL-004-02,Interdisciplinary coordination review (Mechanical/Structural/Architect),1,LS,0.00,0.00,CAD,PARAMETRIC,Level_of_Effort.csv DEL-004-02,MED,Effort included in L-001 and L-004; REQ-SLD-010 cross-discipline check
L-011,ITEM-011,Professional Services > Project Management,PKG-004,DEL-004-02,Preliminary issue for County approval per SOW-0010d,1,LS,0.00,0.00,CAD,PARAMETRIC,Level_of_Effort.csv DEL-004-02,MED,Effort included in L-001 and L-004; REQ-SLD-008
L-012,ITEM-012,Professional Services > Design & Engineering,PKG-004,DEL-004-02,TBD item resolution and SLD finalization,1,LS,0.00,0.00,CAD,PARAMETRIC,Level_of_Effort.csv DEL-004-02,MED,Effort included in L-004; crane ratings; door motors; mechanical equipment
L-013,ITEM-013,Professional Services > Design & Engineering,PKG-004,DEL-004-02,P.Eng. stamp and IFC issue (Alberta-licensed P.Eng.),1,LS,0.00,0.00,CAD,PARAMETRIC,Level_of_Effort.csv DEL-004-02,MED,Effort included in L-004; REQ-SLD-007
L-014,ITEM-014,Professional Services > Design & Engineering,PKG-004,DEL-004-02,CEC edition confirmation with Safety Codes authority,1,LS,0.00,0.00,CAD,PARAMETRIC,Level_of_Effort.csv DEL-004-02,MED,Effort included in L-004; gating action per REQ-SLD-011
L-015,ITEM-015,Professional Services > Project Management,PKG-004,DEL-004-02,Electrical permit application inclusion of SLD,1,LS,0.00,0.00,CAD,PARAMETRIC,Level_of_Effort.csv DEL-004-02,MED,Effort included in L-001; administrative activity per REQ-SLD-015
L-016,ITEM-016,Professional Services > Project Management,PKG-004,DEL-004-02,Deliverable handoff to downstream users (PKG-015 et al.),1,LS,0.00,0.00,CAD,PARAMETRIC,Level_of_Effort.csv DEL-004-02,MED,Effort included in L-001 and L-004; transmittal records
