ItemID,DeliverableID,Description,Qty,Unit,PricingMode,SourceDoc,SourceSection,Notes
ITEM-001,DEL-003-06,Project management — coordination and oversight for mechanical calculation package,6,hr,UNIT_RATE,Procedure,Step 11 — Review Stamp and Issue,PM coordination across PKG-003; from Level_of_Effort.csv R-01
ITEM-002,DEL-003-06,Cost estimating support — quantity takeoff and benchmarking for mechanical calculation package,4,hr,UNIT_RATE,Procedure,Step 1 — Document Setup and Index,Estimator support per LOE; from Level_of_Effort.csv R-08
ITEM-003,DEL-003-06,BIM technician — modeling and sheet setup for mechanical calculation package,24,hr,UNIT_RATE,Procedure,Step 1 — Document Setup and Index,BIM support for calculation package figures/models; from Level_of_Effort.csv R-13
ITEM-004,DEL-003-06,Mechanical engineer — heating load calculation (REQ-M-001 and REQ-M-002),8,hr,UNIT_RATE,Specification,REQ-M-001 and REQ-M-002,Zone-by-zone heat loss calc for ~13000 sqft addition; 35 ft ceiling; envelope U-values; portion of 56 hr total ME effort
ITEM-005,DEL-003-06,Mechanical engineer — ventilation rate calculations including wash bay and mezzanine (REQ-M-003 and REQ-M-012),8,hr,UNIT_RATE,Specification,REQ-M-003 and REQ-M-012,ACH for all zones: main shop/bays/wash bay/service pit/parts/utility/office/mezzanine; portion of 56 hr total ME effort
ITEM-006,DEL-003-06,Mechanical engineer — makeup air unit sizing and combustion air (REQ-M-004 and REQ-M-013),6,hr,UNIT_RATE,Specification,REQ-M-004 and REQ-M-013,MUA flow rate sizing; tempered air capacity; combustion air if gas-fired; portion of 56 hr total ME effort
ITEM-007,DEL-003-06,Mechanical engineer — heavy equipment exhaust system sizing (REQ-M-005),6,hr,UNIT_RATE,Specification,REQ-M-005,Exhaust hoses/fans for 2 drive-through repair bays; capture velocity; fan selection; portion of 56 hr total ME effort
ITEM-008,DEL-003-06,Mechanical engineer — welding station exhaust sizing (REQ-M-006),4,hr,UNIT_RATE,Specification,REQ-M-006,Welding exhaust hood and fan sizing; PRELIMINARY pending County welding specs; portion of 56 hr total ME effort
ITEM-009,DEL-003-06,Mechanical engineer — service pit ventilation calculation (REQ-M-007),4,hr,UNIT_RATE,Specification,REQ-M-007,Safety-critical below-grade ventilation calc; OH&S compliance; portion of 56 hr total ME effort
ITEM-010,DEL-003-06,Mechanical engineer — ceiling fan selection and layout (REQ-M-008),3,hr,UNIT_RATE,Specification,REQ-M-008,6 ceiling fans at 35 ft; destratification; crane clearance; portion of 56 hr total ME effort
ITEM-011,DEL-003-06,Mechanical engineer — system balance summary (REQ-M-009),4,hr,UNIT_RATE,Specification,REQ-M-009,Supply vs exhaust balance table; net pressure analysis; portion of 56 hr total ME effort
ITEM-012,DEL-003-06,Mechanical engineer — code compliance reference table (REQ-M-010),3,hr,UNIT_RATE,Specification,REQ-M-010,Code compliance cross-reference matrix; Alberta Building Code / ASHRAE / OH&S; portion of 56 hr total ME effort
ITEM-013,DEL-003-06,Mechanical engineer — document setup index and assumptions register (REQ-M-011),4,hr,UNIT_RATE,Procedure,Step 1 and Step 11,Section 1 design basis; Section 11 assumptions register; revision log; portion of 56 hr total ME effort
ITEM-014,DEL-003-06,Mechanical engineer — internal review coordination and P.Eng. stamp preparation,6,hr,UNIT_RATE,Procedure,Step 11 — Review Stamp and Issue,Review checklist; comment resolution; stamp coordination; drawing reconciliation; portion of 56 hr total ME effort
