LineID,ItemID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes
L-001,ITEM-001,Professional Services > Project Management,PKG-003,DEL-003-06,Project management — coordination and oversight for mechanical calculation package,6,hr,165.00,990.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-01 + Level_of_Effort.csv DEL-003-06 R-01,MED,PM coordination across PKG-003 deliverables
L-002,ITEM-002,Professional Services > Project Management,PKG-003,DEL-003-06,Cost estimating support — quantity takeoff and benchmarking for mechanical calculation package,4,hr,135.00,540.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-08 + Level_of_Effort.csv DEL-003-06 R-08,MED,Estimator support for calculation package
L-003,ITEM-003,Professional Services > Design & Engineering,PKG-003,DEL-003-06,BIM technician — modeling and sheet setup for mechanical calculation package,24,hr,95.00,2280.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-13 + Level_of_Effort.csv DEL-003-06 R-13,MED,BIM support for calc package figures and models
L-004,ITEM-004,Professional Services > Design & Engineering,PKG-003,DEL-003-06,Mechanical engineer — heating load calculation (REQ-M-001 and REQ-M-002),8,hr,165.00,1320.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-15 + Level_of_Effort.csv DEL-003-06 R-15 (allocated),MED,Allocated from 56 hr ME total; zone-by-zone heat loss for ~13000 sqft addition
L-005,ITEM-005,Professional Services > Design & Engineering,PKG-003,DEL-003-06,Mechanical engineer — ventilation rate calculations including wash bay and mezzanine (REQ-M-003 and REQ-M-012),8,hr,165.00,1320.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-15 + Level_of_Effort.csv DEL-003-06 R-15 (allocated),MED,Allocated from 56 hr ME total; ACH all zones
L-006,ITEM-006,Professional Services > Design & Engineering,PKG-003,DEL-003-06,Mechanical engineer — makeup air unit sizing and combustion air (REQ-M-004 and REQ-M-013),6,hr,165.00,990.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-15 + Level_of_Effort.csv DEL-003-06 R-15 (allocated),MED,Allocated from 56 hr ME total; MUA sizing and combustion air
L-007,ITEM-007,Professional Services > Design & Engineering,PKG-003,DEL-003-06,Mechanical engineer — heavy equipment exhaust system sizing (REQ-M-005),6,hr,165.00,990.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-15 + Level_of_Effort.csv DEL-003-06 R-15 (allocated),MED,Allocated from 56 hr ME total; 2 bay exhaust system
L-008,ITEM-008,Professional Services > Design & Engineering,PKG-003,DEL-003-06,Mechanical engineer — welding station exhaust sizing (REQ-M-006),4,hr,165.00,660.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-15 + Level_of_Effort.csv DEL-003-06 R-15 (allocated),MED,Allocated from 56 hr ME total; PRELIMINARY pending County welding specs
L-009,ITEM-009,Professional Services > Design & Engineering,PKG-003,DEL-003-06,Mechanical engineer — service pit ventilation calculation (REQ-M-007),4,hr,165.00,660.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-15 + Level_of_Effort.csv DEL-003-06 R-15 (allocated),MED,Allocated from 56 hr ME total; safety-critical below-grade calc
L-010,ITEM-010,Professional Services > Design & Engineering,PKG-003,DEL-003-06,Mechanical engineer — ceiling fan selection and layout (REQ-M-008),3,hr,165.00,495.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-15 + Level_of_Effort.csv DEL-003-06 R-15 (allocated),MED,Allocated from 56 hr ME total; 6 fans at 35 ft
L-011,ITEM-011,Professional Services > Design & Engineering,PKG-003,DEL-003-06,Mechanical engineer — system balance summary (REQ-M-009),4,hr,165.00,660.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-15 + Level_of_Effort.csv DEL-003-06 R-15 (allocated),MED,Allocated from 56 hr ME total; supply vs exhaust balance
L-012,ITEM-012,Professional Services > Design & Engineering,PKG-003,DEL-003-06,Mechanical engineer — code compliance reference table (REQ-M-010),3,hr,165.00,495.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-15 + Level_of_Effort.csv DEL-003-06 R-15 (allocated),MED,Allocated from 56 hr ME total; code cross-ref matrix
L-013,ITEM-013,Professional Services > Design & Engineering,PKG-003,DEL-003-06,Mechanical engineer — document setup index and assumptions register (REQ-M-011),4,hr,165.00,660.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-15 + Level_of_Effort.csv DEL-003-06 R-15 (allocated),MED,Allocated from 56 hr ME total; Section 1 and Section 11
L-014,ITEM-014,Professional Services > Design & Engineering,PKG-003,DEL-003-06,Mechanical engineer — internal review coordination and P.Eng. stamp preparation,6,hr,165.00,990.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-15 + Level_of_Effort.csv DEL-003-06 R-15 (allocated),MED,Allocated from 56 hr ME total; review checklist and stamp
