LineID,ItemID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes
L-001,ITM-001,Professional Services > Project Management,PKG-017,DEL-017-02,Project Management — DEL-017-02 allocation,6,hr,165,990,CAD,PARAMETRIC,PS-01 R-01 (165 CAD/hr) + PS-02 DEL-017-02 R-01 (6 hr),MED,Level_of_Effort 6 hr x Professional_Staff_Rates R-01
L-002,ITM-002,Professional Services > Project Management,PKG-017,DEL-017-02,Construction Project Management,8,hr,155,1240,CAD,PARAMETRIC,PS-01 R-02 (155 CAD/hr) + PS-02 DEL-017-02 R-02 (8 hr),MED,Level_of_Effort 8 hr x Professional_Staff_Rates R-02
L-003,ITM-003,Professional Services > Project Management,PKG-017,DEL-017-02,Site Superintendent — mezzanine reno supervision,10,hr,145,1450,CAD,PARAMETRIC,PS-01 R-03 (145 CAD/hr) + PS-02 DEL-017-02 R-03 (10 hr),MED,Level_of_Effort 10 hr x Professional_Staff_Rates R-03
L-004,ITM-004,Professional Services > Project Management,PKG-017,DEL-017-02,Cost Estimator — pricing and QTO support,4,hr,135,540,CAD,PARAMETRIC,PS-01 R-08 (135 CAD/hr) + PS-02 DEL-017-02 R-08 (4 hr),MED,Level_of_Effort 4 hr x Professional_Staff_Rates R-08
L-005,ITM-005,Professional Services > Project Management,PKG-017,DEL-017-02,QA/QC Lead — inspection and deficiency tracking,6,hr,135,810,CAD,PARAMETRIC,PS-01 R-06 (135 CAD/hr) + PS-02 DEL-017-02 R-06 (6 hr),MED,Level_of_Effort 6 hr x Professional_Staff_Rates R-06
L-006,ITM-006,Professional Services > Project Management,PKG-017,DEL-017-02,HSE Manager — safety oversight,4,hr,140,560,CAD,PARAMETRIC,PS-01 R-05 (140 CAD/hr) + PS-02 DEL-017-02 R-05 (4 hr),MED,Level_of_Effort 4 hr x Professional_Staff_Rates R-05
L-007,ITM-007,Professional Services > Design & Engineering,PKG-017,DEL-017-02,Structural Engineering Assessment (existing mezzanine),1,LS,5100,5100,CAD,PARAMETRIC,PS-01 R-14 (170 CAD/hr) x 30 hr assumed; see ASM-002,LOW,Structural P.Eng. assessment; hours parametric (30 hr)
L-008,ITM-008,Professional Services > Design & Engineering,PKG-017,DEL-017-02,Existing Documentation Collection and Condition Survey,1,LS,2380,2380,CAD,PARAMETRIC,PS-01 R-14 (170/hr x 8 hr) + PS-05 T-08 Labourer (65.1/hr x 8 hr) + PS-01 R-21 Surveyor (140/hr x 4 hr); see ASM-003,LOW,Engineer field investigation + survey + labourer assist
L-009,ITM-009,Professional Services > Design & Engineering,PKG-017,DEL-017-02,Renovation Design Package (architectural + structural + electrical),1,LS,12810,12810,CAD,PARAMETRIC,PS-01 R-11 Sr Architect (180/hr x 20 hr) + R-12 Architect (135/hr x 24 hr) + R-14 Struct Eng (170/hr x 16 hr) + R-16 Elec Eng (165/hr x 8 hr) + R-13 BIM Tech (95/hr x 16 hr); see ASM-004,LOW,Design hours parametric; break room reno is modest scope
L-010,ITM-010,Professional Services > Project Management,PKG-017,DEL-017-02,Permit Acquisition (building + safety code permits),1,LS,1000,1000,CAD,PARAMETRIC,PS-01 R-22 Permitting Specialist (125/hr x 8 hr); see ASM-005,LOW,GC admin effort only; permit fees excluded (County pays)
L-011,ITM-011,Professional Services > Project Management,PKG-017,DEL-017-02,Pre-Construction Coordination Meeting,1,LS,690,690,CAD,PARAMETRIC,PS-01 R-01 PM (165/hr x 2 hr) + R-03 Supt (145/hr x 2 hr); see ASM-006,MED,2-hr meeting for PM + superintendent
L-012,ITM-012,Construction Labour > General Construction Labour,PKG-017,DEL-017-02,Hazardous Materials Assessment (ACM + lead paint),1,LS,2500,2500,CAD,PARAMETRIC,Parametric allowance; no rate table for hazmat assessment; see ASM-007 and Decision_Log DEC-001,LOW,Allowance for ACM/lead testing; abatement additional if required
L-013,ITM-013,Construction Labour > General Construction Labour,PKG-017,DEL-017-02,Demolition of Existing Finishes,30,m2,32.55,976.5,CAD,PARAMETRIC,PS-05 T-08 Labourer (65.1/hr) x 0.5 hr/m2; see ASM-008,MED,Labourer demolition; 0.5 hr/m2 productivity assumed
L-014,ITM-014,Construction Labour > General Construction Labour,PKG-017,DEL-017-02,Structural Repairs / Reinforcement (allowance),1,LS,7500,7500,CAD,PARAMETRIC,Parametric allowance; PS-05 T-03 Ironworker (92.8/hr) + materials; see ASM-009 and Decision_Log DEC-002,LOW,Conditional on structural assessment; allowance covers moderate repairs
L-015,ITM-015,Construction Labour > General Construction Labour,PKG-017,DEL-017-02,Electrical Rough-In (conduit + boxes + wiring),1,LS,3840,3840,CAD,PARAMETRIC,PS-05 T-04 Electrician (96.0/hr) x 40 hr; see ASM-010,LOW,40 hr electrician for break room rough-in; materials included parametrically
L-016,ITM-016,Construction Labour > General Construction Labour,PKG-017,DEL-017-02,Stair and Railing — Assessment + Repair/Replacement,1,LS,6000,6000,CAD,PARAMETRIC,Parametric allowance; PS-05 T-01 Carpenter (80.6/hr) + T-03 Ironworker (92.8/hr) + materials; see ASM-011 and Decision_Log DEC-003,LOW,Conditional on code assessment; allowance for moderate repair/upgrade
L-017,ITM-017,Construction Labour > General Construction Labour,PKG-017,DEL-017-02,Flooring Installation,30,m2,70,2100,CAD,PARAMETRIC,PS-04 IA-04 Commercial vinyl/laminate (70 CAD/m2 recommended),MED,Interior_Architectural_Rates IA-04; area per ASM-001
L-018,ITM-018,Construction Labour > General Construction Labour,PKG-017,DEL-017-02,Electrical Completion (fixtures + devices + panel),1,LS,2880,2880,CAD,PARAMETRIC,PS-05 T-04 Electrician (96.0/hr) x 30 hr; see ASM-012,LOW,30 hr for fixtures/devices/panel connections; materials included parametrically
L-019,ITM-019,Construction Labour > General Construction Labour,PKG-017,DEL-017-02,Interior Wall Finishes — partitions + gypsum board,30,m2,90,2700,CAD,PARAMETRIC,PS-04 IA-01 Metal stud partition + GWB (90 CAD/m2 recommended),MED,Interior_Architectural_Rates IA-01; area per ASM-001
L-020,ITM-020,Construction Labour > General Construction Labour,PKG-017,DEL-017-02,Interior Wall Finishes — paint,60,m2,12,720,CAD,PARAMETRIC,PS-04 IA-02 Paint allowance (12 CAD/m2 recommended),MED,Interior_Architectural_Rates IA-02; 2x floor area for wall surface
L-021,ITM-021,Construction Labour > General Construction Labour,PKG-017,DEL-017-02,Ceiling Finishes,30,m2,80,2400,CAD,PARAMETRIC,PS-04 IA-03 Suspended acoustic ceiling (80 CAD/m2 recommended),MED,Interior_Architectural_Rates IA-03; area per ASM-001
L-022,ITM-022,Construction Labour > General Construction Labour,PKG-017,DEL-017-02,Door Hardware + Trim + Millwork,1,LS,5500,5500,CAD,PARAMETRIC,PS-04 IA-05 Basic casework allowance (11000 CAD LS) x 50% allocation; see ASM-013,LOW,Half of casework allowance for break room millwork/trim
L-023,ITM-023,Construction Labour > General Construction Labour,PKG-017,DEL-017-02,Coffee Room Fixtures / Fittings (counter/sink allowance),1,LS,5500,5500,CAD,PARAMETRIC,PS-04 IA-05 Basic casework allowance (11000 CAD LS) x 50% allocation; see ASM-013,LOW,Half of casework allowance for counter/sink/appliance connections
L-024,ITM-024,Professional Services > Project Management,PKG-017,DEL-017-02,Contractor Self-Inspection (pre-completion punch list),1,LS,580,580,CAD,PARAMETRIC,PS-01 R-06 QA/QC (135/hr x 2 hr) + PS-01 R-03 Supt (145/hr x 2 hr); see ASM-014,MED,Half-day walkdown
L-025,ITM-025,Professional Services > Project Management,PKG-017,DEL-017-02,Functional Verification,1,LS,580,580,CAD,PARAMETRIC,PS-01 R-06 QA/QC (135/hr x 2 hr) + PS-01 R-03 Supt (145/hr x 2 hr); see ASM-014,MED,Systems check + walkdown
L-026,ITM-026,Professional Services > Project Management,PKG-017,DEL-017-02,Final Inspection Facilitation and CCC,1,LS,620,620,CAD,PARAMETRIC,PS-01 R-01 PM (165/hr x 2 hr) + PS-01 R-03 Supt (145/hr x 2 hr); see ASM-015,MED,Owner inspection + CCC process
L-027,ITM-027,Professional Services > Project Management,PKG-017,DEL-017-02,Closeout Documentation Package,1,LS,525,525,CAD,PARAMETRIC,PS-01 R-09 Doc Controller (75/hr x 4 hr) + PS-01 R-25 Contract Admin (120/hr x 2 hr); see ASM-016,MED,As-builts + warranty + statutory decl + WCB
L-028,ITM-028,Professional Services > Project Management,PKG-017,DEL-017-02,Photographic Documentation (pre-demo + progressive),1,LS,260.4,260.4,CAD,PARAMETRIC,PS-05 T-08 Labourer (65.1/hr x 4 hr); see ASM-017,MED,4 hr across project for photo documentation
L-029,ITM-029,Construction Labour > General Construction Labour,PKG-017,DEL-017-02,Waste Disposal (demolition debris),1,LS,1500,1500,CAD,PARAMETRIC,Parametric allowance; no rate table; see ASM-018 and Decision_Log DEC-004,LOW,Demolition debris from ~30 m2 renovation; allowance
L-030,ITM-030,Construction Labour > General Construction Labour,PKG-017,DEL-017-02,Temporary Protection (washroom below),1,LS,651,651,CAD,PARAMETRIC,PS-05 T-08 Labourer (65.1/hr x 10 hr); see ASM-019,MED,Labourer effort for protection measures
