relative_path,file_name,parent_dir_1,parent_dir_2,local_folder_max_2_parents,path_depth,file_extension,byte_size,line_count,entry_type,is_probably_binary,is_executable,mode_octal,mtime_local,mtime_epoch,tracked_in_git,top_level_dir,read_error,scope_group
.DS_Store,.DS_Store,.,.,.,0,,32772,30,file,true,false,0o644,2026-04-04T15:38:25.557464-06:00,1775338705.557464,false,.DS_Store,,root
.env,.env,.,.,.,0,,138,4,file,false,false,0o644,2026-02-06T20:36:18.518409-07:00,1770435378.518409,false,.env,,root
.gitignore,.gitignore,.,.,.,0,,325,19,file,false,false,0o644,2026-04-03T22:55:40.637437-06:00,1775278540.637437,true,.gitignore,,root
AGENTS.md,AGENTS.md,.,.,.,0,.md,6351,102,file,false,false,0o600,2026-04-04T16:01:47.343999-06:00,1775340107.343999,true,AGENTS.md,,root
CHIRALITY_FRAMEWORK.md,CHIRALITY_FRAMEWORK.md,.,.,.,0,.md,25203,277,file,false,false,0o644,2026-04-04T16:01:47.343270-06:00,1775340107.343270,true,CHIRALITY_FRAMEWORK.md,,root
CLAUDE.md,CLAUDE.md,.,.,.,0,.md,48,3,file,false,false,0o644,2026-03-28T14:39:25.188233-06:00,1774730365.188233,true,CLAUDE.md,,root
INIT.md,INIT.md,.,.,.,0,.md,1700,26,file,false,false,0o644,2026-04-04T01:25:43.581067-06:00,1775287543.581067,true,INIT.md,,root
LICENSE.md,LICENSE.md,.,.,.,0,.md,1324,23,file,false,false,0o644,2026-02-13T11:32:41.972682-07:00,1771007561.972682,true,LICENSE.md,,root
PROFESSIONAL_ENGINEERING.md,PROFESSIONAL_ENGINEERING.md,.,.,.,0,.md,32567,449,file,false,false,0o644,2026-04-04T01:26:37.721134-06:00,1775287597.721134,true,PROFESSIONAL_ENGINEERING.md,,root
README.md,README.md,.,.,.,0,.md,12857,174,file,false,false,0o644,2026-04-04T16:00:52.601042-06:00,1775340052.601042,true,README.md,,root
agents/.DS_Store,.DS_Store,agents,.,agents,1,,8196,3,file,true,false,0o644,2026-03-31T15:35:05.919028-06:00,1774992905.919028,false,agents,,agents
agents/AGENT_4_DOCUMENTS.md,AGENT_4_DOCUMENTS.md,agents,.,agents,1,.md,21623,390,file,false,false,0o644,2026-04-03T23:34:50.512678-06:00,1775280890.512678,true,agents,,agents
agents/AGENT_AGGREGATION.md,AGENT_AGGREGATION.md,agents,.,agents,1,.md,12766,315,file,false,false,0o644,2026-03-28T16:28:00.837649-06:00,1774736880.837649,true,agents,,agents
agents/AGENT_AUDIT_AGENTS.md,AGENT_AUDIT_AGENTS.md,agents,.,agents,1,.md,7895,245,file,false,false,0o644,2026-02-21T11:37:38.772917-07:00,1771699058.772917,true,agents,,agents
agents/AGENT_AUDIT_DECOMP.md,AGENT_AUDIT_DECOMP.md,agents,.,agents,1,.md,20881,452,file,false,false,0o644,2026-03-30T21:09:43.125503-06:00,1774926583.125503,true,agents,,agents
agents/AGENT_AUDIT_DEP_CLOSURE.md,AGENT_AUDIT_DEP_CLOSURE.md,agents,.,agents,1,.md,11220,287,file,false,false,0o644,2026-03-28T16:35:41.627534-06:00,1774737341.627534,true,agents,,agents
agents/AGENT_AUDIT_EPISTEMIC.md,AGENT_AUDIT_EPISTEMIC.md,agents,.,agents,1,.md,22700,497,file,false,false,0o644,2026-03-29T15:49:23.145069-06:00,1774820963.145069,true,agents,,agents
agents/AGENT_AUDIT_GOVERNANCE.md,AGENT_AUDIT_GOVERNANCE.md,agents,.,agents,1,.md,22955,557,file,false,false,0o600,2026-04-04T01:25:08.741105-06:00,1775287508.741105,true,agents,,agents
agents/AGENT_AUDIT_HYPERGRAPH_CLOSURE.md,AGENT_AUDIT_HYPERGRAPH_CLOSURE.md,agents,.,agents,1,.md,13028,390,file,false,false,0o644,2026-03-28T16:36:35.973701-06:00,1774737395.973701,true,agents,,agents
agents/AGENT_AUDIT_SCOPE_CLOSURE.md,AGENT_AUDIT_SCOPE_CLOSURE.md,agents,.,agents,1,.md,20127,431,file,false,false,0o600,2026-03-29T19:49:02.042986-06:00,1774835342.042986,true,agents,,agents
agents/AGENT_CHANGE.md,AGENT_CHANGE.md,agents,.,agents,1,.md,9071,272,file,false,false,0o600,2026-02-22T09:04:27.929020-07:00,1771776267.929020,true,agents,,agents
agents/AGENT_CHIRALITY_FRAMEWORK.md,AGENT_CHIRALITY_FRAMEWORK.md,agents,.,agents,1,.md,39168,922,file,false,false,0o644,2026-03-31T12:48:53.824270-06:00,1774982933.824270,true,agents,,agents
agents/AGENT_CHIRALITY_LENS.md,AGENT_CHIRALITY_LENS.md,agents,.,agents,1,.md,19267,418,file,false,false,0o600,2026-03-31T12:48:53.825928-06:00,1774982933.825928,true,agents,,agents
agents/AGENT_CONTENT_DIGEST.md,AGENT_CONTENT_DIGEST.md,agents,.,agents,1,.md,7046,184,file,false,false,0o644,2026-03-28T16:00:33.767699-06:00,1774735233.767699,true,agents,,agents
agents/AGENT_CONTEXT_TRANSPOSE.md,AGENT_CONTEXT_TRANSPOSE.md,agents,.,agents,1,.md,19052,505,file,false,false,0o644,2026-02-21T11:01:23.554122-07:00,1771696883.554122,true,agents,,agents
agents/AGENT_DECOMP_BASE.md,AGENT_DECOMP_BASE.md,agents,.,agents,1,.md,21430,447,file,false,false,0o644,2026-03-30T21:09:31.223040-06:00,1774926571.223040,true,agents,,agents
